"Knownlength" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "outputorder" "LengthKnow"
"Known" 1 1 1 1 10 1 "bubble" -1 1
"Known" 1 1 1 1 10 2 "robber" 3 1
"Known" 1 1 1 1 10 3 "garment" -1 1
"Known" 1 1 1 1 10 4 "feather" -1 1
"Known" 1 1 1 1 10 5 "pardon" -1 1
"Known" 1 1 1 1 10 6 "butter" -1 1
"Known" 1 1 1 1 10 7 "thereby" -1 1
"Known" 1 1 1 1 10 8 "medal" -1 1
"Known" 1 1 1 1 10 9 "sprinkle" 1 1
"Known" 1 1 1 1 10 10 "window" 2 1
"Known" 1 1 2 2 10 1 "differ" 5 1
"Known" 1 1 2 2 10 2 "ago" -1 1
"Known" 1 1 2 2 10 3 "serve" -1 1
"Known" 1 1 2 2 10 4 "dreadful" -1 1
"Known" 1 1 2 2 10 5 "sparrow" -1 1
"Known" 1 1 2 2 10 6 "sudden" -1 1
"Known" 1 1 2 2 10 7 "sustain" 1 1
"Known" 1 1 2 2 10 8 "became" 2 1
"Known" 1 1 2 2 10 9 "hungry" 3 1
"Known" 1 1 2 2 10 10 "basis" 4 1
"Known" 1 1 3 3 10 1 "briefly" -1 1
"Known" 1 1 3 3 10 2 "cherry" -1 1
"Known" 1 1 3 3 10 3 "sincere" -1 1
"Known" 1 1 3 3 10 4 "remind" -1 1
"Known" 1 1 3 3 10 5 "shortly" 5 1
"Known" 1 1 3 3 10 6 "eager" -1 1
"Known" 1 1 3 3 10 7 "delight" 4 1
"Known" 1 1 3 3 10 8 "problem" 1 1
"Known" 1 1 3 3 10 9 "partly" 2 1
"Known" 1 1 3 3 10 10 "meadow" 3 1
"Known" 1 1 4 4 10 1 "platform" -1 1
"Known" 1 1 4 4 10 2 "before" -1 1
"Known" 1 1 4 4 10 3 "hatred" 5 1
"Known" 1 1 4 4 10 4 "tunnel" -1 1
"Known" 1 1 4 4 10 5 "discuss" -1 1
"Known" 1 1 4 4 10 6 "angry" 3 1
"Known" 1 1 4 4 10 7 "feeling" -1 1
"Known" 1 1 4 4 10 8 "jealous" 2 1
"Known" 1 1 4 4 10 9 "aside" 4 1
"Known" 1 1 4 4 10 10 "attach" 1 1
"Known" 1 1 5 5 10 1 "unite" 3 1
"Known" 1 1 5 5 10 2 "station" -1 1
"Known" 1 1 5 5 10 3 "thunder" -1 1
"Known" 1 1 5 5 10 4 "glitter" -1 1
"Known" 1 1 5 5 10 5 "protect" -1 1
"Known" 1 1 5 5 10 6 "congress" 4 1
"Known" 1 1 5 5 10 7 "depart" -1 1
"Known" 1 1 5 5 10 8 "abide" 2 1
"Known" 1 1 5 5 10 9 "collar" -1 1
"Known" 1 1 5 5 10 10 "slowly" 1 1
"Known" 1 1 6 6 10 1 "provide" -1 1
"Known" 1 1 6 6 10 2 "exclaim" 5 1
"Known" 1 1 6 6 10 3 "chapel" -1 1
"Known" 1 1 6 6 10 4 "question" -1 1
"Known" 1 1 6 6 10 5 "above" -1 1
"Known" 1 1 6 6 10 6 "devote" -1 1
"Known" 1 1 6 6 10 7 "better" -1 1
"Known" 1 1 6 6 10 8 "fury" 1 1
"Known" 1 1 6 6 10 9 "onion" 2 1
"Known" 1 1 6 6 10 10 "civil" 3 1
"Known" 1 1 7 7 10 1 "mayor" -1 1
"Known" 1 1 7 7 10 2 "safety" -1 1
"Known" 1 1 7 7 10 3 "elder" -1 1
"Known" 1 1 7 7 10 4 "helpless" -1 1
"Known" 1 1 7 7 10 5 "standard" -1 1
"Known" 1 1 7 7 10 6 "survey" -1 1
"Known" 1 1 7 7 10 7 "stable" -1 1
"Known" 1 1 7 7 10 8 "fallen" 2 1
"Known" 1 1 7 7 10 9 "without" 1 1
"Known" 1 1 7 7 10 10 "heaven" 3 1
"Known" 1 1 8 8 10 1 "almost" -1 1
"Known" 1 1 8 8 10 2 "ashamed" -1 1
"Known" 1 1 8 8 10 3 "approach" -1 1
"Known" 1 1 8 8 10 4 "latter" 2 1
"Known" 1 1 8 8 10 5 "retreat" -1 1
"Known" 1 1 8 8 10 6 "earnest" -1 1
"Known" 1 1 8 8 10 7 "chosen" 1 1
"Known" 1 1 8 8 10 8 "sober" 3 1
"Known" 1 1 8 8 10 9 "extreme" 5 1
"Known" 1 1 8 8 10 10 "forward" 4 1
"Known" 1 1 9 9 1 1 "mental" 1 1
"Known" 1 1 10 10 1 1 "invite" 1 1
"Known" 1 1 11 11 1 1 "daylight" 1 1
"Known" 1 1 12 12 1 1 "swiftly" 1 1
"Known" 1 1 13 13 1 1 "involve" 1 1
"Known" 1 1 14 14 1 1 "sentence" 1 1
"Known" 1 1 15 15 1 1 "program" 1 1
"Known" 1 1 16 16 1 1 "become" 1 1
"Known" 1 1 17 17 3 1 "candy" 1 1
"Known" 1 1 17 17 3 2 "mission" 2 1
"Known" 1 1 17 17 3 3 "cellar" 3 1
"Known" 1 1 18 18 3 1 "given" 1 1
"Known" 1 1 18 18 3 2 "forest" 2 1
"Known" 1 1 18 18 3 3 "compass" 3 1
"Known" 1 1 19 19 3 1 "wretched" 1 1
"Known" 1 1 19 19 3 2 "dirty" 2 1
"Known" 1 1 19 19 3 3 "pursue" 3 1
"Known" 1 1 20 20 3 1 "condemn" 1 1
"Known" 1 1 20 20 3 2 "crazy" 2 1
"Known" 1 1 20 20 3 3 "castle" 3 1
"Known" 1 1 21 21 3 1 "meaning" 1 1
"Known" 1 1 21 21 3 2 "ancient" 2 1
"Known" 1 1 21 21 3 3 "union" 3 1
"Known" 1 1 22 22 3 1 "stormy" 1 1
"Known" 1 1 22 22 3 2 "lion" 2 1
"Known" 1 1 22 22 3 3 "submit" 3 1
"Known" 1 1 23 23 3 1 "marble" 1 1
"Known" 1 1 23 23 3 2 "darkness" 2 1
"Known" 1 1 23 23 3 3 "slumber" 3 1
"Known" 1 1 24 24 3 1 "invade" 1 1
"Known" 1 1 24 24 3 2 "concern" 2 1
"Known" 1 1 24 24 3 3 "hostile" 3 1
"Known" 1 2 1 25 5 1 "squirrel" 1 1
"Known" 1 2 1 25 5 2 "princess" 2 1
"Known" 1 2 1 25 5 3 "beneath" 3 1
"Known" 1 2 1 25 5 4 "contrast" -1 1
"Known" 1 2 1 25 5 5 "comrade" 4 1
"Known" 1 2 2 26 5 1 "image" 1 1
"Known" 1 2 2 26 5 2 "despise" 3 1
"Known" 1 2 2 26 5 3 "fortune" -1 1
"Known" 1 2 2 26 5 4 "ocean" 2 1
"Known" 1 2 2 26 5 5 "hardly" 4 1
"Known" 1 2 3 27 5 1 "bitter" 1 1
"Known" 1 2 3 27 5 2 "parlor" 2 1
"Known" 1 2 3 27 5 3 "below" -1 1
"Known" 1 2 3 27 5 4 "dissolve" 3 1
"Known" 1 2 3 27 5 5 "endless" 4 1
"Known" 1 2 4 28 5 1 "affair" -1 1
"Known" 1 2 4 28 5 2 "dinner" 3 1
"Known" 1 2 4 28 5 3 "include" 4 1
"Known" 1 2 4 28 5 4 "finger" 1 1
"Known" 1 2 4 28 5 5 "easy" 2 1
"Known" 1 2 5 29 5 1 "remain" 1 1
"Known" 1 2 5 29 5 2 "reveal" -1 1
"Known" 1 2 5 29 5 3 "notion" -1 1
"Known" 1 2 5 29 5 4 "wooden" 2 1
"Known" 1 2 5 29 5 5 "hasten" 3 1
"Known" 1 2 6 30 5 1 "assist" 1 1
"Known" 1 2 6 30 5 2 "equip" -1 1
"Known" 1 2 6 30 5 3 "color" 2 1
"Known" 1 2 6 30 5 4 "bureau" 3 1
"Known" 1 2 6 30 5 5 "helmet" -1 1
"Known" 1 2 7 31 5 1 "reckon" -1 1
"Known" 1 2 7 31 5 2 "single" 1 1
"Known" 1 2 7 31 5 3 "closely" 3 1
"Known" 1 2 7 31 5 4 "able" 2 1
"Known" 1 2 7 31 5 5 "rifle" 4 1
"Known" 1 2 8 32 5 1 "supply" 1 1
"Known" 1 2 8 32 5 2 "pattern" -1 1
"Known" 1 2 8 32 5 3 "sheriff" 2 1
"Known" 1 2 8 32 5 4 "lucky" 3 1
"Known" 1 2 8 32 5 5 "number" 4 1
"Known" 1 2 9 33 12 1 "poem" 8 1
"Known" 1 2 9 33 12 2 "blanket" -1 1
"Known" 1 2 9 33 12 3 "mercy" -1 1
"Known" 1 2 9 33 12 4 "ugly" 3 1
"Known" 1 2 9 33 12 5 "apply" -1 1
"Known" 1 2 9 33 12 6 "bedroom" 5 1
"Known" 1 2 9 33 12 7 "marriage" 4 1
"Known" 1 2 9 33 12 8 "banner" -1 1
"Known" 1 2 9 33 12 9 "control" 6 1
"Known" 1 2 9 33 12 10 "cannon" 7 1
"Known" 1 2 9 33 12 11 "canoe" 1 1
"Known" 1 2 9 33 12 12 "humble" 2 1
"Known" 1 2 10 34 12 1 "island" -1 1
"Known" 1 2 10 34 12 2 "illness" -1 1
"Known" 1 2 10 34 12 3 "honest" 6 1
"Known" 1 2 10 34 12 4 "invent" 8 1
"Known" 1 2 10 34 12 5 "several" 5 1
"Known" 1 2 10 34 12 6 "science" 7 1
"Known" 1 2 10 34 12 7 "apple" -1 1
"Known" 1 2 10 34 12 8 "dismay" 2 1
"Known" 1 2 10 34 12 9 "settle" -1 1
"Known" 1 2 10 34 12 10 "elect" 4 1
"Known" 1 2 10 34 12 11 "author" 1 1
"Known" 1 2 10 34 12 12 "wanting" 3 1
"Known" 1 2 11 35 12 1 "canvas" -1 1
"Known" 1 2 11 35 12 2 "beaver" -1 1
"Known" 1 2 11 35 12 3 "disturb" -1 1
"Known" 1 2 11 35 12 4 "manage" -1 1
"Known" 1 2 11 35 12 5 "private" -1 1
"Known" 1 2 11 35 12 6 "attend" -1 1
"Known" 1 2 11 35 12 7 "resolve" -1 1
"Known" 1 2 11 35 12 8 "building" -1 1
"Known" 1 2 11 35 12 9 "vessel" -1 1
"Known" 1 2 11 35 12 10 "harvest" 3 1
"Known" 1 2 11 35 12 11 "excess" 2 1
