"TaskType" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "writtenSP" "outputorder" "TaskTypeKnow"
"Known" 1 1 1 1 8 1 "eastern" -1 -1 1
"Known" 1 1 1 1 8 2 "kindness" -1 -1 1
"Known" 1 1 1 1 8 3 "clearly" -1 -1 1
"Known" 1 1 1 1 8 4 "pattern" -1 -1 1
"Known" 1 1 1 1 8 5 "faithful" 3 2 1
"Known" 1 1 1 1 8 6 "organ" -1 -1 1
"Known" 1 1 1 1 8 7 "kingdom" 2 1 1
"Known" 1 1 1 1 8 8 "voyage" 8 3 1
"Known" 1 1 2 2 8 1 "regard" 2 1 1
"Known" 1 1 2 2 8 2 "courage" -1 -1 1
"Known" 1 1 2 2 8 3 "proceed" 4 2 1
"Known" 1 1 2 2 8 4 "desire" -1 -1 1
"Known" 1 1 2 2 8 5 "junior" -1 -1 1
"Known" 1 1 2 2 8 6 "foreign" -1 -1 1
"Known" 1 1 2 2 8 7 "accept" 7 3 1
"Known" 1 1 2 2 8 8 "alive" 8 4 1
"Known" 1 1 3 3 8 1 "civil" 1 1 1
"Known" 1 1 3 3 8 2 "party" 2 2 1
"Known" 1 1 3 3 8 3 "dismiss" -1 -1 1
"Known" 1 1 3 3 8 4 "unlike" -1 -1 1
"Known" 1 1 3 3 8 5 "assume" -1 -1 1
"Known" 1 1 3 3 8 6 "ago" -1 -1 1
"Known" 1 1 3 3 8 7 "current" 7 3 1
"Known" 1 1 3 3 8 8 "measure" 8 4 1
"Known" 1 1 4 4 8 1 "compare" -1 -1 1
"Known" 1 1 4 4 8 2 "accuse" 2 1 1
"Known" 1 1 4 4 8 3 "neither" -1 -1 1
"Known" 1 1 4 4 8 4 "future" -1 -1 1
"Known" 1 1 4 4 8 5 "quiver" -1 -1 1
"Known" 1 1 4 4 8 6 "suppose" 3 2 1
"Known" 1 1 4 4 8 7 "railway" 7 3 1
"Known" 1 1 4 4 8 8 "tennis" -1 -1 1
"Known" 1 1 5 5 8 1 "restless" -1 -1 1
"Known" 1 1 5 5 8 2 "whistle" -1 -1 1
"Known" 1 1 5 5 8 3 "orchard" -1 -1 1
"Known" 1 1 5 5 8 4 "reading" -1 -1 1
"Known" 1 1 5 5 8 5 "harbor" 2 1 1
"Known" 1 1 5 5 8 6 "oven" -1 -1 1
"Known" 1 1 5 5 8 7 "deserve" 7 2 1
"Known" 1 1 5 5 8 8 "several" 8 3 1
"Known" 1 1 6 6 8 1 "protect" 1 1 1
"Known" 1 1 6 6 8 2 "portion" 7 2 1
"Known" 1 1 6 6 8 3 "passage" -1 -1 1
"Known" 1 1 6 6 8 4 "quickly" -1 -1 1
"Known" 1 1 6 6 8 5 "slender" -1 -1 1
"Known" 1 1 6 6 8 6 "problem" -1 -1 1
"Known" 1 1 6 6 8 7 "image" -1 -1 1
"Known" 1 1 6 6 8 8 "lecture" 8 3 1
"Known" 1 1 7 7 8 1 "turkey" 1 1 1
"Known" 1 1 7 7 8 2 "busy" -1 -1 1
"Known" 1 1 7 7 8 3 "judgment" -1 -1 1
"Known" 1 1 7 7 8 4 "precious" -1 -1 1
"Known" 1 1 7 7 8 5 "rattle" -1 -1 1
"Known" 1 1 7 7 8 6 "temple" -1 -1 1
"Known" 1 1 7 7 8 7 "heavy" -1 -1 1
"Known" 1 1 7 7 8 8 "prairie" -1 -1 1
"Known" 1 1 8 8 8 1 "stagger" -1 -1 1
"Known" 1 1 8 8 8 2 "congress" -1 -1 1
"Known" 1 1 8 8 8 3 "forehead" -1 -1 1
"Known" 1 1 8 8 8 4 "gracious" -1 -1 1
"Known" 1 1 8 8 8 5 "destroy" -1 -1 1
"Known" 1 1 8 8 8 6 "cousin" 6 1 1
"Known" 1 1 8 8 8 7 "forgive" 7 2 1
"Known" 1 1 8 8 8 8 "language" 8 3 1
"Known" 1 1 9 9 2 1 "fountain" 1 1 1
"Known" 1 1 9 9 2 2 "farther" 2 2 1
"Known" 1 1 10 10 2 1 "creature" 1 1 1
"Known" 1 1 10 10 2 2 "paper" 2 2 1
"Known" 1 1 11 11 2 1 "village" 1 1 1
"Known" 1 1 11 11 2 2 "mistress" 2 2 1
"Known" 1 1 12 12 2 1 "college" 1 1 1
"Known" 1 1 12 12 2 2 "provide" 2 2 1
"Known" 1 1 13 13 2 1 "affair" 1 1 1
"Known" 1 1 13 13 2 2 "embrace" 2 2 1
"Known" 1 1 14 14 2 1 "pilot" 1 1 1
"Known" 1 1 14 14 2 2 "merely" 2 2 1
"Known" 1 1 15 15 2 1 "neglect" 1 1 1
"Known" 1 1 15 15 2 2 "journal" 2 2 1
"Known" 1 1 16 16 2 1 "diet" 1 1 1
"Known" 1 1 16 16 2 2 "unite" 2 2 1
"Known" 1 1 17 17 12 1 "basket" 1 1 1
"Known" 1 1 17 17 12 2 "except" -1 -1 1
"Known" 1 1 17 17 12 3 "tribute" -1 -1 1
"Known" 1 1 17 17 12 4 "amaze" -1 -1 1
"Known" 1 1 17 17 12 5 "avoid" -1 -1 1
"Known" 1 1 17 17 12 6 "prevent" -1 -1 1
"Known" 1 1 17 17 12 7 "partly" -1 -1 1
"Known" 1 1 17 17 12 8 "island" -1 -1 1
"Known" 1 1 17 17 12 9 "partner" -1 -1 1
"Known" 1 1 17 17 12 10 "cherry" -1 -1 1
"Known" 1 1 17 17 12 11 "carry" -1 -1 1
"Known" 1 1 17 17 12 12 "journey" -1 -1 1
"Known" 1 1 18 18 12 1 "ribbon" -1 -1 1
"Known" 1 1 18 18 12 2 "exclaim" -1 -1 1
"Known" 1 1 18 18 12 3 "county" -1 -1 1
"Known" 1 1 18 18 12 4 "victim" -1 -1 1
"Known" 1 1 18 18 12 5 "protest" -1 -1 1
"Known" 1 1 18 18 12 6 "extreme" -1 -1 1
"Known" 1 1 18 18 12 7 "under" -1 -1 1
"Known" 1 1 18 18 12 8 "shiver" -1 -1 1
"Known" 1 1 18 18 12 9 "message" -1 -1 1
"Known" 1 1 18 18 12 10 "merit" 10 1 1
"Known" 1 1 18 18 12 11 "model" 11 2 1
"Known" 1 1 18 18 12 12 "laughter" 12 3 1
"Known" 1 1 19 19 12 1 "pleasure" 1 1 1
"Known" 1 1 19 19 12 2 "jersey" -1 -1 1
"Known" 1 1 19 19 12 3 "disgrace" -1 -1 1
"Known" 1 1 19 19 12 4 "eagle" -1 -1 1
"Known" 1 1 19 19 12 5 "errand" -1 -1 1
"Known" 1 1 19 19 12 6 "jealous" -1 -1 1
"Known" 1 1 19 19 12 7 "aside" -1 -1 1
"Known" 1 1 19 19 12 8 "ever" -1 -1 1
