"obeyedInstructions" "subj" "PrePost" "condition" "Group" "block" "list" "trialnumber" "task" "length" "serpos" "word" "writtenSP" "outputorder" "prepost" "cond" "group" "tasktype"
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 1 "chairman" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 2 "creature" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 3 "fury" 5 5 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 4 "fabric" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 5 "receipt" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 6 "locate" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 7 "swallow" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 8 "barrel" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 9 "motion" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 10 "publish" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 11 "poem" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 12 "extreme" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 13 "robin" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 14 "dollar" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 1 1 "FR" 15 15 "cottage" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 1 "conceive" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 2 "final" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 3 "candy" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 4 "football" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 5 "wisdom" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 6 "affair" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 7 "humble" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 8 "crazy" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 9 "stolen" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 10 "disguise" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 11 "channel" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 12 "former" 2 2 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 13 "kitchen" 3 3 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 14 "complete" 4 4 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 2 2 "FR" 15 15 "bullet" 1 1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 1 "truly" -1 -1 1 1 1 1
1 1 "PRE" "FR" "PreFR" 1 3 3 "FR" 15 2 "worker" -1 -1 1 1 1 1
