subject	worupc2	worupc3	worupc4	worupc5	worupc6	worupc7	letupc2	letupc3	letupc4	letupc5	letupc6	letupc7	letupc8	stmset2	stmset3	stmset4	stmset5	stmset6	stmset7	rspupc2	rspupc3	rspupc4	rspupc5	opupc2	opupc3	opupc4	opupc5	wmset2	wmset3	wmset4	wmset5
101.00	1.00	1.00	1.00	0.60	0.83	0.62	1.00	1.00	0.83	1.00	0.83	0.52	0.46	1.00	1.00	0.92	0.80	0.83	0.57	1.00	0.89	0.92	0.87	1.00	0.78	0.83	0.67	1.00	0.83	0.88	0.77
132.00	1.00	1.00	1.00	0.87	0.67	0.19	1.00	1.00	1.00	0.80	0.72	0.76	1.00	1.00	1.00	1.00	0.83	0.69	0.48	1.00	0.78	1.00	0.87	1.00	0.89	0.75	0.47	1.00	0.83	0.88	0.67
139.00	1.00	1.00	1.00	1.00	1.00	0.81	1.00	0.78	1.00	1.00	1.00	0.90	0.67	1.00	0.89	1.00	1.00	1.00	0.86	1.00	0.78	0.83	0.67	1.00	0.89	0.83	0.27	1.00	0.83	0.83	0.47
104.00	1.00	1.00	1.00	0.87	0.61	0.48	1.00	1.00	0.83	1.00	0.67	0.48	0.25	1.00	1.00	0.92	0.93	0.64	0.48	0.67	0.44	0.25	0.33	0.67	0.33	0.17	0.00	0.67	0.39	0.21	0.17
107.00	1.00	1.00	0.75	0.53	0.22	0.33	1.00	1.00	0.83	0.80	0.44	0.38	0.21	1.00	1.00	0.79	0.67	0.33	0.36	1.00	0.67	0.25	0.53	1.00	0.67	0.42	0.13	1.00	0.67	0.33	0.33
111.00	1.00	0.89	0.75	0.27	0.17	0.05	1.00	1.00	1.00	0.47	0.50	0.05	0.25	1.00	0.94	0.88	0.37	0.33	0.05	0.83	0.44	0.25	0.33	0.50	0.44	0.25	0.40	0.67	0.44	0.25	0.37
113.00	1.00	1.00	1.00	0.87	0.56	0.29	1.00	1.00	1.00	0.73	0.89	0.52	0.67	1.00	1.00	1.00	0.80	0.72	0.40	0.83	0.78	0.08	0.33	1.00	0.44	0.42	0.27	0.92	0.61	0.25	0.30
114.00	1.00	1.00	1.00	1.00	0.56	0.76	1.00	1.00	1.00	1.00	0.89	0.67	0.58	1.00	1.00	1.00	1.00	0.72	0.71	1.00	0.89	0.67	0.80	1.00	1.00	0.92	0.60	1.00	0.94	0.79	0.70
119.00	1.00	1.00	1.00	0.87	0.78	0.62	1.00	1.00	1.00	0.87	0.50	0.33	0.33	1.00	1.00	1.00	0.87	0.64	0.48	1.00	1.00	0.75	0.67	1.00	1.00	0.58	0.40	1.00	1.00	0.67	0.53
141.00	1.00	1.00	1.00	0.93	0.78	0.62	1.00	0.89	1.00	0.67	0.72	0.19	0.50	1.00	0.94	1.00	0.80	0.75	0.40	1.00	0.33	0.58	0.40	1.00	1.00	1.00	0.73	1.00	0.67	0.79	0.57
143.00	1.00	1.00	1.00	1.00	0.67	0.52	1.00	1.00	1.00	1.00	0.67	0.76	0.42	1.00	1.00	1.00	1.00	0.67	0.64	1.00	1.00	0.83	0.80	1.00	1.00	0.83	0.67	1.00	1.00	0.83	0.73
148.00	1.00	1.00	1.00	1.00	0.72	0.52	1.00	1.00	0.83	1.00	1.00	0.52	0.54	1.00	1.00	0.92	1.00	0.86	0.52	1.00	0.67	0.58	0.67	1.00	0.56	0.67	0.53	1.00	0.61	0.63	0.60
150.00	1.00	1.00	1.00	0.60	0.22	0.43	1.00	1.00	0.83	0.93	0.67	0.52	0.25	1.00	1.00	0.92	0.77	0.44	0.48	0.83	0.78	0.50	0.53	1.00	0.56	0.50	0.40	0.92	0.67	0.50	0.47
171.00	1.00	1.00	1.00	0.87	0.78	0.57	1.00	1.00	1.00	1.00	1.00	0.90	0.42	1.00	1.00	1.00	0.93	0.89	0.74	1.00	0.89	0.50	0.40	1.00	1.00	0.67	0.47	1.00	0.94	0.58	0.43
173.00	1.00	0.89	0.75	0.80	0.67	0.33	1.00	1.00	0.92	0.87	0.56	0.38	0.46	1.00	0.94	0.83	0.83	0.61	0.36	0.83	0.78	0.83	0.53	0.83	0.89	0.25	0.07	0.83	0.83	0.54	0.30
177.00	1.00	1.00	0.75	0.47	0.11	0.14	1.00	0.78	0.58	0.53	0.44	0.05	0.17	1.00	0.89	0.67	0.50	0.28	0.10	0.83	0.22	0.08	0.00	0.83	0.22	0.00	0.00	0.83	0.22	0.04	0.00
180.00	1.00	1.00	1.00	0.80	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.71	1.00	1.00	1.00	0.90	1.00	1.00	1.00	0.78	0.67	0.20	1.00	0.89	0.75	0.40	1.00	0.83	0.71	0.30
181.00	1.00	0.89	0.92	0.27	0.17	0.14	1.00	1.00	0.42	0.13	0.67	0.33	0.25	1.00	0.94	0.67	0.20	0.42	0.24	1.00	0.78	0.25	0.20	1.00	0.67	0.33	0.40	1.00	0.72	0.29	0.30
182.00	1.00	1.00	1.00	0.73	0.39	0.52	1.00	1.00	1.00	1.00	0.72	0.19	0.21	1.00	1.00	1.00	0.87	0.56	0.36	1.00	0.56	0.42	0.60	1.00	0.33	0.25	0.13	1.00	0.44	0.33	0.37
189.00	1.00	1.00	1.00	0.80	0.39	0.43	1.00	1.00	1.00	0.67	0.33	0.52	0.25	1.00	1.00	1.00	0.73	0.36	0.48	0.67	0.56	0.42	0.20	1.00	0.56	0.67	0.47	0.83	0.56	0.54	0.33
192.00	1.00	1.00	1.00	0.93	0.67	0.67	1.00	1.00	0.67	0.80	0.89	0.33	0.63	1.00	1.00	0.83	0.87	0.78	0.50	1.00	0.67	0.50	0.20	1.00	0.67	0.58	0.27	1.00	0.67	0.54	0.23
