"rep(1, length(dats[, 1]))" "Sess" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
1 555 1 1 4 3 1 1 1 1.705 FALSE
1 555 1 2 3 2 1 1 1 0.646 TRUE
1 555 1 3 5 6 0 0 1 0.586 TRUE
1 555 1 4 4 5 0 0 1 0.516 TRUE
1 555 1 5 5 3 1 1 1 0.87 TRUE
1 555 1 6 2 1 1 1 1 0.567 TRUE
1 555 1 7 3 1 1 1 1 0.712 TRUE
1 555 1 8 3 4 0 0 1 0.493 TRUE
1 555 1 9 1 2 0 0 1 0.665 FALSE
1 555 1 10 5 2 1 1 1 0.749 TRUE
1 555 1 11 4 2 1 1 1 0.669 TRUE
1 555 1 12 4 4 1 1 1 0.653 FALSE
1 555 1 13 5 6 0 0 1 0.591 TRUE
1 555 1 14 4 5 0 0 1 0.616 TRUE
1 555 1 15 3 3 1 1 1 0.47 TRUE
1 555 1 16 3 4 0 0 1 0.504 TRUE
1 555 1 17 5 6 0 0 1 0.615 TRUE
1 555 1 18 2 3 0 0 1 0.449 TRUE
1 555 1 19 1 1 1 1 1 0.481 TRUE
1 555 1 20 4 5 0 0 1 0.553 TRUE
1 555 1 21 5 5 1 1 1 0.467 TRUE
1 555 1 22 3 4 0 0 1 0.406 TRUE
1 555 1 23 5 6 0 0 1 0.49 TRUE
1 555 1 24 4 5 0 0 1 0.462 TRUE
1 555 1 25 2 3 0 0 1 0.421 TRUE
1 555 1 26 5 4 1 1 1 0.581 TRUE
1 555 1 27 4 1 1 1 1 0.945 TRUE
1 555 1 28 5 6 0 0 1 0.465 TRUE
1 555 1 29 5 1 1 1 1 0.571 TRUE
1 555 1 30 2 2 1 1 1 0.562 TRUE
1 555 2 1 1 2 0 0 1 0.369 TRUE
1 555 2 2 3 2 1 1 1 0.459 TRUE
1 555 2 3 5 4 1 1 1 0.462 TRUE
1 555 2 4 3 4 0 0 1 0.558 TRUE
1 555 2 5 5 3 1 1 1 0.644 TRUE
1 555 2 6 3 1 1 1 1 0.638 TRUE
1 555 2 7 5 6 0 0 1 0.534 TRUE
1 555 2 8 4 1 1 1 1 0.531 TRUE
1 555 2 9 4 5 0 0 1 0.561 TRUE
1 555 2 10 2 2 1 1 1 0.442 TRUE
1 555 2 11 5 1 1 1 1 0.596 TRUE
1 555 2 12 5 6 0 0 1 0.492 TRUE
1 555 2 13 5 5 1 1 1 0.51 TRUE
1 555 2 14 4 5 0 0 1 0.744 TRUE
1 555 2 15 3 4 0 0 1 0.587 TRUE
1 555 2 16 4 5 0 0 1 0.741 TRUE
1 555 2 17 4 4 1 1 1 0.515 TRUE
1 555 2 18 5 6 0 0 1 0.55 TRUE
1 555 2 19 2 3 0 0 1 0.512 TRUE
1 555 2 20 5 6 0 0 1 0.524 TRUE
1 555 2 21 5 6 0 0 1 0.827 TRUE
1 555 2 22 2 3 0 0 1 0.799 FALSE
1 555 2 23 1 1 1 1 1 0.465 TRUE
1 555 2 24 5 2 1 1 1 0.865 TRUE
1 555 2 25 4 2 1 1 1 0.731 TRUE
1 555 2 26 4 5 0 0 1 0.529 TRUE
1 555 2 27 2 1 1 1 1 0.585 TRUE
1 555 2 28 3 3 1 1 1 0.433 TRUE
1 555 2 29 4 3 1 1 1 0.47 TRUE
1 555 2 30 3 4 0 0 1 0.435 TRUE
1 555 3 1 4 2 1 1 1 0.617 TRUE
1 555 3 2 5 6 0 0 1 0.51 TRUE
1 555 3 3 5 6 0 0 1 0.915 TRUE
1 555 3 4 2 2 1 1 1 0.475 TRUE
1 555 3 5 5 4 1 1 1 0.779 TRUE
1 555 3 6 4 5 0 0 1 0.485 TRUE
1 555 3 7 3 4 0 0 1 0.529 TRUE
1 555 3 8 3 4 0 0 1 0.499 TRUE
1 555 3 9 5 1 1 1 1 0.641 TRUE
1 555 3 10 4 3 1 1 1 0.635 TRUE
1 555 3 11 3 1 1 1 1 0.602 TRUE
1 555 3 12 5 3 1 1 1 0.752 TRUE
1 555 3 13 4 4 1 1 1 0.436 TRUE
1 555 3 14 5 6 0 0 1 0.582 TRUE
1 555 3 15 4 1 0 1 0 0.49 TRUE
1 555 3 16 3 3 1 1 1 0.653 FALSE
1 555 3 17 5 6 0 0 1 0.983 TRUE
1 555 3 18 2 3 0 0 1 0.621 TRUE
1 555 3 19 3 2 1 1 1 0.555 TRUE
1 555 3 20 2 3 0 0 1 0.48 TRUE
1 555 3 21 5 2 1 1 1 0.599 TRUE
1 555 3 22 1 2 0 0 1 0.46 TRUE
1 555 3 23 1 1 1 1 1 0.427 TRUE
1 555 3 24 2 1 1 1 1 0.505 TRUE
1 555 3 25 4 5 0 0 1 0.66 TRUE
1 555 3 26 4 5 0 0 1 0.719 TRUE
1 555 3 27 4 5 0 0 1 0.561 TRUE
1 555 3 28 3 4 0 0 1 0.651 TRUE
1 555 3 29 5 6 0 0 1 0.669 TRUE
1 555 3 30 5 5 1 1 1 0.655 FALSE
1 555 4 1 5 6 1 0 0 0.665 TRUE
1 555 4 2 4 5 0 0 1 0.581 TRUE
1 555 4 3 5 1 0 1 0 0.972 TRUE
1 555 4 4 4 1 1 1 1 0.488 TRUE
1 555 4 5 4 3 1 1 1 0.476 TRUE
1 555 4 6 1 1 1 1 1 0.462 TRUE
1 555 4 7 5 5 1 1 1 0.457 TRUE
1 555 4 8 5 6 0 0 1 0.486 TRUE
1 555 4 9 2 3 0 0 1 0.586 TRUE
1 555 4 10 5 4 1 1 1 0.992 FALSE
1 555 4 11 4 5 0 0 1 0.567 TRUE
1 555 4 12 3 4 0 0 1 0.493 TRUE
1 555 4 13 3 4 0 0 1 0.518 TRUE
1 555 4 14 4 5 0 0 1 0.474 TRUE
1 555 4 15 5 3 1 1 1 0.757 TRUE
1 555 4 16 4 2 1 1 1 0.766 TRUE
1 555 4 17 4 4 1 1 1 0.496 TRUE
1 555 4 18 1 2 0 0 1 0.549 TRUE
1 555 4 19 3 4 0 0 1 0.497 TRUE
1 555 4 20 5 2 1 1 1 0.652 TRUE
1 555 4 21 2 2 1 1 1 0.519 TRUE
1 555 4 22 3 2 1 1 1 0.612 TRUE
1 555 4 23 2 1 1 1 1 0.568 TRUE
1 555 4 24 2 3 0 0 1 0.463 TRUE
1 555 4 25 5 6 0 0 1 0.502 TRUE
1 555 4 26 5 6 0 0 1 0.672 TRUE
1 555 4 27 5 6 0 0 1 0.57 TRUE
1 555 4 28 4 5 0 0 1 0.521 TRUE
1 555 4 29 3 1 1 1 1 0.531 TRUE
1 555 4 30 3 3 1 1 1 0.448 TRUE
1 555 5 1 5 3 1 1 1 0.554 TRUE
1 555 5 2 2 3 0 0 1 0.659 TRUE
1 555 5 3 4 4 1 1 1 0.5 TRUE
1 555 5 4 2 3 0 0 1 0.422 TRUE
1 555 5 5 3 4 0 0 1 0.526 TRUE
1 555 5 6 4 5 0 0 1 0.541 TRUE
1 555 5 7 4 5 0 0 1 0.47 TRUE
1 555 5 8 4 1 1 1 1 1.005 FALSE
1 555 5 9 5 5 1 1 1 0.483 TRUE
1 555 5 10 1 2 0 0 1 0.458 TRUE
1 555 5 11 1 1 1 1 1 0.405 TRUE
1 555 5 12 4 5 0 0 1 0.471 TRUE
1 555 5 13 5 6 0 0 1 0.561 TRUE
1 555 5 14 4 2 1 1 1 0.749 TRUE
1 555 5 15 4 5 0 0 1 0.601 TRUE
1 555 5 16 3 4 0 0 1 0.619 TRUE
1 555 5 17 5 2 0 1 0 0.721 TRUE
1 555 5 18 5 6 0 0 1 0.57 TRUE
1 555 5 19 3 1 1 1 1 0.802 TRUE
1 555 5 20 3 4 0 0 1 0.471 TRUE
1 555 5 21 3 2 1 1 1 0.569 TRUE
1 555 5 22 5 6 0 0 1 0.652 TRUE
1 555 5 23 5 1 1 1 1 0.598 TRUE
1 555 5 24 5 6 0 0 1 0.901 TRUE
1 555 5 25 5 6 0 0 1 0.754 TRUE
1 555 5 26 2 2 1 1 1 0.81 FALSE
1 555 5 27 3 3 1 1 1 0.494 TRUE
1 555 5 28 4 3 1 1 1 0.538 TRUE
1 555 5 29 5 4 1 1 1 0.653 TRUE
1 555 5 30 2 1 1 1 1 0.437 TRUE
1 555 6 1 4 2 1 1 1 0.638 TRUE
1 555 6 2 5 6 0 0 1 0.471 TRUE
1 555 6 3 4 5 0 0 1 0.533 TRUE
1 555 6 4 5 6 0 0 1 0.73 TRUE
1 555 6 5 4 4 1 1 1 0.654 FALSE
1 555 6 6 5 6 0 0 1 0.604 TRUE
1 555 6 7 2 3 0 0 1 0.573 TRUE
1 555 6 8 4 5 1 0 0 0.751 TRUE
1 555 6 9 3 1 1 1 1 0.588 TRUE
1 555 6 10 3 4 0 0 1 0.586 TRUE
1 555 6 11 1 2 0 0 1 0.445 TRUE
1 555 6 12 4 3 0 1 0 0.861 TRUE
1 555 6 13 5 3 1 1 1 0.754 TRUE
1 555 6 14 1 1 1 1 1 0.498 TRUE
1 555 6 15 3 2 1 1 1 0.624 TRUE
1 555 6 16 5 1 1 1 1 0.575 TRUE
1 555 6 17 3 4 0 0 1 0.876 FALSE
1 555 6 18 2 2 1 1 1 0.441 TRUE
1 555 6 19 3 4 0 0 1 0.501 TRUE
1 555 6 20 5 4 1 1 1 0.566 TRUE
1 555 6 21 5 6 0 0 1 0.552 TRUE
1 555 6 22 5 6 0 0 1 0.751 TRUE
1 555 6 23 2 3 0 0 1 0.542 TRUE
1 555 6 24 4 5 0 0 1 0.527 TRUE
1 555 6 25 3 3 1 1 1 0.48 TRUE
1 555 6 26 4 5 0 0 1 0.59 TRUE
1 555 6 27 2 1 1 1 1 0.575 TRUE
1 555 6 28 4 1 1 1 1 0.469 TRUE
1 555 6 29 5 5 1 1 1 0.496 TRUE
1 555 6 30 5 2 0 1 0 0.484 TRUE
1 555 7 1 3 4 0 0 1 0.445 TRUE
1 555 7 2 4 5 0 0 1 0.442 TRUE
1 555 7 3 4 4 1 1 1 0.415 TRUE
1 555 7 4 5 6 0 0 1 0.472 TRUE
1 555 7 5 2 2 1 1 1 0.58 TRUE
1 555 7 6 3 3 1 1 1 0.457 TRUE
1 555 7 7 5 2 0 1 0 0.828 TRUE
1 555 7 8 3 2 1 1 1 0.856 FALSE
1 555 7 9 5 3 1 1 1 0.855 TRUE
1 555 7 10 5 6 0 0 1 0.787 TRUE
1 555 7 11 3 4 0 0 1 0.499 TRUE
1 555 7 12 5 6 0 0 1 0.556 TRUE
1 555 7 13 4 5 0 0 1 0.517 TRUE
1 555 7 14 5 4 1 1 1 0.589 TRUE
1 555 7 15 2 1 0 1 0 0.995 FALSE
1 555 7 16 5 1 0 1 0 0.472 TRUE
1 555 7 17 3 1 1 1 1 0.534 TRUE
