"rep(2, length(dats[, 1]))" "dat[, 1]" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
2 154 1 1 5 4 1 1 1 2.159 FALSE
2 154 1 2 4 2 1 1 1 1.137 TRUE
2 154 1 3 4 5 0 0 1 1.016 TRUE
2 154 1 4 5 6 0 0 1 1.006 TRUE
2 154 1 5 5 6 0 0 1 0.815 TRUE
2 154 1 6 5 3 1 1 1 0.884 TRUE
2 154 1 7 5 5 1 1 1 0.794 TRUE
2 154 1 8 5 6 0 0 1 0.807 TRUE
2 154 1 9 5 2 1 1 1 1.301 TRUE
2 154 1 10 3 4 0 0 1 0.911 TRUE
2 154 1 11 2 3 0 0 1 0.875 TRUE
2 154 1 12 4 4 1 1 1 0.704 TRUE
2 154 1 13 4 5 0 0 1 0.633 TRUE
2 154 1 14 3 2 1 1 1 0.754 TRUE
2 154 1 15 2 2 1 1 1 0.629 TRUE
2 154 1 16 3 3 1 1 1 0.77 FALSE
2 154 1 17 4 1 1 1 1 0.547 TRUE
2 154 1 18 4 3 1 1 1 0.618 TRUE
2 154 1 19 1 2 0 0 1 1.309 FALSE
2 154 1 20 5 6 1 0 0 0.747 TRUE
2 154 1 21 3 4 0 0 1 1.355 FALSE
2 154 1 22 3 4 0 0 1 0.777 TRUE
2 154 1 23 2 1 1 1 1 0.887 FALSE
2 154 1 24 5 1 1 1 1 0.897 TRUE
2 154 1 25 4 5 1 0 0 1.179 TRUE
2 154 1 26 1 1 1 1 1 1.013 FALSE
2 154 1 27 2 3 0 0 1 0.665 TRUE
2 154 1 28 4 5 0 0 1 0.865 TRUE
2 154 1 29 3 1 1 1 1 0.843 TRUE
2 154 1 30 5 6 0 0 1 1.76 TRUE
2 154 2 1 4 5 0 0 1 3.516 FALSE
2 154 2 2 2 1 1 1 1 0.69 TRUE
2 154 2 3 3 4 0 0 1 0.678 TRUE
2 154 2 4 4 1 1 1 1 0.658 TRUE
2 154 2 5 4 3 1 1 1 0.655 TRUE
2 154 2 6 3 4 0 0 1 0.611 TRUE
2 154 2 7 5 3 1 1 1 2.028 TRUE
2 154 2 8 5 4 1 1 1 1.432 FALSE
2 154 2 9 5 6 0 0 1 1.266 TRUE
2 154 2 10 4 4 1 1 1 1.179 FALSE
2 154 2 11 3 2 1 1 1 1.422 FALSE
2 154 2 12 5 6 0 0 1 0.778 TRUE
2 154 2 13 5 6 0 0 1 0.845 TRUE
2 154 2 14 4 2 1 1 1 0.818 TRUE
2 154 2 15 5 6 0 0 1 2.787 FALSE
2 154 2 16 4 5 0 0 1 0.717 TRUE
2 154 2 17 5 1 1 1 1 1.012 TRUE
2 154 2 18 5 5 1 1 1 0.936 TRUE
2 154 2 19 5 2 1 1 1 0.825 TRUE
2 154 2 20 1 1 1 1 1 0.882 FALSE
2 154 2 21 3 3 1 1 1 0.597 TRUE
2 154 2 22 2 2 1 1 1 0.618 TRUE
2 154 2 23 4 5 0 0 1 0.769 TRUE
2 154 2 24 3 4 0 0 1 1.424 FALSE
2 154 2 25 2 3 0 0 1 0.599 TRUE
2 154 2 26 4 5 0 0 1 0.818 TRUE
2 154 2 27 5 6 0 0 1 0.712 TRUE
2 154 2 28 1 2 0 0 1 0.726 TRUE
2 154 2 29 2 3 0 0 1 0.971 TRUE
2 154 2 30 3 1 1 1 1 0.732 TRUE
2 154 3 1 2 3 0 0 1 2.347 FALSE
2 154 3 2 1 1 1 1 1 0.74 TRUE
2 154 3 3 5 2 1 1 1 0.799 TRUE
2 154 3 4 5 6 0 0 1 0.54 TRUE
2 154 3 5 3 4 0 0 1 1.031 TRUE
2 154 3 6 2 3 0 0 1 0.597 TRUE
2 154 3 7 5 6 0 0 1 0.77 TRUE
2 154 3 8 4 5 0 0 1 1.585 TRUE
2 154 3 9 3 3 1 1 1 0.776 FALSE
