"" "" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
4 301 1 1 2 2 1 1 1 0.563 1
4 301 1 2 2 3 0 0 1 0.492 1
4 301 1 3 1 1 1 1 1 0.388 1
4 301 1 4 5 6 0 0 1 0.454 1
4 301 1 5 3 3 1 1 1 0.548 1
4 301 1 6 5 6 0 0 1 0.566 1
4 301 1 7 5 6 0 0 1 0.501 1
4 301 1 8 3 1 1 1 1 0.661 1
4 301 1 9 4 5 0 0 1 0.556 1
4 301 1 10 3 3 1 1 1 0.53 1
4 301 1 11 1 2 0 0 1 0.707 1
4 301 1 12 2 1 1 1 1 0.573 1
4 301 1 13 1 2 0 0 1 0.451 1
4 301 1 14 4 5 0 0 1 0.78 1
4 301 1 15 3 4 0 0 1 0.435 1
4 301 1 16 4 5 0 0 1 0.478 1
4 301 1 17 1 2 0 0 1 0.435 1
4 301 1 18 5 4 1 1 1 0.676 1
4 301 1 19 3 4 0 0 1 0.405 1
4 301 1 20 3 4 0 0 1 0.436 1
4 301 1 21 1 1 1 1 1 0.566 1
4 301 1 22 4 4 1 1 1 0.619 1
4 301 1 23 1 1 1 1 1 0.402 1
4 301 1 24 3 3 1 1 1 0.468 1
4 301 1 25 5 6 0 0 1 0.595 1
4 301 1 26 4 3 1 1 1 0.588 1
4 301 1 27 5 5 1 1 1 0.468 1
4 301 1 28 1 1 1 1 1 0.417 1
4 301 1 29 4 5 0 0 1 0.571 1
4 301 1 30 2 1 1 1 1 0.413 1
4 301 1 31 5 3 1 1 1 0.549 1
4 301 1 32 4 4 1 1 1 0.459 1
4 301 1 33 1 1 1 1 1 0.389 1
4 301 1 34 4 1 1 1 1 0.443 1
4 301 1 35 2 2 1 1 1 0.476 1
4 301 1 36 2 2 1 1 1 0.397 1
4 301 1 37 5 5 1 1 1 0.45 1
4 301 1 38 2 3 0 0 1 0.539 1
4 301 1 39 1 2 0 0 1 0.466 1
4 301 1 40 3 1 1 1 1 0.518 1
4 301 1 41 2 3 0 0 1 0.461 1
4 301 1 42 3 4 0 0 1 0.533 1
4 301 1 43 2 3 0 0 1 0.523 1
4 301 1 44 2 3 0 0 1 0.509 1
4 301 1 45 3 4 0 0 1 0.548 1
4 301 1 46 1 2 0 0 1 0.549 1
4 301 1 47 5 6 0 0 1 0.53 1
4 301 1 48 5 1 1 1 1 0.596 1
4 301 1 49 4 1 1 1 1 0.54 1
4 301 1 50 4 5 0 0 1 0.574 1
4 301 2 1 1 1 1 1 1 0.422 1
4 301 2 2 1 1 1 1 1 0.452 1
4 301 2 3 3 1 1 1 1 0.547 1
4 301 2 4 4 3 1 1 1 0.43 1
4 301 2 5 4 1 1 1 1 0.379 1
4 301 2 6 4 1 1 1 1 0.445 1
4 301 2 7 5 4 1 1 1 0.581 1
4 301 2 8 5 5 1 1 1 0.451 1
4 301 2 9 1 1 1 1 1 0.37 1
4 301 2 10 2 2 1 1 1 0.459 1
4 301 2 11 3 4 0 0 1 0.613 1
4 301 2 12 2 3 0 0 1 0.54 1
4 301 2 13 1 2 0 0 1 0.578 1
4 301 2 14 3 4 0 0 1 0.549 1
4 301 2 15 5 6 0 0 1 0.466 1
4 301 2 16 2 3 0 0 1 0.636 1
4 301 2 17 5 1 1 1 1 0.565 1
4 301 2 18 2 1 1 1 1 0.458 1
4 301 2 19 1 2 0 0 1 0.533 1
4 301 2 20 5 6 0 0 1 0.547 1
4 301 2 21 1 2 0 0 1 0.515 1
4 301 2 22 2 3 0 0 1 0.461 1
4 301 2 23 3 2 1 1 1 0.612 1
4 301 2 24 4 2 1 1 1 0.733 1
4 301 2 25 2 1 1 1 1 0.443 1
4 301 2 26 2 1 1 1 1 0.441 1
4 301 2 27 3 2 1 1 1 0.518 1
4 301 2 28 1 1 1 1 1 0.403 1
4 301 2 29 3 1 1 1 1 0.452 1
4 301 2 30 4 5 0 0 1 0.539 1
4 301 2 31 5 6 0 0 1 0.596 1
4 301 2 32 5 6 0 0 1 0.757 1
4 301 2 33 1 2 0 0 1 0.565 1
4 301 2 34 4 5 0 0 1 0.717 1
4 301 2 35 2 3 0 0 1 0.522 1
4 301 2 36 1 2 0 0 1 0.404 1
4 301 2 37 1 1 1 1 1 0.53 1
4 301 2 38 5 5 1 1 1 0.487 1
4 301 2 39 5 6 0 0 1 0.562 1
4 301 2 40 4 5 0 0 1 0.511 1
4 301 2 41 4 5 0 0 1 0.571 1
4 301 2 42 3 4 0 0 1 0.467 1
4 301 2 43 4 5 0 0 1 0.715 1
4 301 2 44 3 4 0 0 1 0.498 1
4 301 2 45 3 3 1 1 1 0.501 1
4 301 2 46 5 5 1 1 1 0.514 1
4 301 2 47 3 4 0 0 1 0.532 1
4 301 2 48 2 3 0 0 1 0.54 1
4 301 2 49 2 1 1 1 1 0.653 1
4 301 2 50 4 3 1 1 1 0.537 1
4 301 3 1 2 1 1 1 1 0.43 1
4 301 3 2 4 2 1 1 1 0.621 1
4 301 3 3 3 4 0 0 1 0.452 1
4 301 3 4 5 6 1 0 0 0.869 1
4 301 3 5 2 3 0 0 1 0.54 1
4 301 3 6 4 1 1 1 1 0.492 1
4 301 3 7 3 1 1 1 1 0.418 1
4 301 3 8 4 5 0 0 1 0.493 1
4 301 3 9 5 2 1 1 1 0.484 1
4 301 3 10 1 2 0 0 1 0.403 1
4 301 3 11 5 6 0 0 1 0.486 1
4 301 3 12 3 4 0 0 1 0.66 1
4 301 3 13 2 3 0 0 1 0.443 1
4 301 3 14 1 1 1 1 1 0.42 1
4 301 3 15 3 1 1 1 1 0.42 1
4 301 3 16 4 4 1 1 1 0.508 1
4 301 3 17 5 6 0 0 1 0.483 1
4 301 3 18 5 6 0 0 1 0.421 1
4 301 3 19 5 6 0 0 1 0.55 1
4 301 3 20 4 5 0 0 1 0.395 1
4 301 3 21 2 1 1 1 1 0.428 1
4 301 3 22 1 1 1 1 1 0.421 1
4 301 3 23 3 3 1 1 1 0.549 1
4 301 3 24 1 2 0 0 1 0.77 0
4 301 3 25 2 1 1 1 1 0.458 1
4 301 3 26 1 1 1 1 1 0.403 1
4 301 3 27 1 2 0 0 1 0.453 1
4 301 3 28 1 1 1 1 1 0.42 1
4 301 3 29 1 2 0 0 1 0.451 1
4 301 3 30 4 1 1 1 1 0.57 1
4 301 3 31 3 4 1 0 0 1.891 0
4 301 3 32 4 5 0 0 1 0.525 1
4 301 3 33 5 5 1 1 1 0.499 1
4 301 3 34 5 2 1 1 1 0.357 1
4 301 3 35 3 4 0 0 1 0.468 1
4 301 3 36 3 2 1 1 1 0.47 1
4 301 3 37 1 2 0 0 1 0.498 1
4 301 3 38 2 3 0 0 1 0.396 1
4 301 3 39 2 3 0 0 1 0.491 1
4 301 3 40 4 1 1 1 1 0.46 1
4 301 3 41 4 5 0 0 1 0.733 1
4 301 3 42 2 1 1 1 1 0.491 1
4 301 3 43 3 1 1 1 1 0.501 1
4 301 3 44 4 5 0 0 1 0.427 1
4 301 3 45 2 2 1 1 1 0.348 1
4 301 3 46 5 1 1 1 1 0.422 1
4 301 3 47 3 4 0 0 1 0.388 1
4 301 3 48 5 3 1 1 1 0.708 1
4 301 3 49 2 3 0 0 1 0.54 1
4 301 3 50 1 1 1 1 1 0.421 1
4 301 4 1 4 1 1 1 1 0.366 1
4 301 4 2 4 1 1 1 1 0.348 1
4 301 4 3 3 1 1 1 1 0.325 1
4 301 4 4 3 1 1 1 1 0.417 1
4 301 4 5 4 4 1 1 1 0.445 1
4 301 4 6 5 6 0 0 1 0.437 1
4 301 4 7 3 3 1 1 1 0.419 1
4 301 4 8 4 4 1 1 1 0.571 1
4 301 4 9 2 3 0 0 1 0.477 1
4 301 4 10 1 2 0 0 1 0.39 1
4 301 4 11 4 5 0 0 1 0.522 1
4 301 4 12 4 5 0 0 1 0.604 1
4 301 4 13 4 5 0 0 1 0.414 1
4 301 4 14 5 1 1 1 1 0.455 1
4 301 4 15 5 1 1 1 1 0.452 1
4 301 4 16 1 1 1 1 1 0.468 1
4 301 4 17 2 3 0 0 1 0.474 1
4 301 4 18 5 6 0 0 1 0.42 1
4 301 4 19 1 2 0 0 1 0.515 1
4 301 4 20 3 4 0 0 1 0.548 1
4 301 4 21 1 2 0 0 1 0.388 1
4 301 4 22 3 4 0 0 1 0.436 1
4 301 4 23 4 5 0 0 1 1.754 0
4 301 4 24 1 1 0 1 0 0.387 1
4 301 4 25 2 1 1 1 1 0.54 1
4 301 4 26 2 2 1 1 1 0.524 1
4 301 4 27 2 1 0 1 0 0.49 1
4 301 4 28 1 1 1 1 1 0.406 1
4 301 4 29 2 3 0 0 1 0.65 1
4 301 4 30 4 5 0 0 1 0.555 1
4 301 4 31 5 6 0 0 1 0.419 1
4 301 4 32 2 3 0 0 1 0.442 1
4 301 4 33 1 1 1 1 1 0.367 1
4 301 4 34 5 4 1 1 1 1.142 0
4 301 4 35 5 4 1 1 1 0.388 1
4 301 4 36 5 6 1 0 0 0.883 1
4 301 4 37 2 2 1 1 1 0.414 1
4 301 4 38 2 1 1 1 1 0.427 1
4 301 4 39 5 6 0 0 1 0.438 1
4 301 4 40 3 4 0 0 1 0.422 1
4 301 4 41 1 1 1 1 1 0.48 1
4 301 4 42 3 4 0 0 1 0.501 1
4 301 4 43 1 2 0 0 1 0.436 1
4 301 4 44 5 2 1 1 1 0.659 1
4 301 4 45 1 2 0 0 1 0.498 1
4 301 4 46 4 1 1 1 1 0.473 1
4 301 4 47 2 3 0 0 1 0.508 1
4 301 4 48 3 3 1 1 1 0.468 1
4 301 4 49 3 4 0 0 1 0.467 1
4 301 4 50 3 1 1 1 1 0.484 1
4 301 5 1 5 6 0 0 1 0.42 1
4 301 5 2 2 1 0 1 0 0.379 1
4 301 5 3 3 3 1 1 1 0.453 1
4 301 5 4 4 5 0 0 1 1.022 0
4 301 5 5 2 3 0 0 1 0.431 1
4 301 5 6 5 6 0 0 1 0.453 1
4 301 5 7 2 3 0 0 1 0.187 0
4 301 5 8 1 2 1 0 0 0.438 1
4 301 5 9 4 5 1 0 0 0.537 1
4 301 5 10 2 3 0 0 1 0.492 1
4 301 5 11 2 1 1 1 1 0.429 1
4 301 5 12 3 4 0 0 1 0.438 1
4 301 5 13 3 1 1 1 1 0.581 1
4 301 5 14 1 1 1 1 1 0.373 1
4 301 5 15 3 4 0 0 1 0.577 1
4 301 5 16 1 2 0 0 1 0.502 1
4 301 5 17 4 2 1 1 1 0.461 1
4 301 5 18 1 2 0 0 1 0.438 1
4 301 5 19 1 1 1 1 1 0.433 1
4 301 5 20 5 6 0 0 1 0.531 1
4 301 5 21 4 5 0 0 1 0.426 1
4 301 5 22 3 4 0 0 1 0.58 1
4 301 5 23 3 2 1 1 1 0.454 1
4 301 5 24 3 1 1 1 1 0.499 1
4 301 5 25 5 1 1 1 1 0.374 1
4 301 5 26 1 1 1 1 1 0.612 1
4 301 5 27 5 3 1 1 1 0.483 1
4 301 5 28 2 1 1 1 1 0.427 1
4 301 5 29 4 3 1 1 1 0.524 1
4 301 5 30 4 5 0 0 1 0.443 1
4 301 5 31 1 1 1 1 1 0.372 1
4 301 5 32 4 4 1 1 1 0.476 1
4 301 5 33 1 2 0 0 1 0.643 1
4 301 5 34 5 6 0 0 1 0.677 1
4 301 5 35 5 6 0 0 1 0.39 1
4 301 5 36 3 1 1 1 1 0.499 1
4 301 5 37 1 1 1 1 1 0.402 1
4 301 5 38 2 2 1 1 1 0.508 1
4 301 5 39 4 5 0 0 1 0.442 1
4 301 5 40 5 1 1 1 1 0.421 1
4 301 5 41 2 2 1 1 1 0.429 1
4 301 5 42 2 3 0 0 1 0.493 1
4 301 5 43 3 4 0 0 1 0.419 1
4 301 5 44 4 2 1 1 1 0.51 1
4 301 5 45 4 2 1 1 1 0.618 1
4 301 5 46 5 2 1 1 1 0.453 1
4 301 5 47 3 4 1 0 0 0.532 1
4 301 5 48 1 2 0 0 1 0.58 1
4 301 5 49 2 3 0 0 1 0.493 1
4 301 5 50 5 5 1 1 1 1.013 0
4 301 6 1 2 2 1 1 1 0.444 1
4 301 6 2 3 4 0 0 1 0.484 1
4 301 6 3 2 1 1 1 1 0.475 1
4 301 6 4 5 6 0 0 1 0.533 1
4 301 6 5 1 1 1 1 1 0.58 1
4 301 6 6 2 3 0 0 1 0.414 1
4 301 6 7 1 1 1 1 1 0.386 1
4 301 6 8 3 4 0 0 1 0.484 1
4 301 6 9 4 1 1 1 1 0.492 1
4 301 6 10 1 1 1 1 1 0.356 1
4 301 6 11 5 3 1 1 1 0.501 1
4 301 6 12 4 5 0 0 1 0.476 1
4 301 6 13 2 3 0 0 1 0.427 1
4 301 6 14 3 2 1 1 1 0.486 1
4 301 6 15 3 4 0 0 1 0.47 1
4 301 6 16 4 5 0 0 1 0.572 1
4 301 6 17 1 2 0 0 1 0.532 1
4 301 6 18 5 4 1 1 1 0.757 1
4 301 6 19 3 4 0 0 1 0.452 1
4 301 6 20 3 3 1 1 1 0.5 1
4 301 6 21 2 2 1 1 1 0.46 1
4 301 6 22 5 6 0 0 1 0.469 1
4 301 6 23 4 5 0 0 1 0.539 1
4 301 6 24 1 1 1 1 1 0.452 1
4 301 6 25 1 2 0 0 1 0.484 1
4 301 6 26 4 3 1 1 1 0.51 1
4 301 6 27 2 3 0 0 1 0.491 1
4 301 6 28 4 5 0 0 1 1.003 0
4 301 6 29 1 1 1 1 1 0.387 1
4 301 6 30 4 1 1 1 1 0.429 1
4 301 6 31 4 4 1 1 1 0.651 1
4 301 6 32 1 2 0 0 1 0.468 1
4 301 6 33 1 2 0 0 1 0.467 1
4 301 6 34 4 5 0 0 1 0.507 1
4 301 6 35 2 3 0 0 1 0.477 1
4 301 6 36 4 4 1 1 1 0.525 1
4 301 6 37 1 2 0 0 1 0.516 1
4 301 6 38 3 4 0 0 1 0.484 1
4 301 6 39 3 2 0 1 0 0.517 1
4 301 6 40 5 6 0 0 1 0.451 1
4 301 6 41 2 3 0 0 1 0.461 1
4 301 6 42 5 1 1 1 1 0.615 1
4 301 6 43 5 3 1 1 1 0.452 1
4 301 6 44 3 1 1 1 1 0.548 1
4 301 6 45 5 6 0 0 1 0.742 1
4 301 6 46 5 4 1 1 1 0.467 1
4 301 6 47 3 1 1 1 1 1.444 0
4 301 6 48 2 1 1 1 1 0.365 1
4 301 6 49 5 6 0 0 1 0.481 1
4 301 6 50 2 1 1 1 1 0.461 1
4 301 7 1 5 4 1 1 1 0.565 1
4 301 7 2 2 1 1 1 1 0.396 1
4 301 7 3 1 1 1 1 1 0.357 1
4 301 7 4 1 2 0 0 1 0.45 1
4 301 7 5 5 6 0 0 1 0.437 1
4 301 7 6 4 5 0 0 1 0.539 1
4 301 7 7 5 6 0 0 1 0.42 1
4 301 7 8 5 6 0 0 1 0.468 1
4 301 7 9 2 1 1 1 1 0.429 1
4 301 7 10 1 1 1 1 1 0.628 1
4 301 7 11 1 1 1 1 1 0.356 1
4 301 7 12 3 4 0 0 1 0.422 1
4 301 7 13 4 1 1 1 1 0.394 1
4 301 7 14 4 5 0 0 1 0.411 1
4 301 7 15 4 3 1 1 1 0.618 1
4 301 7 16 2 1 1 1 1 0.522 1
4 301 7 17 3 4 1 0 0 0.535 1
4 301 7 18 4 5 0 0 1 0.429 1
4 301 7 19 3 4 0 0 1 0.453 1
4 301 7 20 2 2 1 1 1 0.57 1
4 301 7 21 3 3 1 1 1 0.47 1
4 301 7 22 4 2 1 1 1 0.444 1
4 301 7 23 3 3 1 1 1 0.415 1
4 301 7 24 5 4 1 1 1 0.525 1
4 301 7 25 3 4 0 0 1 0.451 1
4 301 7 26 5 1 1 1 1 0.467 1
4 301 7 27 3 4 0 0 1 0.532 1
4 301 7 28 4 5 0 0 1 0.539 1
4 301 7 29 1 2 1 0 0 0.565 1
4 301 7 30 2 3 0 0 1 0.508 1
4 301 7 31 5 5 1 1 1 0.484 1
4 301 7 32 2 3 0 0 1 0.493 1
4 301 7 33 1 2 0 0 1 0.548 1
4 301 7 34 3 1 1 1 1 0.627 1
4 301 7 35 5 1 1 1 1 0.45 1
4 301 7 36 1 2 0 0 1 0.468 1
4 301 7 37 2 3 1 0 0 3.256 0
4 301 7 38 1 1 1 1 1 0.451 1
4 301 7 39 5 6 0 0 1 0.485 1
4 301 7 40 4 1 1 1 1 0.526 1
4 301 7 41 1 2 0 0 1 0.435 1
4 301 7 42 2 3 0 0 1 0.413 1
4 301 7 43 3 1 1 1 1 0.484 1
4 301 7 44 2 1 1 1 1 0.429 1
4 301 7 45 3 2 1 1 1 0.483 1
4 301 7 46 4 5 0 0 1 0.554 1
4 301 7 47 1 1 1 1 1 0.468 1
4 301 7 48 4 3 1 1 1 0.7 1
4 301 7 49 2 3 0 0 1 0.474 1
4 301 7 50 5 6 0 0 1 0.437 1
4 301 8 1 3 2 1 1 1 0.454 1
4 301 8 2 3 1 1 1 1 0.437 1
4 301 8 3 4 5 0 0 1 0.475 1
4 301 8 4 1 2 0 0 1 1.075 0
4 301 8 5 5 1 1 1 1 0.421 1
4 301 8 6 2 3 0 0 1 0.412 1
4 301 8 7 1 1 1 1 1 0.358 1
4 301 8 8 5 6 0 0 1 0.481 1
4 301 8 9 2 3 0 0 1 0.395 1
4 301 8 10 5 5 1 1 1 0.5 1
4 301 8 11 2 3 0 0 1 0.426 1
4 301 8 12 5 6 0 0 1 0.404 1
4 301 8 13 3 4 0 0 1 0.484 1
4 301 8 14 3 2 1 1 1 0.483 1
4 301 8 15 1 1 1 1 1 0.723 0
4 301 8 16 1 2 0 0 1 0.581 1
4 301 8 17 4 3 1 1 1 0.412 1
4 301 8 18 5 2 1 1 1 0.599 1
4 301 8 19 3 1 1 1 1 0.453 1
4 301 8 20 3 4 0 0 1 0.594 1
4 301 8 21 1 1 1 1 1 0.358 1
4 301 8 22 3 3 1 1 1 0.453 1
4 301 8 23 4 4 1 1 1 0.397 1
4 301 8 24 1 2 0 0 1 0.402 1
4 301 8 25 4 4 1 1 1 0.445 1
4 301 8 26 1 2 0 0 1 0.434 1
4 301 8 27 2 3 0 0 1 0.444 1
4 301 8 28 5 2 1 1 1 0.485 1
4 301 8 29 1 1 1 1 1 0.419 1
4 301 8 30 5 6 0 0 1 0.406 1
4 301 8 31 4 4 1 1 1 0.521 1
4 301 8 32 5 1 1 1 1 0.453 1
4 301 8 33 2 1 1 1 1 0.413 1
4 301 8 34 4 5 0 0 1 0.461 1
4 301 8 35 4 5 0 0 1 0.494 1
4 301 8 36 2 2 1 1 1 0.539 1
4 301 8 37 5 6 0 0 1 0.469 1
4 301 8 38 1 1 1 1 1 0.481 1
4 301 8 39 2 1 1 1 1 0.494 1
4 301 8 40 1 2 0 0 1 0.468 1
4 301 8 41 2 2 1 1 1 0.393 1
4 301 8 42 4 2 1 1 1 0.461 1
4 301 8 43 5 6 0 0 1 0.436 1
4 301 8 44 2 3 0 0 1 0.764 0
4 301 8 45 3 4 0 0 1 0.451 1
4 301 8 46 4 5 0 0 1 0.397 1
4 301 8 47 3 4 0 0 1 0.422 1
4 301 8 48 2 2 1 1 1 0.429 1
4 301 8 49 4 5 0 0 1 0.461 1
4 301 8 50 3 4 1 0 0 0.467 1
4 301 9 1 3 1 1 1 1 0.487 1
4 301 9 2 2 3 0 0 1 0.379 1
4 301 9 3 3 1 0 1 0 0.373 1
4 301 9 4 2 1 1 1 1 0.477 1
4 301 9 5 1 2 0 0 1 0.437 1
4 301 9 6 4 4 1 1 1 0.605 1
4 301 9 7 3 3 1 1 1 0.502 1
4 301 9 8 2 3 0 0 1 0.427 1
4 301 9 9 5 6 0 0 1 0.514 1
4 301 9 10 3 3 1 1 1 0.436 1
4 301 9 11 1 1 1 1 1 0.419 1
4 301 9 12 1 2 0 0 1 0.451 1
4 301 9 13 3 4 0 0 1 0.388 1
4 301 9 14 2 1 1 1 1 0.572 1
4 301 9 15 1 2 0 0 1 0.403 1
4 301 9 16 5 6 0 0 1 0.516 1
4 301 9 17 1 2 0 0 1 0.454 1
