subj_idx,size,rt,stim,correct,corresp,response,CSI,probe
10,4,0.2101,1,1,1,1,1000,pos
17,2,0.2168,1,0,1,0,1000,pos
2,2,0.2204,1,1,1,1,100,pos
7,2,0.2322,2,0,0,1,400,int
7,2,0.2401,1,1,1,1,400,pos
4,1,0.2429,1,1,1,1,100,pos
24,2,0.2473,1,1,1,1,400,pos
7,2,0.2483,1,1,1,1,400,pos
7,4,0.2496,1,1,1,1,400,pos
4,1,0.2537,1,1,1,1,400,pos
21,2,0.2564,1,1,1,1,1000,pos
24,6,0.2584,2,1,0,0,400,int
7,1,0.259,2,1,0,0,No,int
7,6,0.2597,2,0,0,1,400,int
7,2,0.2641,1,1,1,1,400,pos
7,2,0.2644,1,1,1,1,400,pos
17,2,0.2695,1,1,1,1,No,pos
4,1,0.2701,1,1,1,1,1000,pos
4,1,0.2703,1,1,1,1,1000,pos
12,4,0.2708,1,1,1,1,100,pos
23,1,0.2718,1,1,1,1,1000,pos
7,2,0.2719,1,1,1,1,2000,pos
7,4,0.2721,2,0,0,1,1000,int
4,4,0.2729,1,1,1,1,1000,pos
24,4,0.2731,1,1,1,1,1000,pos
7,4,0.2736,2,0,0,1,400,neg
7,2,0.2778,1,1,1,1,1000,pos
7,2,0.2779,2,0,0,1,400,int
11,4,0.2782,1,1,1,1,No,pos
20,4,0.2784,1,1,1,1,2000,pos
20,4,0.2787,1,0,1,0,1000,pos
11,1,0.2791,1,1,1,1,2000,pos
24,2,0.2793,1,1,1,1,400,pos
7,2,0.2802,1,1,1,1,1000,pos
2,1,0.2807,1,1,1,1,No,pos
1,4,0.2807,1,1,1,1,1000,pos
14,4,0.2815,1,1,1,1,2000,pos
7,4,0.2817,1,0,1,0,1000,pos
7,4,0.2819,1,1,1,1,1000,pos
7,6,0.2823,1,1,1,1,1000,pos
7,2,0.2825,1,1,1,1,1000,pos
7,6,0.2839,1,1,1,1,400,pos
17,6,0.2841,1,0,1,0,1000,pos
7,1,0.2852,1,1,1,1,2000,pos
20,2,0.2857,1,1,1,1,1000,pos
24,1,0.2861,1,1,1,1,1000,pos
