subj_idx,size,rt,correct,task,CSI,probe,corresp,response
3,2,0.2,1,ver,0,neg,0,0
4,6,0.2066,1,vis,400,pos,1,1
3,2,0.211,0,ver,400,neg,0,1
4,1,0.2127,0,vis,100,neg,0,1
4,6,0.2142,0,vis,400,neg,0,1
3,6,0.216,0,ver,0,neg,0,1
4,2,0.2171,1,vis,100,pos,1,1
4,1,0.219,1,vis,2000,pos,1,1
4,4,0.2195,1,vis,400,pos,1,1
3,6,0.2197,0,ver,0,pos,1,0
5,4,0.2216,1,vis,100,neg,0,0
4,6,0.2218,0,vis,2000,neg,0,1
4,4,0.2229,1,vis,400,pos,1,1
8,4,0.2234,1,vis,400,pos,1,1
3,2,0.224,0,ver,400,int,0,1
4,2,0.2245,1,ver,400,pos,1,1
4,4,0.2254,1,vis,400,pos,1,1
4,1,0.2257,0,vis,400,neg,0,1
4,4,0.2265,1,vis,100,pos,1,1
20,4,0.2275,1,ver,400,pos,1,1
4,6,0.23,0,vis,400,int,0,1
4,2,0.2317,0,vis,400,neg,0,1
2,4,0.2324,1,vis,2000,pos,1,1
4,4,0.2345,0,vis,2000,int,0,1
3,1,0.2353,1,ver,100,pos,1,1
4,1,0.2363,0,vis,400,int,0,1
4,6,0.2369,0,vis,400,neg,0,1
4,2,0.2379,1,vis,400,pos,1,1
3,1,0.24,1,ver,0,neg,0,0
20,1,0.2401,1,vis,400,pos,1,1
5,1,0.2402,1,ver,100,int,0,0
8,1,0.2408,1,vis,100,pos,1,1
19,2,0.2408,1,vis,2000,pos,1,1
5,4,0.2416,1,vis,2000,pos,1,1
5,1,0.2426,1,vis,400,neg,0,0
10,6,0.2445,1,vis,400,pos,1,1
8,2,0.2453,1,vis,400,pos,1,1
4,2,0.2453,0,vis,2000,int,0,1
8,2,0.2456,1,vis,400,pos,1,1
4,4,0.2458,1,vis,400,pos,1,1
10,4,0.2469,1,vis,400,pos,1,1
14,2,0.2475,1,vis,100,pos,1,1
19,1,0.2477,0,vis,2000,pos,1,0
4,4,0.2486,0,ver,400,neg,0,1
20,4,0.2488,1,vis,400,pos,1,1
4,2,0.2489,0,vis,2000,neg,0,1
3,6,0.2495,1,vis,100,pos,1,1
14,1,0.2503,1,vis,400,int,0,0
4,2,0.2504,0,vis,100,int,0,1
4,2,0.2508,1,vis,400,pos,1,1
4,2,0.2515,1,vis,400,pos,1,1
2,4,0.2516,1,vis,400,pos,1,1
8,1,0.2527,0,vis,400,int,0,1
9,1,0.2528,1,ver,2000,pos,1,1
4,2,0.2531,1,ver,400,pos,1,1
4,2,0.2532,1,vis,400,pos,1,1
20,1,0.2533,0,vis,0,neg,0,1
4,6,0.2534,1,vis,400,pos,1,1
9,2,0.2535,1,ver,400,pos,1,1
2,2,0.2537,1,vis,2000,pos,1,1
12,6,0.2541,1,vis,400,pos,1,1
2,6,0.2542,1,vis,400,pos,1,1
4,1,0.2545,0,ver,400,int,0,1
12,2,0.2546,1,vis,400,pos,1,1
2,6,0.2549,1,vis,400,pos,1,1
10,4,0.2549,0,vis,400,int,0,1
14,1,0.2559,1,vis,400,pos,1,1
3,6,0.2559,1,ver,0,neg,0,0
3,6,0.256,0,ver,400,pos,1,0
12,4,0.2561,1,vis,400,pos,1,1
2,4,0.2561,1,vis,100,pos,1,1
12,4,0.2565,0,vis,400,int,0,1
2,2,0.2565,1,vis,100,pos,1,1
3,2,0.2566,1,ver,100,pos,1,1
4,4,0.2574,1,vis,400,pos,1,1
4,6,0.2575,0,vis,400,int,0,1
2,2,0.2581,1,ver,100,pos,1,1
8,1,0.2585,1,vis,400,pos,1,1
8,1,0.2598,1,vis,2000,pos,1,1
8,1,0.2599,1,vis,100,pos,1,1
4,6,0.26,1,vis,400,pos,1,1
5,1,0.2604,1,ver,400,pos,1,1
4,1,0.2604,1,vis,2000,pos,1,1
4,2,0.2604,1,vis,400,pos,1,1
14,1,0.2604,1,vis,2000,pos,1,1
4,1,0.2607,1,vis,0,pos,1,1
4,1,0.2607,1,vis,400,pos,1,1
2,2,0.2608,1,vis,400,pos,1,1
14,1,0.2609,1,vis,0,pos,1,1
8,4,0.2609,1,ver,400,pos,1,1
19,6,0.2614,1,vis,0,pos,1,1
4,2,0.2619,1,vis,2000,pos,1,1
9,2,0.262,1,vis,400,pos,1,1
12,2,0.2625,1,vis,400,pos,1,1
2,2,0.2626,1,vis,400,pos,1,1
10,4,0.2626,1,vis,400,pos,1,1
2,4,0.2627,1,vis,400,pos,1,1
4,6,0.2627,1,vis,2000,pos,1,1
1,1,0.2628,1,vis,100,pos,1,1
8,4,0.2632,1,vis,400,pos,1,1
16,4,0.2634,0,ver,400,pos,1,0
7,1,0.264,1,vis,0,pos,1,1
9,1,0.2641,1,vis,400,pos,1,1
4,6,0.2644,0,vis,100,neg,0,1
5,1,0.2648,0,ver,400,int,0,1
2,4,0.2649,1,vis,400,pos,1,1
4,2,0.2654,1,vis,100,pos,1,1
