subj_idx,CSI,size,probe,rt,correct,stim,response
4,400,8,int,0.2027,0,1,1
23,100,4,pos,0.2081,0,2,0
4,2000,8,pos,0.2105,0,2,0
22,2000,8,pos,0.2191,0,2,0
22,400,6,pos,0.2265,1,2,1
5,400,6,pos,0.2274,1,2,1
6,400,8,int,0.2424,1,1,0
22,400,4,pos,0.2427,1,2,1
4,100,4,pos,0.2469,1,2,1
3,400,2,pos,0.2503,0,2,0
24,400,4,pos,0.2524,0,2,0
3,400,4,pos,0.2525,1,2,1
23,100,6,pos,0.2564,0,2,0
3,400,2,neg,0.2571,1,1,0
4,400,2,pos,0.2589,0,2,0
5,2000,2,neg,0.2592,0,1,1
22,2000,8,pos,0.2603,0,2,0
23,100,6,pos,0.2646,0,2,0
4,400,2,int,0.2674,1,1,0
4,100,4,int,0.2711,1,1,0
6,100,4,neg,0.2719,0,1,1
4,400,8,pos,0.2742,1,2,1
8,No,2,neg,0.2748,0,1,1
24,400,4,pos,0.2749,0,2,0
22,2000,4,pos,0.2754,1,2,1
8,400,6,pos,0.2754,1,2,1
6,400,6,pos,0.2758,1,2,1
19,400,6,pos,0.276,1,2,1
11,400,4,pos,0.2761,0,2,0
24,2000,2,pos,0.2763,0,2,0
6,2000,8,neg,0.2763,0,1,1
4,400,8,neg,0.28,1,1,0
6,2000,8,neg,0.2815,0,1,1
4,400,6,int,0.2826,1,1,0
22,400,4,pos,0.2827,1,2,1
22,400,8,pos,0.2832,1,2,1
22,400,4,pos,0.2834,1,2,1
23,No,8,pos,0.2834,0,2,0
6,2000,8,neg,0.2841,1,1,0
6,100,6,pos,0.2882,1,2,1
4,400,4,pos,0.2883,1,2,1
24,2000,2,int,0.2898,1,1,0
22,No,8,int,0.2901,1,1,0
5,400,6,neg,0.2907,0,1,1
4,400,8,pos,0.291,1,2,1
24,400,6,neg,0.2914,1,1,0
6,2000,2,pos,0.2918,1,2,1
3,400,8,int,0.2924,1,1,0
4,100,8,pos,0.2953,1,2,1
8,100,6,int,0.2957,0,1,1
6,100,8,neg,0.2962,0,1,1
5,2000,4,int,0.298,0,1,1
22,400,6,pos,0.2989,1,2,1
6,400,4,int,0.2991,0,1,1
22,2000,4,pos,0.2992,1,2,1
24,2000,4,pos,0.2993,0,2,0
22,400,2,pos,0.2993,1,2,1
23,2000,8,neg,0.2997,0,1,1
6,2000,6,pos,0.3,0,2,0
6,2000,6,int,0.3001,1,1,0
23,2000,2,neg,0.3001,0,1,1
23,2000,8,pos,0.3007,0,2,0
7,2000,6,pos,0.3052,1,2,1
18,400,4,pos,0.3068,1,2,1
22,2000,8,neg,0.3068,1,1,0
22,2000,8,pos,0.3069,0,2,0
5,2000,6,pos,0.307,1,2,1
4,400,8,int,0.307,1,1,0
12,2000,2,pos,0.3072,1,2,1
22,400,2,pos,0.3072,1,2,1
4,400,6,neg,0.3074,0,1,1
7,2000,4,pos,0.3078,1,2,1
23,2000,6,int,0.3079,0,1,1
6,2000,6,neg,0.3081,0,1,1
23,400,6,pos,0.3081,1,2,1
