"Individual Responses by participant for each trial, list length & serial position",,,,,,,,,,,,,,,,,,Collapsed over serial position,,,,,,,,,Trial Data,,,,,,,,,,,,,,,,,,
,,,LL2,,LL3,,,LL4,,,,LL5,,,,,,Number Correct,,,,Proportion Correct,,,,,Trials Correct,,,,,,,,,,,,,,,,,,
Participant,Condition,Trial,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5,,LL2,LL3,LL4,LL5,LL2,LL3,LL4,LL5,,LL2,LL3,LL4,LL5,,,,,,,,,,,,,,,
P1,BSE,T1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,,2.00,2.00,4.00,1.00,1.00,0.67,1.00,0.20,,1,0,1,0,,,,,,,,,,,,,,,
P1,BSE,T2,1,1,1,1,1,0,0,0,1,1,1,0,0,0,,2.00,3.00,1.00,2.00,1.00,1.00,0.25,0.40,,1,1,0,0,,,,,,,,,,,,,,,
P1,BSE,T3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,2.00,3.00,4.00,0.00,1.00,1.00,1.00,0.00,,1,1,1,0,,,,,,,,,,,,,,,
P1,BSEP,T1,1,1,1,1,1,1,1,0,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P1,BSEP,T2,1,1,1,1,1,1,1,0,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P1,BSEP,T3,1,1,0,0,1,1,1,1,0,-,-,-,-,-,,2.00,1.00,3.00,-,1.00,0.33,0.75,-,,1,0,0,0,,,,,,,,,,,,,,,
P2,BSE,T1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,2.00,3.00,4.00,1.00,1.00,1.00,1.00,0.20,,1,1,1,0,,,,,,,,,,,,,,,
P2,BSE,T2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,2.00,3.00,4.00,4.00,1.00,1.00,1.00,0.80,,1,1,1,0,,,,,,,,,,,,,,,
P2,BSE,T3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.00,3.00,4.00,5.00,1.00,1.00,1.00,1.00,,1,1,1,1,,,,,,,,,,,,,,,
P2,BSEP,T1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,,2.00,3.00,2.00,1.00,1.00,1.00,0.50,0.20,,1,1,0,0,,,,,,,,,,,,,,,
P2,BSEP,T2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,2.00,3.00,4.00,1.00,1.00,1.00,1.00,0.20,,1,1,1,0,,,,,,,,,,,,,,,
P2,BSEP,T3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,2.00,3.00,4.00,1.00,1.00,1.00,1.00,0.20,,1,1,1,0,,,,,,,,,,,,,,,
P3,BSE,T1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,,2.00,3.00,2.00,2.00,1.00,1.00,0.50,0.40,,1,1,0,0,,,,,,,,,,,,,,,
P3,BSE,T2,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,2.00,3.00,3.00,3.00,1.00,1.00,0.75,0.60,,1,1,0,0,,,,,,,,,,,,,,,
P3,BSE,T3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,2.00,2.00,4.00,4.00,1.00,0.67,1.00,0.80,,1,0,1,0,,,,,,,,,,,,,,,
P3,BSEP,T1,1,1,1,1,1,1,0,0,0,-,-,-,-,-,,2.00,3.00,1.00,-,1.00,1.00,0.25,-,,1,1,0,0,,,,,,,,,,,,,,,
P3,BSEP,T2,1,1,1,1,1,1,1,0,0,-,-,-,-,-,,2.00,3.00,2.00,-,1.00,1.00,0.50,-,,1,1,0,0,,,,,,,,,,,,,,,
P3,BSEP,T3,1,1,0,0,1,0,0,1,0,-,-,-,-,-,,2.00,1.00,1.00,-,1.00,0.33,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P4,BSE,T1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,2.00,3.00,3.00,0.00,1.00,1.00,0.75,0.00,,1,1,0,0,,,,,,,,,,,,,,,
P4,BSE,T2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,2.00,3.00,4.00,0.00,1.00,1.00,1.00,0.00,,1,1,1,0,,,,,,,,,,,,,,,
P4,BSE,T3,1,1,1,1,1,0,1,1,0,0,0,0,0,0,,2.00,3.00,2.00,0.00,1.00,1.00,0.50,0.00,,1,1,0,0,,,,,,,,,,,,,,,
P4,BSEP,T1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,,2.00,3.00,2.00,2.00,1.00,1.00,0.50,0.40,,1,1,0,0,,,,,,,,,,,,,,,
P4,BSEP,T2,1,1,0,0,1,0,0,1,1,0,0,0,0,1,,2.00,1.00,2.00,1.00,1.00,0.33,0.50,0.20,,1,0,0,0,,,,,,,,,,,,,,,
P4,BSEP,T3,1,1,1,0,1,1,1,1,1,0,0,0,0,0,,2.00,2.00,4.00,0.00,1.00,0.67,1.00,0.00,,1,0,1,0,,,,,,,,,,,,,,,
P5,BSE,T1,1,1,1,1,1,1,1,0,0,-,-,-,-,-,,2.00,3.00,2.00,-,1.00,1.00,0.50,-,,1,1,0,0,,,,,,,,,,,,,,,
P5,BSE,T2,1,1,0,0,1,1,1,0,1,-,-,-,-,-,,2.00,1.00,3.00,-,1.00,0.33,0.75,-,,1,0,0,0,,,,,,,,,,,,,,,
P5,BSE,T3,1,1,1,1,1,1,1,0,0,-,-,-,-,-,,2.00,3.00,2.00,-,1.00,1.00,0.50,-,,1,1,0,0,,,,,,,,,,,,,,,
P5,BSEP,T1,0,1,0,0,1,-,-,-,-,-,-,-,-,-,,1.00,1.00,-,-,0.50,0.33,-,-,,0,0,0,0,,,,,,,,,,,,,,,
P5,BSEP,T2,1,1,1,0,1,-,-,-,-,-,-,-,-,-,,2.00,2.00,-,-,1.00,0.67,-,-,,1,0,0,0,,,,,,,,,,,,,,,
P5,BSEP,T3,0,1,0,0,0,-,-,-,-,-,-,-,-,-,,1.00,0.00,-,-,0.50,0.00,-,-,,0,0,0,0,,,,,,,,,,,,,,,
P6,BSE,T1,1,1,0,0,1,1,0,0,0,-,-,-,-,-,,2.00,1.00,1.00,-,1.00,0.33,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P6,BSE,T2,1,1,1,1,1,0,1,0,0,-,-,-,-,-,,2.00,3.00,1.00,-,1.00,1.00,0.25,-,,1,1,0,0,,,,,,,,,,,,,,,
P6,BSE,T3,0,1,1,1,1,1,1,0,1,-,-,-,-,-,,1.00,3.00,3.00,-,0.50,1.00,0.75,-,,0,1,0,0,,,,,,,,,,,,,,,
P6,BSEP,T1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,,2.00,3.00,2.00,1.00,1.00,1.00,0.50,0.20,,1,1,0,0,,,,,,,,,,,,,,,
P6,BSEP,T2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,,2.00,3.00,4.00,1.00,1.00,1.00,1.00,0.20,,1,1,1,0,,,,,,,,,,,,,,,
P6,BSEP,T3,1,1,1,0,1,1,0,1,1,0,0,0,0,0,,2.00,2.00,3.00,0.00,1.00,0.67,0.75,0.00,,1,0,0,0,,,,,,,,,,,,,,,
P7,BSE,T1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,,2.00,3.00,4.00,1.00,1.00,1.00,1.00,0.20,,1,1,1,0,,,,,,,,,,,,,,,
P7,BSE,T2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,,2.00,3.00,1.00,3.00,1.00,1.00,0.25,0.60,,1,1,0,0,,,,,,,,,,,,,,,
P7,BSE,T3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,2.00,3.00,4.00,4.00,1.00,1.00,1.00,0.80,,1,1,1,0,,,,,,,,,,,,,,,
P7,BSEP,T1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,,2.00,3.00,3.00,3.00,1.00,1.00,0.75,0.60,,1,1,0,0,,,,,,,,,,,,,,,
P7,BSEP,T2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,,2.00,3.00,4.00,3.00,1.00,1.00,1.00,0.60,,1,1,1,0,,,,,,,,,,,,,,,
P7,BSEP,T3,1,1,1,1,1,1,0,0,0,1,1,1,0,1,,2.00,3.00,1.00,4.00,1.00,1.00,0.25,0.80,,1,1,0,0,,,,,,,,,,,,,,,
P8,BSE,T1,1,1,0,1,0,1,1,0,1,-,-,-,-,-,,2.00,1.00,3.00,-,1.00,0.33,0.75,-,,1,0,0,0,,,,,,,,,,,,,,,
P8,BSE,T2,1,1,1,1,1,1,1,0,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P8,BSE,T3,1,1,1,1,1,1,0,1,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P8,BSEP,T1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,2.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,,1,1,0,0,,,,,,,,,,,,,,,
P8,BSEP,T2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,,0.00,0.00,4.00,1.00,0.00,0.00,1.00,0.20,,0,0,1,0,,,,,,,,,,,,,,,
P8,BSEP,T3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,2.00,1.00,0.00,0.00,1.00,0.33,0.00,0.00,,1,0,0,0,,,,,,,,,,,,,,,
P9,BSE,T1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,2.00,1.00,1.00,3.00,1.00,0.33,0.25,0.60,,1,0,0,0,,,,,,,,,,,,,,,
P9,BSE,T2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,,2.00,3.00,4.00,3.00,1.00,1.00,1.00,0.60,,1,1,1,0,,,,,,,,,,,,,,,
P9,BSE,T3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,2.00,2.00,4.00,4.00,1.00,0.67,1.00,0.80,,1,0,1,0,,,,,,,,,,,,,,,
P9,BSEP,T1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,,2.00,0.00,-,-,1.00,0.00,-,-,,1,0,0,0,,,,,,,,,,,,,,,
P9,BSEP,T2,1,1,1,0,0,-,-,-,-,-,-,-,-,-,,2.00,1.00,-,-,1.00,0.33,-,-,,1,0,0,0,,,,,,,,,,,,,,,
P9,BSEP,T3,1,1,1,0,1,-,-,-,-,-,-,-,-,-,,2.00,2.00,-,-,1.00,0.67,-,-,,1,0,0,0,,,,,,,,,,,,,,,
P10,BSE,T1,1,1,1,1,1,0,1,1,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P10,BSE,T2,1,1,1,1,1,0,1,1,1,-,-,-,-,-,,2.00,3.00,3.00,-,1.00,1.00,0.75,-,,1,1,0,0,,,,,,,,,,,,,,,
P10,BSE,T3,1,1,0,1,1,0,0,0,1,-,-,-,-,-,,2.00,2.00,1.00,-,1.00,0.67,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P10,BSEP,T1,1,1,1,0,1,1,0,0,0,-,-,-,-,-,,2.00,2.00,1.00,-,1.00,0.67,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P10,BSEP,T2,0,1,1,1,1,1,0,0,0,-,-,-,-,-,,1.00,3.00,1.00,-,0.50,1.00,0.25,-,,0,1,0,0,,,,,,,,,,,,,,,
P10,BSEP,T3,1,1,0,1,1,1,0,0,0,-,-,-,-,-,,2.00,2.00,1.00,-,1.00,0.67,0.25,-,,1,0,0,0,,,,,,,,,,,,,,,
P11,BSE,T1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,2.00,3.00,3.00,1.00,1.00,1.00,0.75,0.20,,1,1,0,0,,,,,,,,,,,,,,,
P11,BSE,T2,1,1,1,0,0,0,0,1,1,1,1,0,0,1,,2.00,1.00,2.00,3.00,1.00,0.33,0.50,0.60,,1,0,0,0,,,,,,,,,,,,,,,
P11,BSE,T3,1,1,0,1,1,1,1,1,1,1,0,0,0,1,,2.00,2.00,4.00,2.00,1.00,0.67,1.00,0.40,,1,0,1,0,,,,,,,,,,,,,,,
P11,BSEP,T1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,,2.00,3.00,2.00,3.00,1.00,1.00,0.50,0.60,,1,1,0,0,,,,,,,,,,,,,,,
P11,BSEP,T2,1,1,0,0,1,1,1,1,1,0,0,0,0,1,,2.00,1.00,4.00,1.00,1.00,0.33,1.00,0.20,,1,0,1,0,,,,,,,,,,,,,,,
P11,BSEP,T3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,,2.00,2.00,2.00,0.00,1.00,0.67,0.50,0.00,,1,0,0,0,,,,,,,,,,,,,,,
P12,BSE,T1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,2.00,3.00,1.00,1.00,1.00,1.00,0.25,0.20,,1,1,0,0,,,,,,,,,,,,,,,
P12,BSE,T2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.00,3.00,4.00,5.00,1.00,1.00,1.00,1.00,,1,1,1,1,,,,,,,,,,,,,,,
P12,BSE,T3,1,1,1,1,0,0,0,0,0,1,1,0,1,1,,2.00,2.00,0.00,4.00,1.00,0.67,0.00,0.80,,1,0,0,0,,,,,,,,,,,,,,,
P12,BSEP,T1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,,2.00,3.00,4.00,2.00,1.00,1.00,1.00,0.40,,1,1,1,0,,,,,,,,,,,,,,,
P12,BSEP,T2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,,2.00,3.00,2.00,4.00,1.00,1.00,0.50,0.80,,1,1,0,0,,,,,,,,,,,,,,,
