PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P5BSEP,,,,,,,,,,,,,,,,,,,
AGE:,25,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
SCHOOL/COLLEGE:,PG,,,,,,SP1,SP2,SP1,SP2,SP3,SP1,SP2,SP3,SP4,SP1,SP2,SP3,SP4,SP5
DATE:,Wednesday, May 25,2005,,,T1,0,1,0,0,1,-,-,-,-,-,-,-,-,-
TIME:,12:08 pm,,,,,T2,1,1,1,0,1,-,-,-,-,-,-,-,-,-
EXPERIMENT:,Verbal Recall Purple,,,,,T3,0,1,0,0,0,-,-,-,-,-,-,-,-,-
SELECTED SET:,Random Sentences A,,,,,,,,,,,,,,,,,,,
SELECTED ORDER:,Order A,,,,,,,,,,,,,,,,,,,
DIRECTION:,Ascending,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE RESULTS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
Task:,Verbal Recall Purple,,,,,,,,,,,,,,,,,,,
List Length 2:,Incorrect(3.016667,2.833333),Incorrect(2.316667,2.45),,,,,,,,,,,,,,,,
Task:,Word Task,,,,,,,,,,,,,,,,,,,
List Length 2:,Not completed,Not completed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRACTICE STAGE---------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage PRACTICE Results,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,An insect that buzzes is called a bee,A spider catches flies in its web,,,,,,,,,,,,,,,,,,
Presentation Time:,3.016667,2.833333,,,,,,,,,,,,,,,,,,
Target: ,heat,dive,,,,,,,,,,,,,,,,,,
Response:,bee,dive,,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.316667,2.45,,,,,,,,,,,,,,,,,,
Target: ,ice,cage,,,,,,,,,,,,,,,,,,
Response:,ice,cow,,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,0/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,They played soccer with a foot ball,At night I go to bed and fall asleep,,,,,,,,,,,,,,,,,,
Presentation Time:,2.683333,3.783333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,space,queen,,,,,0,1,,,,0,,,,,,,,
Response:,dk,queen,,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I have a tooth brush to help clean my teeth,The cat likes drinking milk,,,,,,,,,,,,,,,,,,
Presentation Time:,3.25,2.516667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,boat,thumb,,,,,1,1,,,,1,,,,,,,,
Response:,boat,thumb,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The next number after eight is nine,A cow eats long green grass,,,,,,,,,,,,,,,,,,
Presentation Time:,2.45,2.7,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,sheep,bird,,,,,0,1,,,,0,,,,,,,,
Response:,green,bird,,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,01-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,A mother cat has baby kittens,My friends and I play hide and seek,The opposite of something bad is something good,,,,,,,,,,,,,,,,,
Presentation Time:,3.916667,3.05,3.183333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,fast,chips,four,,,,0,0,1,,,0,,,,,,,,
Response:,dk,cat,four,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The football team scored the winning goal,The big spider has eight hairy legs,We see things with our eyes,,,,,,,,,,,,,,,,,
Presentation Time:,3.133333,2.816667,2.5,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,face,mouth,dream,,,,1,0,1,,,0,,,,,,,,
Response:,face,dk,dream,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The colour of a banana is bright yellow,I can smell lots of smells with my nose,After lunch Jack and Jill went up the hill,,,,,,,,,,,,,,,,,
Presentation Time:,2.966667,2.766667,3.516667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,duck,fly,neck,,,,0,0,0,,,0,,,,,,,,
Response:,dk,neck,duck,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,0/3,,,,,,,,,,,,,,,,,,,
