Experiment,Participant,Block,Trial_sequence,Sequence_length,Update,Trial_type,RT,TrialCorrect
1,101,1,1,11,1,0,12.1222,1
1,101,1,1,11,2,1,4.19057,1
1,101,1,1,11,3,2,4.02337,1
1,101,1,1,11,4,2,4.12509,1
1,101,1,1,11,5,1,4.33546,1
1,101,1,1,11,6,2,4.24359,1
1,101,1,1,11,7,2,3.61703,1
1,101,1,1,11,8,1,3.50457,1
1,101,1,1,11,9,2,3.78714,1
1,101,1,1,11,10,1,3.7487,1
1,101,1,1,11,11,1,3.87831,1
1,101,1,2,9,1,0,4.41357,1
1,101,1,2,9,2,1,3.54058,1
1,101,1,2,9,3,1,2.98996,1
1,101,1,2,9,4,2,3.11687,1
1,101,1,2,9,5,1,2.59978,1
1,101,1,2,9,6,2,2.82285,1
1,101,1,2,9,7,2,2.3604,1
1,101,1,2,9,8,1,2.57686,1
1,101,1,2,9,9,2,2.40074,1
1,101,1,3,13,1,0,1.90009,1
1,101,1,3,13,2,1,2.4868,1
1,101,1,3,13,3,2,2.29853,1
1,101,1,3,13,4,2,2.37327,1
1,101,1,3,13,5,2,2.47681,1
1,101,1,3,13,6,2,2.30462,1
1,101,1,3,13,7,1,2.52357,1
1,101,1,3,13,8,1,2.57304,1
1,101,1,3,13,9,2,2.70103,1
1,101,1,3,13,10,1,2.04932,1
1,101,1,3,13,11,1,2.58211,1
1,101,1,3,13,12,2,2.5021,1
1,101,1,3,13,13,1,2.52064,1
1,101,1,4,13,1,0,1.7349,1
1,101,1,4,13,2,2,2.32834,1
1,101,1,4,13,3,1,2.25802,1
1,101,1,4,13,4,2,2.09437,1
1,101,1,4,13,5,1,2.17681,1
1,101,1,4,13,6,2,1.87277,1
1,101,1,4,13,7,1,2.78022,1
1,101,1,4,13,8,2,2.67593,1
1,101,1,4,13,9,1,1.91362,1
1,101,1,4,13,10,2,1.90108,1
1,101,1,4,13,11,1,2.03992,1
1,101,1,4,13,12,1,2.15677,1
1,101,1,4,13,13,2,2.34925,1
1,101,1,5,11,1,0,3.1252,1
1,101,1,5,11,2,2,4.23917,1
1,101,1,5,11,3,2,3.58049,1
1,101,1,5,11,4,2,3.31659,1
1,101,1,5,11,5,1,3.75164,1
1,101,1,5,11,6,2,3.51302,1
1,101,1,5,11,7,1,2.08361,1
1,101,1,5,11,8,1,1.55923,1
1,101,1,5,11,9,2,2.65794,1
1,101,1,5,11,10,1,2.57416,1
1,101,1,5,11,11,1,2.39759,1
1,101,1,6,9,1,0,1.85111,1
1,101,1,6,9,2,1,1.6715,1
1,101,1,6,9,3,2,2.07505,1
1,101,1,6,9,4,2,2.47873,1
1,101,1,6,9,5,1,2.11411,1
1,101,1,6,9,6,2,2.46838,1
1,101,1,6,9,7,2,3.5288,1
1,101,1,6,9,8,1,2.21055,1
1,101,1,6,9,9,1,2.30504,1
1,101,1,7,9,1,0,2.58639,1
1,101,1,7,9,2,1,3.67393,1
1,101,1,7,9,3,2,2.92592,1
1,101,1,7,9,4,1,2.06371,1
1,101,1,7,9,5,1,3.17176,1
1,101,1,7,9,6,2,3.30762,1
1,101,1,7,9,7,2,3.53415,1
1,101,1,7,9,8,2,3.60804,1
1,101,1,7,9,9,1,3.00671,1
1,101,1,8,11,1,0,1.33115,1
1,101,1,8,11,2,1,1.7314,1
1,101,1,8,11,3,2,3.26853,1
1,101,1,8,11,4,1,3.36945,1
1,101,1,8,11,5,2,2.76192,1
1,101,1,8,11,6,1,3.25003,1
1,101,1,8,11,7,1,2.69571,1
1,101,1,8,11,8,2,3.12262,1
1,101,1,8,11,9,1,2.82843,1
1,101,1,8,11,10,2,2.77008,1
1,101,1,8,11,11,2,3.2681,1
1,101,1,9,13,1,0,2.51191,1
1,101,1,9,13,2,2,2.60979,1
1,101,1,9,13,3,2,2.46458,1
1,101,1,9,13,4,1,2.32474,1
1,101,1,9,13,5,2,2.99035,1
1,101,1,9,13,6,2,3.58136,1
1,101,1,9,13,7,1,1.94118,1
1,101,1,9,13,8,1,3.24616,1
1,101,1,9,13,9,1,4.00337,1
1,101,1,9,13,10,1,3.73876,1
1,101,1,9,13,11,2,3.67032,1
1,101,1,9,13,12,1,2.67746,1
1,101,1,9,13,13,2,3.16894,1
1,101,2,1,11,1,0,3.38167,1
1,101,2,1,11,2,1,2.69338,1
1,101,2,1,11,3,1,3.00843,1
1,101,2,1,11,4,1,3.16706,1
1,101,2,1,11,5,2,3.49545,1
1,101,2,1,11,6,1,2.97879,1
1,101,2,1,11,7,2,3.63476,1
1,101,2,1,11,8,2,2.50457,1
1,101,2,1,11,9,2,3.94693,1
1,101,2,1,11,10,2,3.42821,1
1,101,2,1,11,11,1,2.83379,1
1,101,2,2,11,1,0,1.55265,1
1,101,2,2,11,2,2,2.10563,1
1,101,2,2,11,3,2,2.17154,1
1,101,2,2,11,4,1,2.05997,1
1,101,2,2,11,5,2,2.09786,1
1,101,2,2,11,6,1,2.13098,1
1,101,2,2,11,7,2,2.8208,1
1,101,2,2,11,8,2,2.6603,1
1,101,2,2,11,9,1,3.61699,1
1,101,2,2,11,10,1,2.77554,1
1,101,2,2,11,11,1,2.49538,1
1,101,2,3,9,1,0,1.55315,1
1,101,2,3,9,2,1,1.89824,1
1,101,2,3,9,3,2,1.63684,1
1,101,2,3,9,4,1,2.28234,1
1,101,2,3,9,5,2,2.26182,1
1,101,2,3,9,6,1,2.01787,1
1,101,2,3,9,7,2,1.67209,1
1,101,2,3,9,8,1,2.23624,1
1,101,2,3,9,9,2,2.07377,1
1,101,2,4,11,1,0,1.53526,1
1,101,2,4,11,2,2,1.30484,1
1,101,2,4,11,3,2,1.5139,1
1,101,2,4,11,4,2,3.79704,1
1,101,2,4,11,5,2,1.82827,1
1,101,2,4,11,6,1,1.90571,1
1,101,2,4,11,7,2,3.1479,1
1,101,2,4,11,8,1,2.03235,1
1,101,2,4,11,9,1,3.22027,1
1,101,2,4,11,10,1,1.81934,1
1,101,2,4,11,11,1,2.32912,1
1,101,2,5,9,1,0,1.44286,1
1,101,2,5,9,2,2,1.95177,1
1,101,2,5,9,3,2,1.88032,1
1,101,2,5,9,4,1,1.8119,1
1,101,2,5,9,5,1,1.47397,1
1,101,2,5,9,6,2,1.77343,1
1,101,2,5,9,7,2,1.88465,1
1,101,2,5,9,8,1,1.38409,1
1,101,2,5,9,9,1,1.51132,1
1,101,2,6,13,1,0,1.27871,1
1,101,2,6,13,2,2,1.93776,1
1,101,2,6,13,3,2,1.93115,1
1,101,2,6,13,4,1,2.19664,1
1,101,2,6,13,5,2,2.67545,1
1,101,2,6,13,6,2,2.3035,1
1,101,2,6,13,7,2,2.23426,1
1,101,2,6,13,8,1,2.4239,1
1,101,2,6,13,9,1,1.4214,1
1,101,2,6,13,10,1,1.43542,1
1,101,2,6,13,11,1,1.43271,1
1,101,2,6,13,12,2,1.92603,1
1,101,2,6,13,13,1,1.53557,1
1,101,2,7,13,1,0,1.46788,1
1,101,2,7,13,2,2,2.3435,1
1,101,2,7,13,3,2,2.65678,1
1,101,2,7,13,4,1,1.96504,1
1,101,2,7,13,5,1,2.30943,1
1,101,2,7,13,6,1,1.83962,1
1,101,2,7,13,7,2,1.90041,1
1,101,2,7,13,8,2,2.05504,1
1,101,2,7,13,9,2,2.2141,1
1,101,2,7,13,10,1,2.91617,1
1,101,2,7,13,11,1,1.95872,1
1,101,2,7,13,12,2,2.07849,1
1,101,2,7,13,13,1,1.74643,1
1,101,2,8,13,1,0,1.87181,1
1,101,2,8,13,2,2,2.3952,1
1,101,2,8,13,3,2,2.04666,1
1,101,2,8,13,4,1,2.0356,1
1,101,2,8,13,5,1,2.37685,1
1,101,2,8,13,6,2,1.84067,1
1,101,2,8,13,7,1,1.56542,1
1,101,2,8,13,8,1,2.54946,1
1,101,2,8,13,9,1,2.31046,1
1,101,2,8,13,10,2,2.52867,1
1,101,2,8,13,11,2,2.54648,1
1,101,2,8,13,12,2,2.85136,1
1,101,2,8,13,13,1,2.92028,1
1,101,2,9,9,1,0,2.59377,1
1,101,2,9,9,2,2,1.85686,1
