PP	S0	S1	S3	S5	F0	F1	F3	F5
PP01	3.00	5.33	4.67	4.00	2.00	3.67	3.67	2.33
PP02	5.00	3.33	2.67	2.67	2.33	3.67	0.67	3.00
PP03	4.33	6.33	5.00	3.00	4.67	3.67	5.33	6.33
PP04	5.33	4.33	4.33	5.67	5.67	5.67	5.33	6.00
PP05	5.67	6.33	5.33	7.00	5.67	6.67	7.00	5.33
PP06	5.33	5.33	3.67	4.00	2.67	5.00	4.33	5.00
PP07	4.00	6.00	3.00	5.33	4.67	5.67	5.67	3.67
PP08	3.33	5.00	4.33	6.00	3.67	5.67	4.33	2.33
PP09	4.67	5.67	5.00	3.00	2.67	5.67	2.00	6.67
PP10	4.00	7.00	3.67	6.00	1.00	6.33	4.33	3.00
PP11	6.33	6.67	6.00	6.67	4.33	7.00	6.67	3.00
PP12	3.67	5.67	3.33	3.67	3.00	4.33	5.33	4.33
PP13	6.33	7.00	6.67	7.00	5.67	5.00	6.33	6.33
PP14	3.33	5.67	4.33	2.00	2.67	6.00	7.00	4.33
PP15	6.33	7.00	6.67	6.33	6.00	5.00	7.00	6.33
PP16	6.33	5.67	7.00	6.67	3.33	7.00	7.00	5.33
PP17	7.00	7.00	6.33	4.33	6.33	6.33	6.00	7.00
PP18	5.67	5.67	6.00	7.00	4.00	5.33	5.00	7.00
PP19	1.33	3.00	3.67	4.33	1.67	3.33	3.67	2.67
PP20	2.67	5.00	6.00	6.00	5.00	4.00	5.00	4.67
PP21	6.67	6.33	6.67	5.33	3.33	7.00	5.33	5.00
PP22	4.67	3.67	6.00	3.33	4.67	5.00	5.33	3.33
PP23	5.67	6.33	5.00	7.00	5.33	5.33	5.67	7.00
PP24	3.00	7.00	2.67	5.67	3.00	4.67	5.67	3.33
PP25	5.67	5.67	5.00	5.33	4.67	5.67	6.33	5.00
PP26	3.33	4.67	5.00	4.67	2.33	5.00	3.00	2.67
PP27	5.33	6.00	3.33	4.00	4.33	4.67	5.00	2.67
PP28	3.67	5.00	2.00	3.67	6.00	3.33	2.33	2.00
PP29	3.67	4.33	5.33	2.67	4.33	3.33	2.67	2.33
PP30	3.67	6.00	5.00	5.00	3.33	5.33	3.00	3.00
PP31	3.33	4.67	4.67	3.00	2.67	3.33	3.67	4.00
PP32	5.33	6.00	5.67	6.67	6.00	7.00	6.67	6.33
