sub	condition	order	sup/nosup	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	FillA	1	ns	0.25	0.625	0.75	1	0.375	0.5	1	0.75	0.5	1	0.75	0.75	0.5	1	0.625	0.625
2	FillA	2	ns	0.125	0.125	0.5	0.5	0.625	0.375	0.625	0.375	0.375	0.375	0.75	0.75	0.625	0.375	0.5	0.75
3	FillA	1	ns	1	0	0	0.625	1	0.125	0.5	0.625	0.125	0.75	0.25	0.5	0.5	0.125	0.5	0.5
4	FillA	2	ns	0	0.75	0.5	0.375	0.25	0.25	0.125	0.625	0.125	0	0.125	0	0.125	0.125	0.125	0.625
5	FillA	1	ns	0.5	0.625	0.5	0.625	0.375	0.375	0.125	0.25	0.75	0.75	0.25	0.375	0.75	0.25	0.125	0.25
6	FillA	2	ns	0	0.125	0.5	0.25	0.125	0	0	0	0.875	0.125	0.625	0	0.125	0.125	0.125	0.625
7	FillA	1	ns	0.25	0.25	0.5	0.5	0.25	0.5	0.75	0.625	0.625	1	0.125	0.75	0.25	0.5	0.5	0.375
8	FillA	2	ns	0.375	0.375	0.5	0.125	0.375	1	0.625	1	0.75	0.5	0.75	0.125	0.125	0.25	0.75	0.5
9	FillA	1	ns	0.125	0.25	0.375	0.25	0.25	0.125	0	0	0.5	0.125	0.25	0.125	0.5	0.125	0.375	0.125
10	FillA	2	ns	0.125	0.75	0.625	0.5	1	0.75	0.75	1	0.625	0.75	0.75	0.625	0.375	0.875	0.625	0.75
11	FillA	1	ns	1	0.375	0.375	0	0.375	0.5	0.875	0.625	0.625	1	1	0.375	0.875	1	0.875	1
12	FillA	2	ns	0.75	1	0.125	0.75	0	1	0.625	0.625	0.625	0.5	0.75	1	0.5	0.5	0.125	0.375
13	FillA	1	ns	0.125	0.5	0.375	0.5	0.375	0.125	0.25	0.75	0.625	0.375	0.625	0.75	0.5	0.75	1	0.75
14	FillA	2	ns	0	0.625	0.75	0.25	0.375	1	0.125	0.125	0.75	0.75	0.75	0.25	0.625	0.25	0.5	0.375
15	FillA	1	ns	0.25	0.75	0.75	0.5	1	0.5	0.75	1	0.25	0.5	0.375	0.125	0.25	0.75	0.25	0.5
16	FillA	2	ns	0.125	0.375	0.5	0.75	0.25	0.125	0.375	0.125	0.5	0.625	0.375	0.25	0.75	0.125	0.25	0.625
17	FillA	1	ns	0.75	0.75	0.5	0	0.625	0.625	0.75	0.5	0.25	0.25	0.375	0.75	0.375	0.25	0.625	0.375
18	FillA	2	ns	0	0.375	0.5	0.625	0.5	0.625	0	0.375	0.25	0.375	0.375	0	0.25	0.25	0.375	0.375
19	FillA	1	ns	0.75	0.25	0.625	1	0.875	0.875	0.625	0.375	0.625	0.25	0.5	1	0.375	0.125	0.75	0.75
20	FillA	2	ns	0.25	0.25	0.25	0.75	0.125	0.125	0.25	0.5	0.125	0.375	0.625	0.25	0.125	0.375	0.5	0.375
21	FillA	1	ns	0.25	0.5	1	0.25	0.75	0.625	0.375	0.5	0.25	0.625	0.375	0.75	0.625	0.25	0.5	0.375
22	FillA	2	ns	0.125	0.375	0.25	0.125	0.125	0.25	0.375	0	0	0.125	0.5	0	0	0	0.125	0.375
23	FillA	1	ns	0.5	0.25	0.75	0.25	0.5	0.5	0.875	0.25	0.625	0.5	0.625	0.75	1	0.125	0.5	0.75
24	FillA	2	ns	0.25	0.25	0.125	0.375	0.375	0.125	0.375	0.375	0.75	0	0.875	0.375	0.5	0.375	0.125	0.125
25	FillA	1	ns	0.5	0.75	1	0.625	0.75	0.5	0.625	0.25	1	0.75	1	0.75	0.75	0.25	0.5	0.75
26	FillA	2	ns	0.5	0.375	0.5	0.625	0.625	0.5	0	0.75	0.625	0.375	0.5	0.75	0.625	0.375	0.875	0.75
27	FillA	1	ns	0.125	0.375	0.125	0.25	0.5	0.25	0.25	0.25	0.375	1	0.625	0.625	0.25	0.5	0.25	0.25
28	FillA	2	ns	0.625	0.375	0.5	0.375	0.75	0.25	0.5	0.875	0.5	1	0.375	0.375	1	0.375	0.625	0.25
29	FillA	1	ns	0.125	0.125	0.75	0.125	0.375	0	0.625	0	0.375	0	0.375	0.25	0.625	0	0	0.5
30	FillA	2	ns	0.375	0.375	0.25	0.125	0.625	0.5	0.375	0.25	0.25	0.375	0.125	0.25	0.375	0.25	0.375	0.25
31	FillA	1	ns	0.25	0.25	0.25	0.125	0	0.25	0.25	0.375	0.625	0.25	0.125	0.25	0.375	0.5	0	0
32	FillA	2	ns	0.25	0.5	0.375	0.25	1	0.125	0.5	0.25	0.5	0.375	0.5	0.375	0.875	0.5	0.5	1
33	FillA	1	ns	0.25	0	0.125	0.375	0	0.125	0.5	0	0.25	0.125	0.25	0	0.25	0.25	0	0.5
34	FillA	2	ns	0.125	0.125	0.75	0.5	0.625	0	0.625	0.75	0.25	0.875	0.625	0.875	1	1	0.125	0.75
35	FillA	1	ns	0.375	0.375	0.25	0.125	0	0	0.375	0.25	0.625	0.5	0.625	0.375	0.125	0.625	0.625	0.375
36	FillA	2	ns	0	0.25	0.375	0.5	0.25	0.375	0.375	0.375	0.5	0.5	0.5	0.25	0.5	0.5	0.25	0.25
37	FillA	1	ns	0.125	0.125	0.75	0.25	0.25	0.5	0.5	0.375	0.375	0.5	0.625	0.5	1	0.75	0.75	0
