sub block trial ctime x1 y1 err1 rt1 x2 y2 err2 rt2 x3 y3 err3 rt3 x4 y4 err4 rt4
1 1 1 0.266667 50 91 41 1.815799 46 -151 163 1.266156 10 -33 -43 1.616015 -19 -81 -62 1.232843
1 1 2 0.933333 -25 -103 -78 0.982794 -15 -10 5 1.399443 -3 -50 -47 1.249507 31 132 101 1.349478
1 1 3 0.216667 19 -93 -112 1.016163 -58 -175 -117 1.865905 -31 -55 -24 1.082884 -64 -86 -22 1.166179
1 1 4 0.516667 -34 -103 -69 0.932831 46 113 67 0.499779 47 9 -38 0.533121 -35 117 152 1.299476
1 1 5 0.65 -19 -55 -36 2.33226 -34 -87 -53 2.199112 57 83 26 1.849265 -50 140 -170 0.966287
1 1 6 0.816667 -21 3 24 1.465969 68 143 75 0.649738 -46 -103 -57 0.649745 6 -41 -47 0.799675
1 1 7 0.716667 -23 127 150 0.982834 -4 -104 -100 0.616434 -44 -89 -45 0.61642 -25 -49 -24 0.932955
1 1 8 0.6 -56 -54 2 1.832472 -3 80 83 1.765952 -50 -59 -9 1.499415 -3 -4 -1 1.116217
1 1 9 0.133333 11 8 -3 1.182719 48 86 38 0.46648 5 13 8 2.74889 -41 114 155 0.533119
1 1 10 0.916667 -28 7 35 1.116085 -34 105 139 0.916297 10 -6 -16 1.216175 -11 47 58 0.866317
1 1 11 0.65 61 91 30 1.016127 34 131 97 0.966246 42 52 10 1.399431 25 33 8 1.499382
1 1 12 0.066667 -16 -21 -5 1.249362 40 110 70 0.683057 31 -75 -106 0.483129 39 -138 -177 0.51646
1 1 13 0.733333 -54 -42 12 1.316003 -60 81 141 0.58309 65 -117 178 0.566423 2 0 -2 1.149562
1 1 14 0.95 65 83 18 1.049442 43 15 -28 1.216188 3 -62 -65 0.866337 -5 6 11 0.916303
1 1 15 0.433333 25 77 52 1.149409 -57 -65 -8 0.84966 -37 -50 -13 1.182827 9 178 169 0.832997
1 1 16 0.266667 -51 -98 -47 0.816331 -66 -123 -57 1.732617 -28 -15 13 0.816332 27 78 51 0.499785
1 1 17 0.633333 -16 -1 15 2.08236 64 85 21 1.765955 21 49 28 0.816332 -66 -106 -40 0.649721
1 1 18 0.333333 20 -15 -35 1.549241 -44 167 -149 0.499799 20 50 30 1.765956 -53 104 157 0.61642
1 1 19 0.666667 -70 88 158 1.632542 14 11 -3 1.099559 -69 -121 -52 0.666393 55 -46 -101 0.649737
1 1 20 0.1 10 106 96 0.832867 48 -9 -57 1.549376 -42 -53 -11 0.583117 70 116 46 0.499797
1 1 21 0.433333 -15 0 15 1.266021 30 93 63 1.349454 -5 24 29 0.599784 30 29 -1 1.865973
1 1 22 0.133333 20 47 27 0.81624 -60 3 63 0.866317 59 65 6 1.699315 -10 141 151 1.899208
1 1 23 0.633333 1 2 1 0.999471 4 93 89 1.299479 10 25 15 0.966278 25 175 150 0.916299
1 1 24 0.666667 39 66 27 1.016121 -36 -42 -6 1.166183 -36 44 80 0.966297 5 28 23 1.049581
1 1 25 0.2 23 -177 160 1.31601 -8 67 75 0.433162 29 -75 -104 0.366516 5 12 7 0.449809
1 1 26 0.566667 -63 -78 -15 0.932823 -29 15 44 1.016257 -35 -41 -6 1.316147 -49 63 112 0.733027
1 1 27 0.983333 49 6 -43 0.999436 67 -45 -112 0.349855 -42 93 135 0.449815 4 39 35 1.732643
1 1 28 0.15 -32 -32 0 1.016117 -6 95 101 0.683056 -12 -20 -8 1.216193 -67 177 -116 0.816351
1 1 29 0.25 42 49 7 1.532575 21 0 -21 1.149543 2 -36 -38 1.682655 5 2 -3 0.833025
1 1 30 0.683333 5 5 0 1.249375 14 84 70 0.599755 25 155 130 0.749698 4 -1 -5 2.032511
1 2 1 0.916667 11 -20 -31 2.132341 -36 -92 -56 1.699316 -50 -32 18 1.69931 70 93 23 0.733037
1 2 2 0.216667 -45 -22 23 1.266065 38 159 121 0.76637 70 83 13 1.682652 -37 68 105 0.799681
1 2 3 0.933333 58 157 99 0.799521 14 57 43 1.149536 -15 -32 -17 1.132875 -58 -85 -27 0.799677
1 2 4 0.666667 -54 -17 37 0.899509 -42 141 -177 0.616421 5 79 74 1.316136 -10 69 79 0.699721
1 2 5 0.283333 33 172 139 1.016134 -21 -62 -41 0.383143 -45 97 142 0.383189 55 -12 -67 0.483138
1 2 6 0.35 27 47 20 1.016129 19 -127 -146 0.899628 -61 -51 10 1.316153 -58 51 109 0.666403
1 2 7 0.35 -63 -96 -33 1.232696 -22 -46 -24 0.832973 -69 -105 -36 0.966281 -56 -84 -28 0.783018
1 2 8 0.866667 16 -142 -158 10.795503 32 42 10 0.666429 -17 -64 -47 0.816351 -57 50 107 0.616416
1 2 9 0.283333 14 0 -14 1.365983 49 102 53 0.566437 18 61 43 1.082886 18 1 -17 0.966274
1 2 10 0.866667 62 5 -57 2.382235 -20 86 106 0.683063 25 57 32 0.999599 -57 -47 10 1.482736
1 2 11 0.316667 36 43 7 1.316014 36 17 -19 1.832601 -57 49 106 1.182856 34 133 99 0.91631
1 2 12 0.1 11 90 79 1.032783 -35 0 35 1.882566 10 14 4 0.499806 -19 57 76 0.833036
1 2 13 0.9 -32 -18 14 1.349324 34 -57 -91 0.949614 -14 6 20 1.549368 70 70 0 1.049572
1 2 14 0.966667 64 81 17 1.132752 -68 -64 4 0.849657 18 42 24 1.366146 -28 177 -155 0.899638
1 2 15 0.016667 -67 -110 -43 0.799545 59 -13 -72 0.31654 -34 94 128 0.316534 -68 -110 -42 0.383174
1 2 16 0.15 14 95 81 0.599627 -14 24 38 0.383183 -21 -96 -75 0.399846 -48 27 75 0.433152
1 2 17 0.15 37 63 26 0.649598 40 38 -2 0.98294 48 168 120 0.4165 38 39 1 0.466465
1 2 18 0.416667 -31 -17 14 1.432636 -9 0 9 1.132879 -63 -96 -33 0.932972 -4 12 16 0.533119
1 2 19 0.533333 31 18 -13 0.832867 -32 -69 -37 0.633063 -15 -34 -19 1.13289 9 74 65 0.083281
1 2 20 0.1 -2 -8 -6 2.232322 -8 36 44 1.366113 15 -7 -22 0.716378 37 136 99 0.466478
1 2 21 0.733333 4 -3 -7 0.999499 46 116 70 1.299476 -70 -97 -27 0.866297 -16 102 118 0.882984
1 2 22 0.783333 9 12 3 1.349327 -61 -93 -32 1.349457 -62 -82 -20 1.649333 -5 39 44 0.899686
1 2 23 0.883333 39 68 29 0.766242 5 -2 -7 1.249492 -70 -87 -17 0.916297 70 68 -2 1.266165
1 2 24 0.316667 -39 -32 7 1.749163 -16 23 39 0.932968 7 -79 -86 1.882572 -37 -35 2 1.999211
1 2 25 0.316667 3 5 2 0.866182 35 97 62 0.932959 -21 -45 -24 0.816337 -25 166 -169 0.783033
1 2 26 0.566667 -20 -32 -12 1.099422 -63 -35 28 0.932957 45 -29 -74 0.749674 -51 90 141 0.4998
1 2 27 0.883333 48 -17 -65 1.082796 -16 -10 6 0.483135 28 71 43 0.483146 -33 -45 -12 0.932974
1 2 28 0.183333 -10 -5 5 0.699589 53 75 22 0.383193 41 50 9 0.882978 38 -47 -85 0.716376
1 2 29 0.25 -65 68 133 0.666252 41 -170 149 1.149536 -60 -76 -16 1.232837 -2 6 8 1.399434
1 2 30 0.55 12 52 40 0.799548 37 27 -10 0.583099 -34 144 178 0.533108 37 -37 -74 0.549778
1 3 1 0.833333 68 92 24 0.999488 37 3 -34 0.932993 -1 131 132 1.732635 8 89 81 0.799677
1 3 2 0.683333 -66 -40 26 1.282709 31 39 8 2.01588 29 148 119 0.816362 28 -9 -37 0.716392
1 3 3 0.4 -29 0 29 1.032784 33 133 100 1.116229 15 40 25 0.849656 -50 -50 0 1.049579
1 3 4 0.35 34 -8 -42 1.565913 -65 -71 -6 0.949602 60 82 22 1.51606 68 132 64 0.73303
1 3 5 0.533333 53 71 18 1.649221 69 -101 -170 0.999637 -15 2 17 0.683055 -24 69 93 0.882975
1 3 6 0.25 -14 -50 -36 1.299332 -61 -37 24 1.366116 34 135 101 0.733036 -5 -102 -97 0.749704
1 3 7 0.3 -8 -30 -22 1.282682 23 73 50 0.349851 -37 -116 -79 0.416505 -12 88 100 0.783021
1 3 8 0.916667 12 109 97 0.882845 58 -36 -94 0.699724 -8 -123 -115 0.733041 -2 24 26 0.982932
1 3 9 0.35 30 4 -26 1.449294 37 -1 -38 1.082895 13 -45 -58 0.966276 68 104 36 1.049577
1 3 10 0.666667 15 -2 -17 1.149401 -31 -120 -89 0.399849 -58 67 125 0.449804 -69 -158 -89 0.533117
1 3 11 0.766667 -13 74 87 0.882837 -58 -65 -7 0.799695 -3 29 32 0.766346 -30 90 120 0.999546
1 3 12 0.966667 63 103 40 0.882879 48 -29 -77 0.916257 -41 70 111 1.782613 36 41 5 0.916296
1 3 13 0.85 26 38 12 2.032385 -9 -41 -32 1.232831 62 78 16 0.849703 -48 -52 -4 0.832995
1 3 14 0.383333 -13 -31 -18 1.365979 6 -57 -63 2.482339 -20 -8 12 0.899638 -5 -96 -91 0.982977
1 3 15 0.083333 3 -2 -5 0.982809 -66 -96 -30 1.582694 46 -4 -50 0.783017 -18 89 107 1.082906
1 3 16 0.816667 8 74 66 1.016128 35 25 -10 1.899232 -7 166 173 0.616416 -47 -27 20 0.599772
1 3 17 0.883333 46 43 -3 0.849534 -1 -30 -29 0.932938 -23 -36 -13 0.966278 19 48 29 1.199516
1 3 18 0.1 -6 96 102 0.782882 52 -31 -83 0.316516 50 77 27 0.366521 -25 -173 -148 2.315736
1 3 19 0.4 -60 2 62 0.99948 10 101 91 0.583075 48 34 -14 1.232837 19 63 44 0.616418
1 3 20 0.95 -67 -59 8 1.382665 -46 -56 -10 1.249497 -13 22 35 0.683038 37 14 -23 0.616415
1 3 21 0.533333 -5 -45 -40 0.616279 -31 70 101 0.583118 65 76 11 1.232833 -68 -21 47 0.699717
1 3 22 0.433333 -40 -51 -11 1.415963 -63 -22 41 0.699721 -41 88 129 0.383175 20 -159 -179 0.399828
1 3 23 0.6 37 32 -5 0.916167 28 44 16 0.783018 -15 -46 -31 0.749689 32 23 -9 0.899657
1 3 24 0.8 -50 18 68 0.566329 68 89 21 1.016273 -10 -69 -59 0.966275 -52 -61 -9 1.149563
1 3 25 0.633333 56 56 0 1.099425 53 53 0 0.6164 -12 -71 -59 1.299467 49 59 10 0.949624
1 3 26 1 20 5 -15 0.866218 8 -11 -19 1.482704 66 72 6 1.166188 66 42 -24 1.366122
1 3 27 0.716667 37 82 45 1.399256 38 86 48 1.116221 66 71 5 1.782601 -61 -47 14 1.132899
1 3 28 0.033333 65 95 30 0.782906 -5 63 68 0.299867 41 -160 159 0.266558 -25 -29 -4 0.383179
1 3 29 0.75 37 -24 -61 1.132743 -57 -89 -32 1.016278 21 136 115 1.149522 -8 10 18 0.999629
1 3 30 0.8 -1 1 2 0.782885 16 61 45 1.149536 64 100 36 0.966285 -21 -12 9 0.982957
1 4 1 0.633333 31 72 41 0.982807 -47 -48 -1 1.166202 -22 142 164 0.583095 -20 66 86 1.466074
1 4 2 0.083333 -56 -51 5 1.249356 -55 -93 -38 1.566038 -55 106 161 0.533116 -28 0 28 0.783014
1 4 3 0.283333 12 4 -8 1.482605 -18 -86 -68 1.399434 -69 -79 -10 0.783015 30 40 10 0.633076
1 4 4 0.05 36 59 23 0.716256 51 124 73 0.349854 22 -129 -151 0.366524 -54 -19 35 0.733036
1 4 5 0.066667 -50 -50 0 1.182725 -1 -171 -170 0.633084 24 51 27 1.449425 44 97 53 0.916308
1 4 6 0.066667 -6 -7 -1 1.365989 4 117 113 0.633075 34 -150 176 0.566438 23 164 141 0.616418
1 4 7 0.333333 55 93 38 0.999489 7 5 -2 0.93293 -8 1 9 1.082896 -55 -22 33 1.216177
1 4 8 0.233333 31 46 15 1.199386 29 -1 -30 1.066217 -66 -74 -8 0.73304 20 -13 -33 0.716371
1 4 9 0.2 -20 1 21 0.666253 -6 -121 -115 0.349821 1 72 71 0.416506 39 -166 155 0.4165
1 4 10 0.783333 57 81 24 0.999469 -10 -11 -1 1.149526 28 172 144 0.849715 -12 -11 1 0.666419
1 4 11 0.8 -20 -21 -1 1.216046 63 75 12 0.649717 10 -31 -41 0.966276 56 98 42 0.783017
1 4 12 0.15 -35 -25 10 0.932862 5 29 24 0.816338 60 7 -53 1.466074 -14 84 98 0.683065
1 4 13 0.833333 -14 12 26 1.082755 -27 -58 -31 1.116225 41 79 38 0.583098 -17 -26 -9 0.799677
1 4 14 0.25 -30 -67 -37 1.48263 -65 38 103 0.349871 59 176 117 0.383179 -22 39 61 0.433158
1 4 15 0.966667 67 92 25 1.216044 -58 -54 4 1.032916 16 60 44 1.349442 -17 -169 -152 0.916274
1 4 16 0.516667 21 71 50 1.216039 -4 -4 0 1.28286 -25 -85 -60 0.749698 -20 81 101 1.499396
1 4 17 0.916667 45 61 16 0.549639 -35 -51 -16 1.549374 34 61 27 0.799686 58 119 61 0.599757
1 4 18 0.116667 9 -12 -21 0.916149 60 92 32 0.516459 65 -179 116 0.516456 67 98 31 1.832593
1 4 19 0.6 -17 -43 -26 0.532987 -47 -21 26 1.082905 7 15 8 1.882572 -37 11 48 0.782993
1 4 20 0.566667 -19 -36 -17 0.882848 -51 -114 -63 0.649743 -28 -61 -33 0.516462 -55 -7 48 0.583107
1 4 21 0.183333 45 99 54 0.716251 66 52 -14 0.98294 -33 -152 -119 0.43316 55 22 -33 1.032916
1 4 22 0.05 23 9 -14 1.282692 -44 102 146 0.283245 -20 -152 -132 0.249902 -13 23 36 0.299927
1 4 23 0.133333 -61 -74 -13 0.632939 -61 2 63 0.299882 -70 95 165 0.333179 44 -133 -177 0.333221
1 4 24 0.2 -28 -35 -7 0.799545 -27 38 65 0.366537 -7 -157 -150 1.732635 -64 -60 4 0.699702
1 4 25 0.066667 -58 -59 -1 0.566301 36 38 2 0.333217 -40 170 -150 0.38318 55 -55 -110 0.466461
1 4 26 0.466667 -14 31 45 1.36602 -70 -80 -10 0.832998 4 2 -2 0.716378 49 46 -3 1.082912
1 4 27 0.6 -50 3 53 0.549721 -9 52 61 0.966279 20 -62 -82 1.066236 62 54 -8 0.932931
1 4 28 0.35 27 92 65 0.516331 -48 -53 -5 0.449811 -65 26 91 1.149528 -22 -174 -152 0.499813
1 4 29 0.7 2 29 27 0.749567 28 78 50 0.533106 -60 -37 23 0.999596 69 66 -3 0.71636
1 4 30 0.466667 26 -8 -34 0.383044 -36 -100 -64 0.399834 -65 72 137 0.133293 -16 105 121 0.216588
1 5 1 0.416667 32 -40 -72 1.449297 62 102 40 1.066236 -46 -34 12 0.766358 39 94 55 1.049606
1 5 2 0.566667 -66 78 144 0.649612 -26 -54 -28 0.733038 50 63 13 0.916297 7 21 14 0.566437
1 5 3 0.35 -15 -36 -21 1.166095 9 7 -2 0.716376 -54 -53 1 1.249495 -33 57 90 0.716373
1 5 4 0.3 -19 12 31 0.566304 9 -171 180 0.683056 54 67 13 1.665996 9 -75 -84 0.882974
1 5 5 0.85 -66 -58 8 0.516338 64 90 26 0.116602 -21 109 130 0.233254 -33 -122 -89 0.29988
1 5 6 0.95 -44 177 -139 0.549641 -8 -4 4 0.932957 -65 -77 -12 0.733044 -34 -83 -49 0.832975
1 5 7 0.633333 43 66 23 0.749563 31 3 -28 0.799677 -39 -69 -30 0.982936 4 -48 -52 0.999593
1 5 8 0.7 26 6 -20 0.882847 63 -179 118 0.38313 21 82 61 0.466477 55 13 -42 0.449807
1 5 9 0.183333 -9 14 23 0.682927 15 75 60 0.283217 66 -152 142 0.283224 55 167 112 0.049982
1 5 10 0.266667 -35 -1 34 0.466334 15 73 58 0.399837 21 9 -12 0.466478 1 47 46 0.816342
1 5 11 0.35 69 52 -17 1.082767 -65 -63 2 0.949617 -64 5 69 0.716322 64 76 12 0.583096
1 5 12 0.366667 -63 -53 10 0.599642 -21 -5 16 0.916291 -52 -77 -25 0.783018 64 94 30 0.749703
1 5 13 0.5 -26 0 26 0.866198 37 95 58 0.766359 -1 4 5 0.716382 70 105 35 1.182873
1 5 14 0.483333 -55 -19 36 14.643939 -52 91 143 0.116614 59 -27 -86 0.566436 67 84 17 0.333202
1 5 15 0.65 67 76 9 1.099425 3 -53 -56 2.015853 41 -35 -76 0.716378 -6 56 62 1.349457
1 5 16 0.483333 -4 -19 -15 1.066107 26 71 45 1.316112 -53 -67 -14 0.799699 66 9 -57 0.799676
1 5 17 0.583333 32 43 11 1.032813 57 -178 125 0.616419 19 -4 -23 1.432753 5 -89 -94 0.699707
1 5 18 0.35 7 -68 -75 1.815813 63 63 0 0.316539 -50 -2 48 0.333223 -21 -106 -85 0.366507
