1 1 1   1 1 0 0 0 1
1 2 1   0 0 0 0 0 0
1 3 1   1 1 1 0 0 1
1 4 1   0 1 0 1 0 1
1 5 1   1 1 1 0 0 1
1 6 1   1 1 1 0 0 1
1 7 1   1 1 0 0 0 1
1 8 1   1 0 1 0 0 0
1 9 1   0 1 0 0 0 0
1 10 1   1 0 0 0 0 1
1 11 1   0 1 0 0 0 0
1 12 1   1 0 0 1 1 1
1 13 1   1 0 0 0 0 1
1 14 1   1 1 0 0 1 1
1 15 1   1 0 1 0 0 0
1 16 1   1 0 0 0 0 1
1 17 2.500000e+00   1 1 1 0 0 1
1 18 2.500000e+00   1 0 0 1 0 1
1 19 2.500000e+00   1 1 0 0 0 0
1 20 2.500000e+00   1 1 0 0 0 0
1 21 2.500000e+00   1 1 1 1 1 0
1 22 2.500000e+00   1 1 1 1 0 1
1 23 2.500000e+00   1 0 0 0 0 0
1 24 2.500000e+00   1 1 1 0 0 1
1 25 2.500000e+00   1 1 1 0 0 1
1 26 2.500000e+00   1 0 1 1 0 0
1 27 2.500000e+00   1 1 1 1 1 1
1 28 2.500000e+00   1 0 0 1 0 1
1 29 2.500000e+00   1 0 1 1 0 1
1 30 2.500000e+00   1 1 0 1 0 0
1 31 2.500000e+00   1 0 1 0 0 0
1 32 2.500000e+00   1 1 1 1 1 1
1 33 5   1 0 0 0 0 0
1 34 5   1 1 1 0 0 0
1 35 5   1 1 0 0 0 0
1 36 5   1 1 1 0 1 0
1 37 5   1 1 0 0 0 1
1 38 5   1 1 1 1 1 0
1 39 5   1 1 1 1 1 0
1 40 5   1 1 1 0 0 0
1 41 5   1 0 0 0 1 1
1 42 5   1 1 1 0 1 1
1 43 5   1 0 0 0 0 1
1 44 5   1 1 1 0 0 0
1 45 5   1 1 1 1 1 0
1 46 5   1 1 0 1 1 1
1 47 5   0 0 0 0 0 0
1 48 5   1 1 1 1 1 1
2 1 1   0 0 0 0 0 0
2 2 1   0 0 0 0 0 0
2 3 1   1 0 0 0 0 0
2 4 1   1 1 1 1 0 0
2 5 1   1 0 1 0 0 0
2 6 1   0 0 0 0 0 0
2 7 1   1 0 0 0 0 0
2 8 1   0 0 0 0 1 0
2 9 1   0 0 0 0 0 0
2 10 1   0 0 0 0 0 0
2 11 1   0 0 0 0 0 0
2 12 1   0 0 0 0 0 0
2 13 1   1 1 0 0 0 0
2 14 1   0 0 0 1 0 0
2 15 1   0 1 0 0 0 0
2 16 1   1 0 0 0 0 0
2 17 5   0 0 0 0 0 0
2 18 5   1 1 1 1 1 1
2 19 5   1 1 1 1 1 1
2 20 5   1 1 1 1 1 0
2 21 5   0 0 1 0 0 1
2 22 5   1 1 0 0 0 1
2 23 5   1 1 0 0 1 0
2 24 5   1 1 1 1 1 1
