sub dur iti acc rt correct resp ss ptrl
1 5990 long 0 881 s d 3 cor
1 990 medium 1 984 s s 3 inc
1 11990 long 0 894 s d 3 cor
1 11990 long 1 786 d d 3 inc
1 11990 medium 1 1002 d d 3 cor
1 5990 medium 1 1066 d d 3 cor
1 5990 short 1 1193 d d 3 cor
1 990 long 0 1426 d s 3 cor
1 990 long 1 1046 d d 3 inc
1 990 long 1 1248 s s 3 cor
1 11990 short 1 681 d d 3 cor
1 990 short 0 995 d s 3 cor
1 990 medium 0 1116 d s 3 inc
1 5990 medium 1 894 s s 3 inc
1 990 long 1 895 s s 3 cor
1 11990 long 0 865 s d 3 cor
1 5990 medium 0 1075 s d 3 inc
1 11990 long 1 734 d d 3 inc
1 990 short 1 1231 d d 3 cor
1 5990 short 0 984 s d 3 cor
1 990 short 1 846 s s 3 inc
1 5990 short 1 770 d d 3 cor
1 990 medium 1 966 d d 3 cor
1 11990 short 0 715 d s 3 cor
1 11990 medium 1 1255 s s 3 inc
1 11990 medium 0 508 d s 3 cor
1 11990 medium 0 884 s d 3 inc
1 11990 short 0 922 s d 3 inc
1 5990 long 0 851 d s 3 inc
1 5990 medium 1 909 d d 3 inc
1 990 short 1 846 s s 3 cor
1 5990 short 1 861 s s 3 cor
1 11990 short 0 844 s d 3 cor
1 990 medium 1 1007 s s 3 inc
1 5990 long 1 758 s s 3 cor
1 5990 long 1 783 d d 3 cor
1 990 short 1 895 s s 3 cor
1 990 short 1 797 d d 3 cor
1 5990 long 1 665 d d 3 cor
1 11990 short 1 703 d d 3 cor
1 5990 short 1 943 s s 3 cor
1 5990 medium 1 556 d d 3 cor
1 11990 short 1 852 d d 3 cor
1 5990 medium 0 1083 s d 3 cor
1 11990 short 1 988 s s 3 inc
1 5990 long 1 772 s s 3 cor
1 11990 long 1 751 d d 3 cor
1 11990 long 1 851 s s 3 cor
1 5990 short 1 1094 d d 3 cor
1 11990 medium 0 1057 d s 3 cor
1 990 long 0 1116 d s 3 inc
1 5990 medium 0 1401 s d 3 inc
1 990 short 0 1106 s d 3 inc
1 990 medium 1 793 d d 3 inc
1 990 long 0 1142 d s 3 cor
1 990 medium 1 816 s s 3 inc
1 990 short 1 940 d d 3 cor
1 990 long 1 785 s s 3 cor
1 5990 short 1 659 d d 3 cor
1 990 medium 1 863 s s 3 cor
1 11990 medium 1 1016 s s 3 cor
1 11990 long 1 838 d d 3 cor
1 11990 long 0 877 s d 3 cor
1 5990 medium 1 825 d d 3 inc
1 11990 medium 1 927 s s 3 cor
1 11990 short 0 974 s d 3 cor
1 990 medium 1 806 d d 3 inc
1 5990 long 1 920 s s 3 cor
1 11990 medium 1 785 d d 3 cor
1 5990 long 1 652 d d 3 cor
1 990 long 1 1097 s s 3 cor
1 5990 short 1 938 s s 3 cor
1 990 short 1 851 s s 3 cor
1 11990 short 1 662 s s 3 cor
1 11990 short 1 870 d d 3 cor
1 990 short 1 626 s s 3 cor
1 990 long 1 621 s s 3 cor
1 5990 long 1 881 d d 3 cor
1 11990 medium 1 729 d d 3 cor
1 5990 short 1 652 s s 3 cor
1 990 long 0 1156 d s 3 cor
1 5990 short 0 851 s d 3 inc
1 11990 short 1 851 d d 3 inc
1 11990 medium 1 701 d d 3 cor
1 990 long 1 845 s s 3 cor
1 11990 long 1 871 s s 3 cor
1 11990 long 1 797 d d 3 cor
1 990 medium 1 639 s s 3 cor
1 5990 long 1 879 s s 3 cor
1 11990 medium 0 830 s d 3 cor
1 990 short 1 1263 d d 3 inc
1 5990 long 1 1212 s s 3 cor
1 990 long 1 823 d d 3 cor
1 5990 medium 0 777 s d 3 cor
1 11990 long 1 856 s s 3 inc
1 990 medium 0 1306 d s 3 cor
1 11990 short 1 1382 s s 3 inc
1 990 medium 1 783 d d 3 cor
1 5990 medium 0 822 d s 3 cor
1 11990 medium 1 1576 s s 3 inc
