vp	in1w1	in1w2	in1w3	in1w4	in1w5	in1w6	in1r1	in1r2	in1r3	in1r4	in1r5	in1r6	in2w1	in2w2	in2w3	in2w4	in2w5	in2w6	in2r1	in2r2	in2r3	in2r4	in2r5	in2r6	sp1w1	sp1w2	sp1w3	sp1w4	sp1w5	sp1w6	sp1r1	sp1r2	sp1r3	sp1r4	sp1r5	sp1r6	sp2w1	sp2w2	sp2w3	sp2w4	sp2w5	sp2w6	sp2r1	sp2r2	sp2r3	sp2r4	sp2r5	sp2r6	out1w1	out1w2	out1w3	out1w4	out1w5	out1w6	out1r1	out1r2	out1r3	out1r4	out1r5	out1r6	out2w1	out2w2	out2w3	out2w4	out2w5	out2w6	out2r1	out2r2	out2r3	out2r4	out2r5	out2r6	N_BREAK
1	.842105263157895	.8	.882352941176471	.904761904761905	.933333333333333	.848484848484849	891.5	787	948.966666666667	832.947368421053	994.52380952381	997	1	.923076923076923	.958333333333333	.886363636363636	.923076923076923	.928571428571429	894.027777777778	699.416666666667	807.108695652174	824.74358974359	765.055555555556	718.282051282051	.789473684210526	.942857142857143	.842105263157895	.928571428571429	.804347826086957	.961538461538462	783	868.939393939394	968.53125	979.615384615385	943.756756756757	965.84	1	.923076923076923	.958333333333333	.886363636363636	.923076923076923	.928571428571429	894.027777777778	699.416666666667	807.108695652174	824.74358974359	765.055555555556	718.282051282051	.944444444444444	.891891891891892	.794117647058823	.933333333333333	.942857142857143	.717948717948718	1082.58823529412	828.060606060606	875.407407407407	875.642857142857	838.393939393939	990.642857142857	1	.923076923076923	.958333333333333	.886363636363636	.923076923076923	.928571428571429	894.027777777778	699.416666666667	807.108695652174	824.74358974359	765.055555555556	718.282051282051	156
2	.743589743589744	.777777777777778	.895833333333333	.868421052631579	.8	.888888888888889	845.068965517241	852.205882352941	850.162790697674	1012.18181818182	1010.55555555556	1015.275	.942857142857143	.875	.942857142857143	.909090909090909	.875	.689655172413793	756.69696969697	716.514285714286	589.212121212121	823.3	689.321428571429	771.45	.818181818181818	.844444444444444	.775510204081633	.875	.871794871794872	.813953488372093	989.555555555556	1002.71052631579	965.289473684211	909.382352941176	846.588235294118	866.314285714286	.942857142857143	.875	.942857142857143	.909090909090909	.875	.689655172413793	756.69696969697	716.514285714286	589.212121212121	823.3	689.321428571429	771.45	.928571428571429	.851063829787234	.906976744186046	.883720930232558	.813953488372093	.595238095238095	1096.38461538462	944.1	880.25641025641	936.081081081081	839.2	862.88	.942857142857143	.875	.942857142857143	.909090909090909	.875	.689655172413793	756.69696969697	716.514285714286	589.212121212121	823.3	689.321428571429	771.45	156
3	.888888888888889	.733333333333333	.818181818181818	.866666666666667	.863636363636364	.864864864864865	1299.65625	1210.36363636364	1511.03703703704	1170.48	1454.10526315789	1194.51612903226	.978260869565217	1	.815789473684211	.853658536585366	.767441860465116	.829787234042553	1181.71111111111	792	1102.45161290323	1232.94117647059	1218.78787878788	977.512820512821	.828571428571429	.757575757575758	.916666666666667	.848484848484849	.825	.878787878787879	1259.10714285714	1218	1204.39393939394	1405.53571428571	1666.93939393939	1098.17857142857	.978260869565217	1	.815789473684211	.853658536585366	.767441860465116	.829787234042553	1181.71111111111	792	1102.45161290323	1232.94117647059	1218.78787878788	977.512820512821	.914285714285714	.9	.794871794871795	.861111111111111	.827586206896552	.741935483870968	1557.16129032258	1125.25	1401.54838709677	1068.5	1402.33333333333	1418.39130434783	.978260869565217	1	.815789473684211	.853658536585366	.767441860465116	.829787234042553	1181.71111111111	792	1102.45161290323	1232.94117647059	1218.78787878788	977.512820512821	156
4	.75609756097561	.864864864864865	.846153846153846	.897435897435897	.886363636363636	.928571428571429	816.161290322581	815.28125	961.181818181818	928.057142857143	951.487179487179	883.051282051282	1	.804878048780488	.903225806451613	.709677419354839	.743589743589744	.833333333333333	665.823529411765	869.636363636364	650.821428571429	824.863636363636	836.448275862069	773.533333333333	.825	.844444444444444	.885714285714286	.829268292682927	.931818181818182	.864864864864865	904.363636363636	823.078947368421	940.322580645161	884.029411764706	902.512195121951	931.46875	1	.804878048780488	.903225806451613	.709677419354839	.743589743589744	.833333333333333	665.823529411765	869.636363636364	650.821428571429	824.863636363636	836.448275862069	773.533333333333	.972222222222222	.944444444444444	.880952380952381	.893617021276596	.75	.756756756756757	973.771428571429	852.794117647059	828.810810810811	974.880952380952	820.333333333333	906.392857142857	1	.804878048780488	.903225806451613	.709677419354839	.743589743589744	.833333333333333	665.823529411765	869.636363636364	650.821428571429	824.863636363636	836.448275862069	773.533333333333	156
5	.638888888888889	.382352941176471	.647058823529412	.722222222222222	.735294117647059	1	827.130434782609	1116.15384615385	770.318181818182	1001.03846153846	982.2	889	.944444444444444	.775	.868421052631579	.847826086956522	.794871794871795	.852941176470588	746.529411764706	598.741935483871	589.515151515152	840.538461538462	761.612903225806	729.724137931035	.676470588235294	.764705882352941	.648648648648649	.717948717948718	.675	.727272727272727	899.739130434783	904.192307692308	938.791666666667	881.714285714286	923.148148148148	955.958333333333	.944444444444444	.775	.868421052631579	.847826086956522	.794871794871795	.852941176470588	746.529411764706	598.741935483871	589.515151515152	840.538461538462	761.612903225806	729.724137931035	.717948717948718	.805555555555556	.763157894736842	.684210526315789	.676470588235294	.53125	1082.96428571429	922.034482758621	793.034482758621	824.5	1073.91304347826	770.176470588235	.944444444444444	.775	.868421052631579	.847826086956522	.794871794871795	.852941176470588	746.529411764706	598.741935483871	589.515151515152	840.538461538462	761.612903225806	729.724137931035	156
6	.744186046511628	.477272727272727	.86046511627907	.885714285714286	.901960784313726	.897959183673469	750.59375	873.095238095238	745.135135135135	756.612903225806	841.217391304348	794.977272727273	.947368421052632	.84375	.903225806451613	.944444444444444	.891891891891892	.916666666666667	707.083333333333	547.148148148148	552.928571428571	720	674.424242424242	594.424242424242	.788461538461538	.720930232558139	.767441860465116	.880952380952381	.822222222222222	.8	810	746.096774193548	744.848484848485	769.621621621622	804.891891891892	871.1875	.947368421052632	.84375	.903225806451613	.944444444444444	.891891891891892	.916666666666667	707.083333333333	547.148148148148	552.928571428571	720	674.424242424242	594.424242424242	.976190476190476	.780487804878049	.707317073170732	.826086956521739	.73469387755102	.760869565217391	767.341463414634	788	857.758620689655	749.868421052632	812.361111111111	793.2	.947368421052632	.84375	.903225806451613	.944444444444444	.891891891891892	.916666666666667	707.083333333333	547.148148148148	552.928571428571	720	674.424242424242	594.424242424242	156
7	.903225806451613	.945945945945946	.911764705882353	.967741935483871	.918918918918919	.897435897435897	791.607142857143	777.685714285714	684.064516129032	724.366666666667	846.147058823529	816.057142857143	1	.942857142857143	1	.975609756097561	.904761904761905	.91304347826087	782.432432432432	640.939393939394	657.142857142857	647.925	744.078947368421	652.02380952381	.96551724137931	.914285714285714	.897435897435897	.914285714285714	.918918918918919	.941176470588235	815.107142857143	775.15625	782.4	815.90625	702.764705882353	769.90625	1	.942857142857143	1	.975609756097561	.904761904761905	.91304347826087	782.432432432432	640.939393939394	657.142857142857	647.925	744.078947368421	652.02380952381	.95	.970588235294118	.941176470588235	.923076923076923	.90625	.833333333333333	966.473684210526	739.090909090909	781.875	682.611111111111	694.379310344828	752.2	1	.942857142857143	1	.975609756097561	.904761904761905	.91304347826087	782.432432432432	640.939393939394	657.142857142857	647.925	744.078947368421	652.02380952381	156
8	.723404255319149	.780487804878049	.923076923076923	.888888888888889	.833333333333333	.756756756756757	611.705882352941	592.1875	643.916666666667	636.425	706.975	651.428571428571	1	.914285714285714	.902439024390244	.90625	.861111111111111	.9375	496.967741935484	467.8125	489.702702702703	490.965517241379	441.58064516129	390.666666666667	.902439024390244	.775510204081633	.794871794871795	.777777777777778	.775	.883720930232558	632.810810810811	633.631578947368	643.741935483871	628.971428571429	642.290322580645	671.894736842105	1	.914285714285714	.902439024390244	.90625	.861111111111111	.9375	496.967741935484	467.8125	489.702702702703	490.965517241379	441.58064516129	390.666666666667	.976190476190476	.864864864864865	.659574468085106	.790697674418605	.74468085106383	.902439024390244	753.975609756098	617.5	619.645161290323	608.382352941176	612.171428571429	619.243243243243	1	.914285714285714	.902439024390244	.90625	.861111111111111	.9375	496.967741935484	467.8125	489.702702702703	490.965517241379	441.58064516129	390.666666666667	156
9	.942857142857143	.878787878787879	.951219512195122	.878787878787879	.947368421052632	.967741935483871	876.666666666667	908.758620689655	696.179487179487	988.137931034483	860.166666666667	788.633333333333	.948717948717949	1	.882352941176471	.951219512195122	.871794871794872	.954545454545455	801.972972972973	554.675	751.233333333333	677.666666666667	634.029411764706	592.166666666667	.914285714285714	.948717948717949	.944444444444444	.942857142857143	.888888888888889	.933333333333333	857	929.324324324324	826.617647058824	748.030303030303	888.65625	810	.948717948717949	1	.882352941176471	.951219512195122	.871794871794872	.954545454545455	801.972972972973	554.675	751.233333333333	677.666666666667	634.029411764706	592.166666666667	.98	.8	.9375	.911764705882353	.931034482758621	.972222222222222	884.448979591837	738.75	800.066666666667	989.064516129032	742.740740740741	855.171428571429	.948717948717949	1	.882352941176471	.951219512195122	.871794871794872	.954545454545455	801.972972972973	554.675	751.233333333333	677.666666666667	634.029411764706	592.166666666667	156
10	.704545454545455	.739130434782609	.837209302325581	.880952380952381	1	.891891891891892	595.548387096774	682.323529411765	610.027777777778	589.621621621622	549.903225806452	571.909090909091	.903225806451613	.967741935483871	.95	.878787878787879	.864864864864865	1	469	538.233333333333	565.921052631579	593.51724137931	585.75	476.820512820513	.767441860465116	.775	.846153846153846	.945945945945946	.761904761904762	.904761904761905	598.121212121212	599.677419354839	568.939393939394	641.457142857143	632.1875	567.736842105263	.903225806451613	.967741935483871	.95	.878787878787879	.864864864864865	1	469	538.233333333333	565.921052631579	593.51724137931	585.75	476.820512820513	.928571428571429	.9	.837209302325581	.86046511627907	.738095238095238	.696969696969697	565.871794871795	574.694444444444	580.527777777778	636.405405405405	588.806451612903	691.347826086957	.903225806451613	.967741935483871	.95	.878787878787879	.864864864864865	1	469	538.233333333333	565.921052631579	593.51724137931	585.75	476.820512820513	156
