vp	in1w1	in1w2	in1w3	in1w4	in1w5	in1w6	in1r1	in1r2	in1r3	in1r4	in1r5	in1r6	in2w1	in2w2	in2w3	in2w4	in2w5	in2w6	in2r1	in2r2	in2r3	in2r4	in2r5	in2r6	sp1w1	sp1w2	sp1w3	sp1w4	sp1w5	sp1w6	sp1r1	sp1r2	sp1r3	sp1r4	sp1r5	sp1r6	sp2w1	sp2w2	sp2w3	sp2w4	sp2w5	sp2w6	sp2r1	sp2r2	sp2r3	sp2r4	sp2r5	sp2r6	out1w1	out1w2	out1w3	out1w4	out1w5	out1w6	out1r1	out1r2	out1r3	out1r4	out1r5	out1r6	out2w1	out2w2	out2w3	out2w4	out2w5	out2w6	out2r1	out2r2	out2r3	out2r4	out2r5	out2r6	N_BREAK
1	.939393939393939	.864864864864865	.837837837837838	.75	.857142857142857	.826086956521739	881.903225806452	1089.15625	1184.74193548387	1264	1172.9	1280.42105263158	.953488372093023	.897435897435897	.974358974358974	.902439024390244	.795454545454545	.685714285714286	1052	694.342857142857	920.210526315789	763.783783783784	1122.62857142857	706.125	.828571428571429	.815789473684211	.871794871794872	.785714285714286	.8	.971428571428571	1334.34482758621	1106.8064516129	1190.02941176471	1186.12121212121	1054.85714285714	1021.88235294118	.953488372093023	.897435897435897	.974358974358974	.902439024390244	.795454545454545	.685714285714286	1052	694.342857142857	920.210526315789	763.783783783784	1122.62857142857	706.125	.837837837837838	.829268292682927	.818181818181818	.882352941176471	.829268292682927	.868421052631579	1439.22580645161	1251.17647058824	973.962962962963	1036.23333333333	1227.02941176471	928.212121212121	.953488372093023	.897435897435897	.974358974358974	.902439024390244	.795454545454545	.685714285714286	1052	694.342857142857	920.210526315789	763.783783783784	1122.62857142857	706.125	156
2	.875	.894736842105263	.8	.794871794871795	.85	.851063829787234	758.571428571429	800.529411764706	904.1875	864.709677419355	923.176470588235	851.6	1	.944444444444444	.928571428571429	.871794871794872	.722222222222222	.846153846153846	527.607142857143	741.558823529412	511.102564102564	601.617647058824	672.884615384615	585.878787878788	.840909090909091	.722222222222222	.846153846153846	.902439024390244	.897435897435897	.844444444444444	873.378378378378	886.692307692308	857.515151515152	857.594594594595	849.228571428571	785.236842105263	1	.944444444444444	.928571428571429	.871794871794872	.722222222222222	.846153846153846	527.607142857143	741.558823529412	511.102564102564	601.617647058824	672.884615384615	585.878787878788	.933333333333333	.880952380952381	.804347826086957	.888888888888889	.725	.828571428571429	902.880952380952	766.351351351351	861.405405405405	840.34375	858.655172413793	862.758620689655	1	.944444444444444	.928571428571429	.871794871794872	.722222222222222	.846153846153846	527.607142857143	741.558823529412	511.102564102564	601.617647058824	672.884615384615	585.878787878788	156
3	.857142857142857	.926829268292683	.928571428571429	.825	.7	.842105263157895	725.833333333333	911.578947368421	1288.10256410256	1255.33333333333	1144.09523809524	1330.90625	1	.971428571428571	.975	.9375	.929824561403509	.926829268292683	709.714285714286	409.647058823529	394.051282051282	580.266666666667	506.641509433962	522.526315789474	.871794871794872	.828571428571429	.861111111111111	.848484848484849	.818181818181818	.90625	1019.38235294118	1084.79310344828	1337.51612903226	1227.28571428571	1047.63888888889	1057.8275862069	1	.971428571428571	.975	.9375	.929824561403509	.926829268292683	709.714285714286	409.647058823529	394.051282051282	580.266666666667	506.641509433962	522.526315789474	.857142857142857	.864864864864865	.871794871794872	.896551724137931	.863636363636364	.771428571428571	1409.36666666667	1035.5	1156.73529411765	1183.96153846154	974.473684210526	1028.81481481481	1	.971428571428571	.975	.9375	.929824561403509	.926829268292683	709.714285714286	409.647058823529	394.051282051282	580.266666666667	506.641509433962	522.526315789474	156
4	.804878048780488	.85	.760869565217391	.651162790697674	.75	.897435897435897	940.727272727273	943.264705882353	814.142857142857	958.821428571429	996.606060606061	778.2	1	.952380952380952	.9375	.8	.8125	.936170212765957	588.194444444444	450.2	522.133333333333	677.5	590.076923076923	503.227272727273	.710526315789474	.720930232558139	.772727272727273	.840909090909091	.869565217391304	.763157894736842	1148.40740740741	957.129032258065	857.941176470588	855.108108108108	804.45	859.206896551724	1	.952380952380952	.9375	.8	.8125	.936170212765957	588.194444444444	450.2	522.133333333333	677.5	590.076923076923	503.227272727273	.863636363636364	.75609756097561	.871794871794872	.8	.731707317073171	.674418604651163	1014.97368421053	840.322580645161	883.470588235294	1064.75	801	743.586206896552	1	.952380952380952	.9375	.8	.8125	.936170212765957	588.194444444444	450.2	522.133333333333	677.5	590.076923076923	503.227272727273	156
5	.941176470588235	.846153846153846	.837837837837838	.909090909090909	.88	.9375	1098.53125	1133.90909090909	1226.06666666667	948.733333333333	1091.86363636364	1077.66666666667	.878048780487805	.886363636363636	.777777777777778	.743589743589744	.822222222222222	.90625	730.25	720.461538461538	696.485714285714	883.896551724138	849.405405405405	639.862068965517	.896551724137931	.948717948717949	.939393939393939	.807692307692308	.885714285714286	.842105263157895	1171.30769230769	1027.40540540541	1148.32258064516	1210.3	1054.67741935484	1037.5	.878048780487805	.886363636363636	.777777777777778	.743589743589744	.822222222222222	.90625	730.25	720.461538461538	696.485714285714	883.896551724138	849.405405405405	639.862068965517	.838709677419355	.918918918918919	.962962962962963	.914285714285714	.852941176470588	.861111111111111	1222.32	1146.85294117647	1116.15384615385	1196.8125	946.551724137931	962.838709677419	.878048780487805	.886363636363636	.777777777777778	.743589743589744	.822222222222222	.90625	730.25	720.461538461538	696.485714285714	883.896551724138	849.405405405405	639.862068965517	156
6	.829268292682927	.622222222222222	.666666666666667	.805555555555556	.6875	.815789473684211	1368.35294117647	1642.62962962963	1633.06666666667	1703.96551724138	1845	1667.61290322581	1	.916666666666667	.823529411764706	.880952380952381	.891891891891892	.883720930232558	856.375	650.242424242424	715.214285714286	944.783783783784	870.060606060606	727.394736842105	.566666666666667	.810810810810811	.685185185185185	.78125	.794871794871795	.755555555555556	1460.23529411765	1724.16666666667	1764.02702702703	1512.08	1714.24137931034	1482.05882352941	1	.916666666666667	.823529411764706	.880952380952381	.891891891891892	.883720930232558	856.375	650.242424242424	715.214285714286	944.783783783784	870.060606060606	727.394736842105	.837209302325581	.777777777777778	.823529411764706	.771428571428571	.608695652173913	.627906976744186	1694.94444444444	1440.26923076923	1700.32142857143	1643.55555555556	1568.89285714286	1679.40740740741	1	.916666666666667	.823529411764706	.880952380952381	.891891891891892	.883720930232558	856.375	650.242424242424	715.214285714286	944.783783783784	870.060606060606	727.394736842105	156
7	.722222222222222	.588235294117647	.743589743589744	.75	.648648648648649	.72972972972973	1142.23076923077	1208.65	1337.39285714286	1319.625	1127.79166666667	1061.44444444444	.951219512195122	.857142857142857	.8	.694444444444444	.5625	.829787234042553	1276.20512820513	887.833333333333	895.0625	1264.4	883.592592592593	720.384615384615	.771428571428571	.777777777777778	.735294117647059	.733333333333333	.538461538461538	.658536585365854	1209.85185185185	1209.21428571429	1189.24	1189.18181818182	1226	1175.07692307692	.951219512195122	.857142857142857	.8	.694444444444444	.5625	.829787234042553	1276.20512820513	887.833333333333	895.0625	1264.4	883.592592592593	720.384615384615	.9	.617647058823529	.764705882352941	.605263157894737	.722222222222222	.627906976744186	1305.38461538462	1383.57142857143	1186.26923076923	1277.86956521739	1120.19230769231	976.333333333333	.951219512195122	.857142857142857	.8	.694444444444444	.5625	.829787234042553	1276.20512820513	887.833333333333	895.0625	1264.4	883.592592592593	720.384615384615	156
8	.707317073170732	.697674418604651	.571428571428571	.486486486486487	.472222222222222	.522727272727273	767.137931034483	757	854.5	768.055555555556	771.941176470588	745.608695652174	.918918918918919	.771428571428571	.741935483870968	.694444444444444	.692307692307692	.72972972972973	482.911764705882	505.222222222222	568.434782608696	527.4	678.814814814815	616.518518518518	.682926829268293	.611111111111111	.55	.612244897959184	.511627906976744	.5	764.535714285714	840.5	743.181818181818	748.3	815.909090909091	759.705882352941	.918918918918919	.771428571428571	.741935483870968	.694444444444444	.692307692307692	.72972972972973	482.911764705882	505.222222222222	568.434782608696	527.4	678.814814814815	616.518518518518	.666666666666667	.666666666666667	.684210526315789	.542857142857143	.452380952380952	.48936170212766	845.857142857143	807.153846153846	790.423076923077	749	710.894736842105	721.869565217391	.918918918918919	.771428571428571	.741935483870968	.694444444444444	.692307692307692	.72972972972973	482.911764705882	505.222222222222	568.434782608696	527.4	678.814814814815	616.518518518518	156
9	.731707317073171	.837837837837838	.777777777777778	.857142857142857	.921052631578947	.848484848484849	994.633333333333	1011.70967741935	902.928571428571	936.4	837.714285714286	787.75	.978260869565217	1	.777777777777778	.852941176470588	.5	.783783783783784	550.666666666667	523.475	631.642857142857	604.724137931035	843.833333333333	627.172413793103	.891891891891892	.775	.892857142857143	.756756756756757	.8	.868421052631579	859.545454545455	932.129032258065	882.6	922.75	926.875	943.333333333333	.978260869565217	1	.777777777777778	.852941176470588	.5	.783783783783784	550.666666666667	523.475	631.642857142857	604.724137931035	843.833333333333	627.172413793103	.833333333333333	.9	.864864864864865	.815789473684211	.868421052631579	.707317073170732	894.166666666667	932.074074074074	867	1000.32258064516	970.121212121212	799.793103448276	.978260869565217	1	.777777777777778	.852941176470588	.5	.783783783783784	550.666666666667	523.475	631.642857142857	604.724137931035	843.833333333333	627.172413793103	156
10	.82051282051282	.8	.785714285714286	.777777777777778	.897435897435897	.904761904761905	1045.34375	1184.32258064516	1232.75757575758	1271.28571428571	1201.88571428571	1243.71052631579	.933333333333333	.896551724137931	.833333333333333	.837837837837838	.857142857142857	.823529411764706	592.928571428571	613.192307692308	692.833333333333	749.612903225806	736.222222222222	608.464285714286	.8	.833333333333333	.833333333333333	.780487804878049	.875	.871794871794872	1123.54285714286	1097.575	1257.48571428571	1436.6875	1280.57142857143	1047.02941176471	.933333333333333	.896551724137931	.833333333333333	.837837837837838	.857142857142857	.823529411764706	592.928571428571	613.192307692308	692.833333333333	749.612903225806	736.222222222222	608.464285714286	.972222222222222	.842105263157895	.765957446808511	.804347826086957	.844444444444444	.771428571428571	1251.77142857143	1103.35483870968	1166.63888888889	1306.45945945946	1125.34210526316	1242.62962962963	.933333333333333	.896551724137931	.833333333333333	.837837837837838	.857142857142857	.823529411764706	592.928571428571	613.192307692308	692.833333333333	749.612903225806	736.222222222222	608.464285714286	156
