id,group,sex,age,session,memo,example,con,nblock,n,trial,out_nr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,21,1,1,0,1,1,4,1,1,15,1,1,1,1,2,2,1,1056,998,1,0,998,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,1,2,15,2,1,1,1,8,8,2, ,602,1,0,602,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,1,3,15,3,1,2,1,3,8,3, ,576,0,1,576,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,1,4,15,4,1,2,1,4,6,4, ,502,0,2,502,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,2,1,15,5,1,2,1,5,9,1,2828,664,0,2,664,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,2,2,15,6,1,1,1,1,1,2, ,997,1,0,997,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,2,3,15,7,1,2,1,4,9,3, ,867,0,2,867,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,2,4,15,8,1,1,1,6,6,4, ,830,1,0,830,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,3,1,15,9,1,1,1,6,6,1,971,736,1,0,736,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,3,2,15,10,1,1,1,3,3,2, ,574,1,0,574,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,3,3,15,11,1,1,1,7,7,3, ,494,1,0,494,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,3,4,15,12,1,2,1,1,3,4, ,613,0,1,613,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,4,1,15,13,1,2,1,4,2,1,2133,750,0,2,750,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,4,2,15,14,1,2,1,3,4,2, ,970,0,1,970,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,4,3,15,15,1,2,1,6,3,3, ,744,0,1,744,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,4,4,15,16,1,2,1,7,1,4, ,596,0,2,596,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,5,1,15,17,1,2,1,2,8,1,1903,856,0,2,856,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,5,2,15,18,1,2,1,6,3,2, ,402,0,1,402,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,5,3,15,19,1,1,1,3,3,3, ,674,1,0,674,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,5,4,15,20,1,2,1,4,2,4, ,566,0,1,566,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,6,1,15,21,1,1,1,7,7,1,1186,730,1,0,730,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,6,2,15,22,1,2,1,5,7,2, ,630,0,1,630,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,6,3,15,23,1,1,1,8,8,3, ,660,1,0,660,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,6,4,15,24,1,2,1,4,1,4, ,525,0,2,525,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,7,1,15,25,1,2,1,2,3,1,1974,717,0,2,717,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,7,2,15,26,1,2,1,7,1,2, ,430,0,2,430,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,7,3,15,27,1,2,1,4,1,3, ,695,0,2,695,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,7,4,15,28,1,2,1,8,7,4, ,526,0,1,526,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,8,1,15,29,1,2,1,2,1,1,1125,723,0,2,723,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,8,2,15,30,1,1,1,6,6,2, ,548,1,0,548,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,8,3,15,31,1,1,1,5,5,3, ,595,1,0,595,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,8,4,15,32,1,2,1,7,3,4, ,541,0,2,541,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,9,1,15,33,1,1,1,9,9,1,1112,829,1,0,829,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,9,2,15,34,1,1,1,2,2,2, ,612,1,0,612,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,9,3,15,35,1,1,1,7,7,3, ,543,1,0,543,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,9,4,15,36,1,2,1,3,4,4, ,580,0,2,580,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,10,1,15,37,1,2,1,6,9,1,1081,883,0,2,883,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,1,4,10,2,15,38,1,1,1,5,5,2, ,825,1,0,825,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,10,3,15,39,1,1,1,3,3,3, ,759,1,0,759,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,1,4,10,4,15,40,1,1,1,1,1,4, ,813,1,0,813,644.477777777778,165.846770200741,1142.01808838,1
