id,group,sex,age,session,memo,example,con,nblock,n,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,in_pos,in_nr,pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,1,24,1,1,0,1,1,4,1,1,15,1,1,1,1,9,9,1,1,529,594,1,0,594,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,1,2,15,2,1,1,1,4,4,2,2, ,485,1,0,485,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,1,3,15,3,1,1,1,3,3,3,3, ,432,1,0,432,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,1,4,15,4,1,1,1,1,1,4,4, ,441,1,0,441,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,2,1,15,5,1,1,1,1,1,1,1,668,812,1,0,812,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,2,2,15,6,1,2,1,3,5,2,2, ,528,0,2,528,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,2,3,15,7,1,2,1,8,3,3,3, ,909,0,1,909,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,2,4,15,8,1,1,1,2,2,4,4, ,732,1,0,732,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,3,1,15,9,1,2,1,4,8,1,1,925,782,0,2,782,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,3,2,15,10,1,2,1,9,1,2,2, ,1139,0,1,1139,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,3,3,15,11,1,2,1,1,3,3,3, ,688,0,2,688,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,3,4,15,12,1,1,1,6,6,4,4, ,503,1,0,503,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,4,1,15,13,1,2,1,5,8,1,1,532,899,0,1,899,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,4,2,15,14,1,2,1,4,1,2,2, ,653,0,2,653,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,1,4,4,3,15,15,1,1,1,2,2,3,3, ,688,1,0,688,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,1,4,4,4,15,16,1,1,1,8,8,4,4, ,714,1,0,714,561.555555555556,133.348603292273,961.601365432375,2
