  1 2 12      3   1  L H R F J  L  H  F  M  Z    1.361    3.548    3.346    2.894    2.599 
  1 2 12      1   2  D B T M S  D  S  T  M  S    1.693    2.636    1.917    1.595    1.712 
  1 2 12     11   3  M F T N P  M  F  T  N  P    1.798    1.592    1.647    1.673    1.393 
  1 2 12      1   4  X N C V S  X  M  C  V  S    1.056    1.796    1.687    1.971    1.712 
  1 2 12     13   5  T C W X P  T  C  P  S  X    1.153    2.584    1.997    3.134    3.231 
  1 2 12     13   6  N S X Z B  N  S  F  N  Z    1.180    2.249    3.056    3.780    2.664 
  1 2 12      0   7  Z V X G D  Z  V  X  G  D    1.154    0.644    1.273    1.326    1.113 
  1 2 12     11   8  B Z K J N  B  Z  J  K  Z    2.146    2.184    2.425    1.742    1.884 
  1 2 12      3   9  N Z K J D  N  Z  J  K  D    1.181    2.838    3.324    2.493    2.585 
  1 2 12     13  10  W P R J B  W  P  R  J  B    1.166    2.359    1.995    2.668    2.407 
  1 2 12      3  11  V R S D M  V  R  S  D  M    0.927    2.185    1.872    2.265    1.794 
  1 2 12     13  12  H T B X S  H  T  B  X  D    1.476    1.819    2.292    2.383    2.261 
  1 2 12     13  13  D M T P S  D  M  T  P  S    1.196    1.995    1.404    2.026    2.207 
  1 2 12     13  14  N F W G P  N  F  D  W  S    0.995    2.141    2.115    2.798    2.706 
  1 2 12      1  15  H W M N L  H  W  M  N  F    1.130    1.807    1.392    1.659    1.765 
  1 2 12      1  16  W Z B S D  W  Z  B  S  M    1.436    1.942    1.595    1.646    1.622 
  1 2 12      1  17  X B J F K  X  B  J  K  M    1.462    1.435    1.944    1.325    2.060 
  1 2 12     13  18  Z D F L R  Z  D  F  L  M    1.813    2.009    1.972    1.875    2.235 
  1 2 12     11  19  S K N T F  S  K  N  T  F    0.875    1.089    1.392    1.217    1.365 
  1 2 12      0  20  R X M C Z  R  X  M  C  Z    1.302    1.180    0.682    1.204    0.884 
  1 2 12      0  21  V Z B L H  V  Z  B  L  H    0.901    0.949    0.537    0.899    1.216 
  1 2 12      1  22  V P L M W  V  P  L  M  W    1.169    1.715    2.182    1.528    1.270 
  1 2 12      3  23  K T H C M  K  T  H  C  M    0.943    2.088    2.343    1.795    2.008 
  1 2 12      1  24  S F W D C  S  G  W  D  C    1.224    1.687    4.744    1.689    1.433 
  1 2 12      1  25  B S N J W  B  C  J  M  W    1.157    1.983    2.921    1.622    1.661 
  1 2 12     13  26  Z P G F D  Z  P  G  F  D    1.611    2.333    3.027    2.103    2.185 
  1 2 12     13  27  V T K P N  V  T  K  P  N    2.339    2.478    1.947    1.848    2.047 
  1 2 12     11  28  D N K G F  D  N  K  G  F    1.171    1.553    1.419    2.318    1.623 
  1 2 12      3  29  N F V X R  N  F  V  X  R    1.062    2.319    2.494    2.143    1.768 
  1 2 12      0  30  Z B W V S  Z  B  W  V  S    1.025    0.643    0.762    0.857    0.519 
  1 2 12      0  31  L X M T S  L  X  M  T  S    0.971    1.082    0.510    0.653    0.706 
  1 2 12      1  32  T D G S M  T  D  G  S  M    1.036    1.501    1.715    1.418    1.353 
  1 2 12      3  33  C L N V Z  C  F  C  N  V    1.048    2.492    2.130    2.437    2.034 
  1 2 12     11  34  P R G B W  P  R  G  F  W    1.373    1.460    2.036    1.754    1.580 
  1 2 12      0  35  L G F W Z  L  G  F  W  Z    1.105    0.895    0.791    0.519    1.059 
  1 2 12      3  36  F X Z D R  F  X  F  D  R    1.694    2.412    2.156    2.263    1.849 
  1 2 12     11  37  J C X S P  J  C  X  S  P    1.184    2.118    1.742    1.568    1.475 
  1 2 12     11  38  C P G R K  C  P  G  R  K    1.035    1.220    1.886    1.312    1.327 
  1 2 12      0  39  M N D G F  M  N  D  G  F    0.932    0.588    0.616    0.749    0.684 
  1 2 12     11  40  T D V K F  T  D  F  K  V    1.923    1.486    1.713    1.651    1.861 
  1 2 12     11  41  M K C W R  M  K  C  F  R    1.265    1.382    1.337    1.673    1.447 
  1 2 12      3  42  V W F C R  V  W  F  C  R    0.986    1.913    2.105    1.971    1.916 
  1 2 12      0  43  X N L C W  X  N  L  C  W    1.076    1.034    0.953    0.708    0.922 
  1 2 12     13  44  R L D B M  R  L  D  F  N    1.359    2.776    1.849    2.185    2.760 
  1 2 12      3  45  J V P D C  J  V  P  D  C    1.587    2.439    2.051    2.019    1.943 
  1 2 12     13  46  V J G H C  V  G  G  H  C    1.049    2.212    3.068    2.051    1.875 
  1 2 12      1  47  S F L H Z  S  F  L  H  W    1.238    1.581    1.554    2.385    1.738 
  1 2 12     13  48  Z N C D G  Z  N  C  D  G    1.321    2.385    2.237    1.836    2.454 
  1 2 12      3  49  W P L F H  W  P  L  F  P    0.995    2.228    2.185    2.422    2.588 
