"","Subject","Age","SessionDate","SessionTime","Sex","Trial","Domain","ISIDur","ListLength","SetSize","VerbProbePos","presented","cue","probeDomain","probeOrder","response.ACC","response.CRESP","response.RESP","response.RT"
"1",1,"18;11","10-24-2006","10:55:22","female",13,"within",3000,0,3,NA,"VisVis","Second","Vis","Second",1,"y","y",1302
"2",1,"18;11","10-24-2006","10:55:22","female",14,"cross",3000,5,3,3,"VisVerb","Second","Verb","Second",1,"n","n",1752
"3",1,"18;11","10-24-2006","10:55:22","female",15,"single",6000,5,0,1,"Verb",NA,"Verb",NA,1,"y","y",1634
"4",1,"18;11","10-24-2006","10:55:22","female",16,"cross",3000,5,3,NA,"VerbVis","Both","Vis","Second",1,"y","y",1690
"5",1,"18;11","10-24-2006","10:55:22","female",17,"cross",3000,5,3,2,"VisVerb","Second","Verb","Second",1,"y","y",1547
"6",1,"18;11","10-24-2006","10:55:22","female",18,"single",6000,5,0,4,"Verb",NA,"Verb",NA,1,"n","n",2171
"7",1,"18;11","10-24-2006","10:55:22","female",19,"cross",3000,5,3,1,"VerbVis","Both","Verb","First",0,"n","y",2259
"8",1,"18;11","10-24-2006","10:55:22","female",20,"within",3000,0,3,NA,"VisVis","Both","Vis","Second",0,"y","n",2205
"9",1,"18;11","10-24-2006","10:55:22","female",21,"cross",3000,5,3,NA,"VisVerb","Both","Vis","First",1,"n","n",3079
"10",1,"18;11","10-24-2006","10:55:22","female",22,"cross",3000,5,3,NA,"VisVerb","First","Vis","First",1,"y","y",3087
"11",1,"18;11","10-24-2006","10:55:22","female",23,"within",3000,0,3,NA,"VisVis","Both","Vis","First",0,"n","y",2851
"12",1,"18;11","10-24-2006","10:55:22","female",24,"cross",3000,5,3,2,"VerbVis","First","Verb","First",1,"y","y",1716
"13",1,"18;11","10-24-2006","10:55:22","female",25,"single",3000,0,3,NA,"Vis",NA,"Vis",NA,1,"y","y",1837
"14",1,"18;11","10-24-2006","10:55:22","female",26,"single",6000,0,3,NA,"Vis",NA,"Vis",NA,0,"n","y",2771
"15",1,"18;11","10-24-2006","10:55:22","female",27,"within",3000,5,0,2,"VerbVerb","Both","Verb","Second",1,"y","y",2212
