TEST,SCORES,MemoryType

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,4,LOCATION

LOC,3.625,LOCATION

LOC,4,LOCATION

LOC,3.75,LOCATION

LEX.LOC,3.625,LOCATION

LEX.LOC,3.125,LOCATION

LEX.LOC,4,LOCATION

LEX.LOC,3.75,LOCATION

LEX.LOC,3.625,LOCATION

LEX.LOC,3.75,LOCATION

LEX.LOC,3.75,LOCATION

LEX.LOC,3.875,LOCATION

LEX.LOC,3.5,LOCATION

LEX.LOC,2.75,LOCATION

LEX.LOC,4,LOCATION

LEX.LOC,2.875,LOCATION

SYM.LOC,2.875,LOCATION

SYM.LOC,2.875,LOCATION

SYM.LOC,3.25,LOCATION

SYM.LOC,2.75,LOCATION

SYM.LOC,3.375,LOCATION

SYM.LOC,2.8,LOCATION

SYM.LOC,3.5,LOCATION

SYM.LOC,2.875,LOCATION

SYM.LOC,2.625,LOCATION

SYM.LOC,2.375,LOCATION

SYM.LOC,3.375,LOCATION

SYM.LOC,3.25,LOCATION

LET,4,LETTER

LET,4,LETTER

LET,3.625,LETTER

LET,3.875,LETTER

LET,3.875,LETTER

LET,4,LETTER

LET,4,LETTER

LET,3.25,LETTER

LET,4,LETTER

LET,4,LETTER

LET,4,LETTER

LET,3.875,LETTER

LEX.LET,3.125,LETTER

LEX.LET,4,LETTER

LEX.LET,3.125,LETTER

LEX.LET,2.875,LETTER

LEX.LET,3.125,LETTER

LEX.LET,3.625,LETTER

LEX.LET,3.125,LETTER

LEX.LET,3.125,LETTER

LEX.LET,3.75,LETTER

LEX.LET,3.75,LETTER

LEX.LET,4,LETTER

LEX.LET,3.5,LETTER

SYM.LET,3.875,LETTER

SYM.LET,4,LETTER

SYM.LET,3.75,LETTER

SYM.LET,3.5,LETTER

SYM.LET,3.75,LETTER

SYM.LET,4,LETTER

SYM.LET,3,LETTER

SYM.LET,3.75,LETTER

SYM.LET,3.5,LETTER

SYM.LET,3.875,LETTER

SYM.LET,3.875,LETTER

SYM.LET,3.75,LETTER
