"id" "trial" "condition" "serpos" "item" "response"
1 1 "SixZero" 1 "extent" "Omission"
1 1 "SixZero" 2 "vision" "vision"
1 1 "SixZero" 3 "closer" "Omission"
1 1 "SixZero" 4 "answer" "Omission"
1 1 "SixZero" 5 "purpose" "Omission"
1 1 "SixZero" 6 "respect" "Omission"
1 2 "SixZero" 1 "contact" "Omission"
1 2 "SixZero" 2 "attempt" "Omission"
1 2 "SixZero" 3 "appear" "Omission"
1 2 "SixZero" 4 "welfare" "Omission"
1 2 "SixZero" 5 "success" "Omission"
1 2 "SixZero" 6 "advice" "Omission"
1 3 "SixZero" 1 "balance" "balance"
1 3 "SixZero" 2 "future" "future"
1 3 "SixZero" 3 "surface" "Omission"
1 3 "SixZero" 4 "permit" "Omission"
1 3 "SixZero" 5 "method" "Omission"
1 3 "SixZero" 6 "freedom" "Omission"
1 4 "SixZero" 1 "review" "review"
1 4 "SixZero" 2 "reason" "reason"
1 4 "SixZero" 3 "command" "Omission"
1 4 "SixZero" 4 "feeling" "concept"
1 4 "SixZero" 5 "concept" "Omission"
1 4 "SixZero" 6 "control" "Omission"
1 5 "SixZero" 1 "content" "content"
1 5 "SixZero" 2 "amount" "amount"
1 5 "SixZero" 3 "moment" "Omission"
1 5 "SixZero" 4 "council" "Omission"
1 5 "SixZero" 5 "spirit" "Omission"
1 5 "SixZero" 6 "manner" "Omission"
1 6 "SixZero" 1 "effect" "effect"
1 6 "SixZero" 2 "account" "Omission"
1 6 "SixZero" 3 "culture" "Omission"
1 6 "SixZero" 4 "member" "Omission"
1 6 "SixZero" 5 "series" "Omission"
1 6 "SixZero" 6 "factor" "Omission"
1 7 "SixZero" 1 "trouble" "trouble"
1 7 "SixZero" 2 "fifteen" "Omission"
1 7 "SixZero" 3 "device" "Omission"
1 7 "SixZero" 4 "portion" "Omission"
1 7 "SixZero" 5 "career" "Omission"
1 7 "SixZero" 6 "reading" "Omission"
1 8 "SixZero" 1 "measure" "Omission"
1 8 "SixZero" 2 "private" "Omission"
1 8 "SixZero" 3 "latter" "Omission"
1 8 "SixZero" 4 "budget" "Omission"
1 8 "SixZero" 5 "extreme" "became"
1 8 "SixZero" 6 "became" "Omission"
1 9 "SixZero" 1 "effort" "Omission"
1 9 "SixZero" 2 "crisis" "crisis"
1 9 "SixZero" 3 "belief" "Omission"
1 9 "SixZero" 4 "listen" "Omission"
1 9 "SixZero" 5 "normal" "Omission"
1 9 "SixZero" 6 "junior" "Omission"
1 10 "SixZero" 1 "subject" "Omission"
1 10 "SixZero" 2 "supply" "Omission"
1 10 "SixZero" 3 "produce" "Omission"
1 10 "SixZero" 4 "wonder" "Omission"
1 10 "SixZero" 5 "session" "Omission"
1 10 "SixZero" 6 "justice" "Omission"
1 1 "FiveOne" 1 "manner" "extent"
1 1 "FiveOne" 2 "extent" "manner"
1 1 "FiveOne" 3 "success" "Omission"
1 1 "FiveOne" 4 "effect" "Omission"
1 1 "FiveOne" 5 "member" "Omission"
1 1 "FiveOne" 6 "closer" "vision"
1 2 "FiveOne" 1 "career" "career"
