vp	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	j1	j2	j3	j4	j5	j6	j7	j8	j9	j10	j11	j12
1	100	100	83	100	83	67	83	67	83	83	83	67	83	83	100	100	83	83	0	90	0	100	0	95	0	98	0	100	0	98
2	83	100	100	83	100	100	100	100	100	100	83	100	100	100	100	100	100	100	0	92	0	91	0	92	0	87	0	92	0	89
3	100	83	83	83	83	50	100	67	67	83	100	33	100	83	100	83	100	50	0	100	0	95	0	96	0	98	0	93	0	95
4	100	50	100	100	100	83	100	83	83	83	100	100	100	83	83	100	83	67	0	100	0	97	0	98	0	100	0	98	0	100
5	100	100	100	83	83	67	100	67	83	83	50	83	100	83	67	100	100	83	0	98	0	94	0	95	0	92	0	95	0	89
6	67	83	83	83	100	83	100	67	83	100	83	100	67	67	83	100	100	83	0	100	0	97	0	98	0	100	0	95	0	97
7	100	67	67	83	83	100	83	83	83	83	100	67	100	100	50	100	100	100	0	90	0	85	0	81	0	90	0	96	0	92
8	67	50	67	83	67	33	67	50	83	33	67	83	83	50	50	50	67	33	0	89	0	92	0	92	0	91	0	98	0	98
9	83	100	83	67	67	50	100	83	100	100	83	67	83	83	33	100	67	83	0	98	0	92	0	100	0	94	0	90	0	100
10	67	83	83	100	83	83	100	33	83	83	100	67	100	67	83	50	100	67	0	100	0	98	0	95	0	90	0	90	0	93
11	100	67	67	83	50	83	100	83	67	67	67	83	83	50	83	83	83	50	0	84	0	86	1667	100	0	100	0	100	0	98
12	83	50	67	67	83	67	100	50	67	83	83	83	100	83	83	100	83	100	0	100	0	95	0	97	0	100	0	100	0	96
13	67	67	83	50	33	50	67	83	83	67	67	67	67	83	83	67	83	83	0	75	0	89	0	97	0	94	0	90	0	100
14	83	100	100	67	67	67	83	67	67	83	67	100	83	67	67	100	100	83	0	98	0	98	0	93	0	100	0	100	0	98
15	83	83	83	67	83	67	100	83	83	100	67	83	100	67	83	100	83	67	0	92	0	93	0	100	0	95	0	97	0	96
16	100	83	100	33	50	50	83	83	83	67	50	67	100	67	100	67	67	17	0	100	0	95	0	95	0	94	0	90	0	97
17	83	67	100	83	83	67	100	100	67	83	67	83	100	50	83	100	83	100	0	89	0	96	0	93	0	98	0	91	0	98
18	100	100	83	100	100	83	100	83	83	100	83	83	100	100	83	100	83	83	0	88	0	92	0	89	0	92	0	81	0	87
