Year,Age,DSPC,CONDITION,ORDER,DISPC,SIMPC,PSEABSPC,PROPPSE,Encoding,Recall,DUMMYC,DUMCXDIS,filter
1,5.4,15.75,1,S-D,8.66,5.25,3.41,.393764434180139,1,2, , ,1
1,5.32,16.25,1,D-S,2.5,2.5,0,0,1,2, , ,1
1,5.4,12.66,1,S-D,3.66,6.83,-3.17,-.866120218579235,1,2, , ,1
1,5.4,14.91,1,D-S,3.66,4,-.34,-.0928961748633879,1,2, , ,1
1,5.48,13.25,1,D-S,5.75,6,-.25,-.0434782608695652,1,2, , ,1
1,5.48,13.91,1,S-D,5.66,5.5,.16,.0282685512367491,1,2, , ,1
1,5.72,15.41,1,D-S,5.5,4.25,1.25,.227272727272727,1,2, , ,1
2,6.08,15.83,1,S-D,10.16,6.83,3.33,.327755905511811,1,2, , ,1
2,6.16,17.43,1,S-D,9.66,6,3.66,.37888198757764,1,2, , ,1
2,6.8,14.33,1,D-S,5.33,4,1.33,.24953095684803,1,2, , ,1
2,6.32,14.33,1,D-S,7.83,4.5,3.33,.425287356321839,1,2, , ,1
2,6.56,22.43,1,D-S,10.75,5.33,5.42,.504186046511628,1,2, , ,1
2,6.64,21.7,1,D-S,7.33,4.5,2.83,.386084583901774,1,2, , ,1
2,6.72,16.25,1,S-D,7.58,5.66,1.92,.253298153034301,1,2, , ,1
2,6.72,16.25,1,D-S,7.66,7.83,-.17,-.0221932114882506,1,2, , ,1
3,7.08,22.36,1,D-S,8.66,6.5,2.16,.249422632794457,1,2, , ,1
3,7.56,20.5,1,D-S,9.75,6.33,3.42,.350769230769231,1,2, , ,1
3,7.56,17.03,1,D-S,9,7.75,1.25,.138888888888889,1,2, , ,1
3,7.72,19.36,1,S-D,9.66,5.33,4.33,.44824016563147,1,2, , ,1
3,7.48,16.61,1,D-S,10.16,6.83,3.33,.327755905511811,1,2, , ,1
3,7.56,19.26,1,S-D,9.91,5.16,4.75,.479313824419778,1,2, , ,1
3,7.72,16.91,1,S-D,12.2,5,7.2,.59016393442623,1,2, , ,1
4,8.32,21.43,1,D-S,9.66,8.66,1,.10351966873706,1,2, , ,1
4,8.9,20.78,1,S-D,11.75,7.58,4.17,.354893617021277,1,2, , ,1
4,8.24,21.26,1,D-S,10.58,6.83,3.75,.354442344045369,1,2, , ,1
4,8.56,19.75,1,S-D,11.16,9.33,1.83,.163978494623656,1,2, , ,1
4,8.56,22.83,1,S-D,10.7,6.5,4.2,.392523364485981,1,2, , ,1
4,8.64,19.78,1,S-D,12.4,6.66,5.74,.462903225806452,1,2, , ,1
4,8.9,29.14,1,D-S,14.16,9.91,4.25,.300141242937853,1,2, , ,1
1,5,14.33,2,D-S,6.33,4.33,2,.315955766192733,1,1,-1,-6.33,0
1,5.16,16.16,2,D-S,9.16,5.66,3.5,.382096069868996,1,1,-1,-9.16,0
1,5.8,13.83,2,D-S,8.91,5.75,3.16,.354657687991021,1,1,-1,-8.91,0
1,5.4,15.58,2,S-D,7.66,5.33,2.33,.304177545691906,1,1,-1,-7.66,0
1,5.4,14.75,2,S-D,10.41,6.83,3.58,.343900096061479,1,1,-1,-10.41,0
1,5.48,13.91,2,S-D,9.83,5,4.83,.491353001017294,1,1,-1,-9.83,0
1,6,14.66,2,D-S,6.33,5.66,.67,.105845181674566,1,1,-1,-6.33,0
2,6.32,19.66,2,D-S,10.58,7.66,2.92,.275992438563327,1,1,-1,-10.58,0
2,6.72,12.91,2,D-S,10.66,8.5,2.16,.202626641651032,1,1,-1,-10.66,0
2,6.08,13.16,2,S-D,10.16,7.33,2.83,.278543307086614,1,1,-1,-10.16,0
2,6.08,13.83,2,S-D,10.43,7.25,3.18,.304889741131352,1,1,-1,-10.43,0
2,6.56,17.36,2,D-S,7.41,5.5,1.91,.257759784075574,1,1,-1,-7.41,0
2,6.72,18.66,2,D-S,9.78,5.66,4.12,.421267893660532,1,1,-1,-9.78,0
2,6.72,22.78,2,S-D,10.33,6,4.33,.419167473378509,1,1,-1,-10.33,0
2,7,21.95,2,D-S,10.16,5.5,4.66,.458661417322835,1,1,-1,-10.16,0
3,6.9,19.26,2,S-D,11.02,6.83,4.19,.38021778584392,1,1,-1,-11.02,0
3,7.08,22.36,2,D-S,10.5,7.33,3.17,.301904761904762,1,1,-1,-10.5,0
3,7.48,14.75,2,S-D,11.4,5.5,5.9,.517543859649123,1,1,-1,-11.4,0
3,7.56,14.83,2,S-D,11.36,7.75,3.61,.317781690140845,1,1,-1,-11.36,0
3,7.24,27.25,2,S-D,15.4,10.53,4.87,.316233766233766,1,1,-1,-15.4,0
3,7.4,19.95,2,D-S,11.66,7,4.66,.399656946826758,1,1,-1,-11.66,0
