Subject	Age	Sex	Trial	gap1	gap2	gap3	gap4	gap5	gap6	gap7	gap8	position	Accuracy	CorrectR	Resp	RT	Type	pre	post	TotalIsolation	TotalTime
1	32	female	91	7	1	3	6	2	5	4	0	1	0	ur	p	1383	yes	-	7	7	20200
1	32	female	64	5	1	2	6	0	7	3	4	1	1	ur	r	868	yes	-	5	5	20200
1	32	female	79	7	2	0	1	5	3	6	4	1	1	ur	r	822	yes	-	7	7	20200
1	32	female	82	3	6	5	2	7	4	1	0	1	1	ur	r	551	yes	-	3	3	20200
1	32	female	86	2	3	6	4	7	5	1	0	1	1	ur	r	728	yes	-	2	2	20200
1	32	female	108	1	5	4	2	6	3	7	0	1	1	ur	r	1631	yes	-	1	1	20200
1	32	female	16	0	7	3	2	4	5	1	6	2	0	ur	p	1813	yes	0	7	7	19650
1	32	female	94	1	5	4	0	7	3	2	6	2	0	ur	p	1258	yes	1	5	6	19100
1	32	female	25	4	3	5	1	2	6	7	0	2	1	ur	r	966	yes	4	3	7	17450
1	32	female	85	5	3	4	7	0	6	2	1	2	1	ur	r	836	yes	5	3	8	16900
1	32	female	92	2	3	4	5	6	1	0	7	2	1	ur	r	963	yes	2	3	5	18550
1	32	female	83	5	0	7	3	1	4	2	6	2	1	ur	u	1704	yes	5	0	5	16900
1	32	female	101	2	4	0	6	3	7	5	1	3	0	ur	p	1081	yes	4	0	4	15800
1	32	female	50	0	4	1	2	7	3	5	6	3	1	ur	r	772	yes	4	1	5	16900
1	32	female	74	1	4	6	2	7	5	0	3	3	1	ur	r	1007	yes	4	6	10	16350
1	32	female	110	1	2	7	6	4	3	5	0	3	1	ur	r	975	yes	2	7	9	17450
1	32	female	112	7	5	6	0	2	1	3	4	3	1	ur	r	858	yes	5	6	11	12500
1	32	female	37	3	6	5	2	0	7	4	1	3	1	ur	u	1214	yes	6	5	11	14150
1	32	female	93	3	1	0	6	2	7	5	4	4	0	ur	p	754	yes	0	6	6	16350
1	32	female	9	7	4	0	2	1	5	3	6	4	1	ur	r	1368	yes	0	2	2	12500
1	32	female	27	0	5	6	3	7	4	2	1	4	1	ur	r	1074	yes	6	3	9	12500
1	32	female	61	5	0	7	6	4	3	2	1	4	1	ur	r	887	yes	7	6	13	11950
1	32	female	95	5	4	2	6	1	3	0	7	4	1	ur	r	721	yes	2	6	8	12500
1	32	female	6	4	7	5	6	0	1	3	2	4	1	ur	u	2071	yes	5	6	11	9750
1	32	female	42	6	1	5	2	7	0	3	4	5	0	ur	p	1385	yes	2	7	9	10300
1	32	female	68	7	4	1	3	6	0	5	2	5	1	ur	r	766	yes	3	6	9	9750
1	32	female	84	6	7	0	5	2	3	4	1	5	1	ur	r	821	yes	5	2	7	8100
1	32	female	35	5	6	3	4	1	7	2	0	5	1	ur	u	1290	yes	4	1	5	8100
