1 1 0 1 2 3 4 5 6 8 7  1413  651  941  527  1130  1130  1167  227 
1 2 0 1 7 2 4 6 3 5 8  2504  1318  2786  908  2485  415  1092  190 
1 3 0 1 2 3 4 5 7 8 6  1517  452  569  302  904  2899  377  678 
1 4 0 1 7 2 3 4 5 6 8  1893  340  1318  452  979  2079  452  565 
1 5 0 1 2 3 4 5 8 6 7  1253  452  489  1130  1581  1431  265  678 
1 6 0 1 2 3 5 4 6 7 8  1629  490  2033  1167  2748  828  1770  152 
1 7 0 1 2 3 4 5 6 8 7  2420  377  791  381  490  1054  3087  573 
1 8 0 1 2 3 4 5 6 7 8  1705  265  377  603  4066  866  227  152 
1 9 0 1 2 3 4 5 6 7 8  3136  377  716  1243  302  1431  452  227 
1 10 0 1 2 3 4 5 6 8 7  3060  640  829  377  415  4405  227  265 
1 11 0 1 2 3 4 6 5 7 8  2099  190  2372  415  4217  302  791  190 
1 12 0 1 2 3 4 5 6 7 8  1667  227  3087  302  4909  1017  603  152 
1 13 0 1 4 3 2 5 6 7 8  1781  340  1132  415  2410  340  1130  452 
1 14 0 2 1 3 7 5 6 8 4  2647  302  1243  2786  265  452  942  265 
1 15 0 1 2 3 4 5 6 7 8  1969  302  377  2797  340  340  1243  152 
1 16 0 1 2 3 5 7 4 6 8  1601  265  340  4142  565  490  1205  265 
1 17 0 1 2 3 4 8 5 7 6  3814  340  640  527  452  3502  190  227 
1 18 0 1 5 3 6 4 7 8 2  3852  1167  904  1544  527  2485  340  190 
1 19 0 1 2 3 4 5 6 8 7  1442  498  753  490  527  7003  227  265 
1 20 0 1 2 3 7 4 8 5 6  1706  415  603  2690  1280  2899  265  227 
1 21 0 1 2 3 4 5 6 8 7  2288  340  302  829  452  452  4594  2560 
1 22 0 2 6 3 4 5 7 1 8  3137  5395  1092  979  1883  1092  415  377 
1 23 0 1 2 3 4 5 6 8 7  2874  227  227  340  565  302  1845  490 
1 24 0 1 2 3 4 5 6 7 8  2234  490  452  377  467  4631  377  490 
1 25 0 1 2 3 4 5 6 7 8  1518  415  716  615  716  190  1808  227 
1 26 0 1 2 3 6 5 4 7 8  1367  302  377  2786  265  377  678  167 
1 27 0 1 8 3 4 5 6 2 7  4304  452  377  690  227  265  1619  456 
1 28 0 1 2 4 3 8 5 6 7  1782  415  462  1356  377  385  1510  227 
1 29 0 1 2 3 4 5 6 8 7  2045  678  603  603  1845  302  1808  527 
1 30 0 2 1 3 4 6 8 5 7  727  2485  490  2485  227  340  979  227 
1 31 0 1 2 3 6 5 4 8 7  2628  415  678  1318  302  1469  340  265 
1 32 0 1 2 3 4 5 6 7 8  1895  304  227  340  265  227  678  227 
1 33 0 1 2 6 4 7 5 8 3  1744  613  829  1732  4330  265  1431  190 
1 34 0 1 2 3 4 5 6 7 8  4907  340  344  640  1544  190  302  452 
1 35 0 1 2 3 4 5 6 8 7  2271  265  238  603  1280  392  1205  227 
1 36 0 1 2 7 4 6 8 3 5  1782  452  3088  1281  4519  3540  377  340 
1 37 0 1 4 5 3 6 7 2 8  3853  866  1130  490  490  1732  1996  490 
1 38 0 1 2 3 4 5 7 6 8  1067  498  490  340  2900  302  979  377 
1 39 0 2 4 1 3 5 6 7 8  4757  1996  1393  4180  377  527  377  415 
1 40 0 1 2 3 4 6 5 7 8  1481  1770  490  527  3653  640  1280  265 
1 41 0 1 2 3 4 6 3 7 8  1874  640  228  265  1845  227  265  190 
1 42 0 1 2 3 4 5 7 6 8  3212  1130  452  415  5874  340  227  153 
1 43 0 1 2 3 4 5 6 7 8  2911  377  452  415  3992  340  340  640 
1 44 0 1 3 4 5 2 6 7 8  1217  227  340  340  2259  942  302  153 
1 45 0 1 2 3 5 6 7 8 4  803  265  377  265  302  340  527  753 
1 46 0 1 2 3 4 5 6 8 7  954  190  190  340  265  527  4368  227 
1 47 0 1 2 3 4 5 6 7 8  1368  265  227  265  194  227  265  227 
1 48 0 1 5 3 4 8 6 2 7  916  198  228  1506  227  340  2636  227 
1 49 0 1 2 3 4 5 6 7 8  3439  265  302  415  302  1017  3728  379 
1 50 0 1 2 3 4 5 6 7 8  991  265  340  829  340  227  798  145 
1 51 0 1 2 3 4 5 6 7 8  1160  227  490  1280  753  565  1695  157 
1 52 0 1 2 3 4 5 6 7 8  1799  415  302  340  415  265  1431  227 
1 53 0 1 2 3 6 7 8 4 5  3251  381  340  527  1921  415  1017  265 
1 54 0 1 2 3 4 5 6 8 7  878  227  190  979  302  302  1808  163 
1 55 0 1 2 3 4 5 6 7 8  1405  764  302  1092  152  227  1168  152 
1 56 0 1 2 3 4 5 5 6 7  803  227  227  350  265  340  227  265 
1 57 0 1 2 3 4 5 6 8 7  1041  340  1092  791  190  265  1469  642 
1 58 0 1 2 3 4 7 6 5 -9  954  302  302  452  2975  227  2410  2222 
1 59 0 1 2 3 8 4 5 7 6  1256  425  1620  5686  3728  227  1130  227 
1 60 0 1 2 3 4 8 7 6 5  1067  415  678  640  1205  1092  340  490 
1 61 0 1 2 3 4 5 7 8 6  1574  791  350  1017  452  377  2297  134 
1 62 0 1 2 3 4 5 6 8 7  1067  340  302  340  340  452  1168  190 
1 63 0 1 2 5 4 3 6 7 8  1406  1243  7004  190  377  1130  279  302 
1 64 0 5 4 2 1 6 3 7 8  2197  377  527  3653  527  1092  942  190 
1 65 0 1 2 3 4 6 5 8 7  1330  340  490  377  1356  265  565  377 
1 66 0 1 2 3 4 5 6 8 7  916  302  377  979  527  490  791  227 
1 67 0 1 2 3 4 5 6 7 8  1594  942  527  377  415  415  2599  265 
1 68 0 1 2 3 4 5 8 7 6  917  377  490  578  2373  452  565  452 
1 69 0 1 2 3 4 5 6 7 8  1331  452  716  340  720  190  265  716 
1 70 0 1 2 3 4 5 6 7 8  519  415  354  340  2561  2862  490  340 
1 71 0 1 2 3 4 5 6 7 8  934  302  302  190  265  265  791  152 
1 72 0 1 2 3 4 6 8 5 7  1006  302  356  377  5724  942  753  302 
1 73 0 1 2 3 4 5 6 7 8  766  302  340  415  1092  415  603  200 
1 74 0 1 2 4 3 5 7 6 8  879  377  603  492  3502  377  415  227 
1 75 0 1 2 4 3 5 7 6 8  2235  452  4406  377  2825  452  716  227 
1 76 0 1 2 3 4 5 6 7 8  1858  866  377  340  490  527  381  227 
1 77 0 1 2 3 4 5 6 8 7  1746  1733  1582  425  1808  490  1243  228 
1 78 0 1 2 3 4 1 6 7 8  729  302  190  265  490  265  5339  415 
1 79 0 1 3 2 4 7 8 5 6  918  415  490  565  3657  490  452  452 
1 80 0 1 2 3 4 6 7 8 5  1821  490  527  490  4143  490  415  791 
1 81 0 1 2 3 4 5 6 7 8  2290  1433  919  452  3653  1281  469  452 
1 82 0 1 2 3 4 5 6 7 8  1294  791  377  415  415  452  678  415 
1 83 0 1 2 3 7 5 8 6 4  2499  791  3239  603  1883  417  904  415 
1 84 0 1 2 3 4 5 6 7 8  2574  340  377  527  377  678  1055  302 
1 85 0 1 3 5 4 2 7 6 8  2310  415  2347  527  1808  340  313  866 
1 86 0 1 2 3 4 5 6 7 8  1294  227  340  377  603  452  678  302 
1 87 0 1 2 3 4 5 7 8 6  842  904  801  1055  3164  377  452  640 
1 88 0 1 2 3 4 5 6 7 8  3591  377  356  377  2900  3277  265  227 
1 89 0 1 2 3 4 5 7 8 6  880  302  640  415  1130  4745  265  227 
1 90 0 1 2 3 4 5 6 7 8  2999  678  565  1130  3352  415  829  415 
1 91 0 1 2 3 4 5 6 7 8  747  227  377  463  565  302  227  340 
1 92 0 1 2 3 7 5 6 4 8  766  302  527  829  1092  302  754  232 
1 93 0 1 2 3 6 4 5 7 8  1030  527  904  415  1846  565  415  791 
1 94 0 1 2 3 4 5 6 7 8  1067  415  265  490  490  527  1205  377 
1 95 0 1 2 3 4 5 6 7 8  1219  829  490  302  490  2373  1243  527 
1 96 0 1 2 3 4 5 6 8 7  993  302  265  302  527  2712  302  340 
1 97 0 1 2 3 4 5 6 7 8  465  302  302  340  302  415  979  227 
1 98 0 1 2 3 4 5 6 8 7  766  265  340  377  377  5498  152  716 
1 99 0 1 2 3 4 5 6 7 8  803  415  753  490  489  1469  340  565 
1 100 0 1 8 3 4 5 6 2 7  1294  1318  791  415  678  1808  302  415 
1 101 1 1 2 5 3 7 6 8 4  959  452  753  716  2410  1733  1205  265 
1 102 1 3 2 1 4 5 6 8 7  1201  390  302  340  340  227  799  227 
1 103 1 1 2 7 4 3 6 8 5  868  340  1394  377  2561  340  1356  340 
1 104 1 1 2 3 4 5 7 6 8  831  942  340  265  1469  340  829  265 
1 105 1 1 6 2 4 5 3 7 8  2790  377  1544  452  1921  615  753  265 
1 106 1 1 2 3 8 5 6 7 4  1206  340  1356  603  1620  377  753  265 
1 107 1 1 2 3 4 5 6 7 8  606  302  302  228  527  265  565  153 
1 108 1 1 2 3 4 5 7 6 8  417  190  153  227  1582  230  1921  190 
1 109 1 1 2 3 4 5 6 7 8  417  228  227  190  302  1130  490  190 
1 110 1 1 2 3 4 5 6 7 8  794  265  227  302  528  227  1431  115 
1 111 1 1 2 3 4 7 5 8 6  735  490  716  452  2072  427  1243  82 
1 112 1 1 2 3 4 6 8 5 7  982  304  377  452  942  377  979  190 
1 113 1 1 2 3 4 5 6 7 8  1133  377  603  340  2599  979  565  302 
1 114 1 1 2 3 4 7 8 6 5  718  837  1431  227  3691  452  340  340 
1 115 1 1 2 3 4 5 6 7 8  1622  265  200  227  340  227  1055  152 
1 116 1 1 8 2 4 5 3 7 6  1472  452  829  527  1959  1055  678  415 
1 117 1 1 2 5 4 7 6 3 8  1283  490  377  415  1582  265  227  194 
1 118 1 1 2 3 4 6 8 5 7  568  1657  603  377  1808  340  716  265 
1 119 1 1 2 3 4 5 6 7 8  869  340  565  348  1243  415  678  340 
1 120 1 1 2 3 4 6 5 7 8  1547  377  490  452  2825  317  377  490 
1 121 1 1 2 3 4 8 5 6 7  1527  352  490  265  4783  302  829  153 
1 122 1 1 2 3 4 5 6 7 8  794  377  1130  340  1921  1318  377  227 
1 123 1 1 2 3 4 5 6 7 8  1811  904  415  377  1092  527  302  527 
1 124 1 1 2 3 4 5 6 7 8  503  565  839  415  603  415  678  302 
1 125 1 1 2 3 4 5 6 7 8  756  377  302  306  527  452  1846  490 
1 126 1 1 2 3 6 5 7 4 8  681  490  678  490  1620  340  979  152 
1 127 1 1 2 3 1 5 6 7 4  794  340  340  190  4331  2373  791  2072 
1 128 1 1 2 3 4 5 6 7 8  342  302  527  306  377  350  1017  115 
1 129 1 1 2 3 4 5 6 8 7  1849  490  573  340  716  2938  791  565 
1 130 1 1 2 3 4 5 6 7 8  2526  1109  527  979  3842  342  1318  829 
1 131 1 1 2 3 4 5 6 7 8  1263  1130  490  3277  1059  527  1168  490 
1 132 1 1 2 3 4 8 6 7 5  1246  603  565  4256  904  415  791  265 
1 133 1 1 2 3 4 7 6 5 8  3242  1356  417  4783  4444  152  302  613 
1 134 1 1 2 5 4 3 7 8 6  870  377  415  2752  4407  2185  1356  565 
1 135 1 1 2 3 4 8 6 5 7  907  427  3557  452  3691  1243  302  265 
1 136 1 1 2 3 4 5 6 7 8  1170  490  527  427  2147  716  4482  1695 
1 137 1 1 2 3 4 5 7 6 8  681  190  265  265  1507  716  678  115 
1 138 1 1 2 3 4 6 8 7 5  907  490  2637  340  1544  265  1733  227 
1 139 1 1 2 3 4 5 6 7 8  945  377  415  227  490  377  867  340 
1 140 1 1 2 3 4 5 6 7 8  983  565  228  340  904  377  415  603 
1 141 1 1 2 3 4 5 6 7 8  1490  227  265  190  302  265  2346  190 
1 142 1 1 3 2 4 5 6 7 8  1435  452  603  302  265  190  169  153 
1 143 1 1 2 3 4 5 6 7 8  719  463  565  565  3239  427  536  377 
1 144 1 1 2 3 4 5 6 7 8  1435  490  452  527  753  313  990  1092 
1 145 1 1 2 3 4 5 6 7 8  982  377  415  565  2900  265  227  190 
1 146 1 1 2 3 4 5 6 7 8  869  377  490  377  1808  678  640  467 
1 147 1 1 2 5 4 7 6 3 8  794  1055  678  340  3427  1469  2147  753 
