3 1 3 6 2 5 7 6  5978  2632  1316  1166  903  377  414 0 0 0 0  1533  746  860  1048 
3 1 6 2 5 4 7 3  2653  7483  1692  2294  1366  452  865 0 0 0 0  1415  747  521  559 
3 1 4 3 4 5 6 7  1789  377  1166  564  4061  1768  339 0 0 0 0  1755  521  672  709 
3 2 1 3 4 6 5 7  1264  951  865  602  5030  302  489 0 0 0 0  1492  1086  446  559 
3 2 3 6 1 4 5 7  5173  5202  503  2144  3234  460  527 0 0 0 0  1266  972  446  876 
3 3 6 1 2 7 5 4  6602  988  527  489  4024  940  489 0 0 0 0  1417  559  1123  559 
3 1 2 3 4 5 6 7  1638  1204  6581  377  1128  339  639 0 0 0 0  1643  446  521  898 
3 2 4 3 1 5 6 7  7015  451  3234  414  1628  377  1316 0 0 0 0  2094  559  1800  559 
3 1 2 3 4 5 6 7  1488  527  752  1617  4964  677  790 0 0 0 0  1229  1123  747  1086 
3 1 5 3 4 6 7 2  1037  715  677  452  3121  1805  265 0 0 0 0  1606  1010  973  710 
3 5 1 2 4 3 6 7  1338  1429  865  677  4250  265  339 0 0 0 0  1621  897  1537  446 
3 1 3 2 4 5 7 3  1340  414  1467  489  1467  377  377 0 0 0 0  1192  634  484  484 
3 3 1 4 5 7 6 2  1675  452  1392  527  5265  452  302 0 0 0 0  929  672  860  484 
3 1 2 3 4 5 6 7  1225  377  940  414  2257  339  414 0 0 0 0  1230  597  597  484 
3 1 4 3 2 5 6 7  1037  527  639  1128  3836  1204  339 0 0 0 0  817  559  747  484 
3 1 6 3 4 5 2 7  998  377  1204  3548  1392  677  2750 0 0 0 0  1267  636  576  749 
3 3 1 4 2 5 6 7  3782  564  527  489  1354  581  639 0 0 0 0  1343  446  1048  1010 
3 4 3 5 7 2 6 1  5700  452  903  4588  4062  227  264 0 0 0 0  1681  559  897  1085 
3 4 5 3 6 1 2 7  1225  640  1279  8236  2369  2031  940 0 0 0 0  1268  446  897  1161 
3 3 2 4 6 5 1 7  7655  2633  4147  451  828  602  564 0 0 0 0  1682  1649  1048  1273 
3 7 3 4 2 5 6 1  6377  18955  2445  377  1091  564  3423 0 0 0 0  1397  1161  408  822 
3 5 1 2 3 7 4 6  4835  1174  464  564  6055  377  452 0 0 0 0  2622  634  559  1048 
3 1 2 7 4 5 6 3  1074  527  1166  377  1730  2219  940 0 0 0 0  1306  1537  898  973 
3 1 4 3 6 2 7 5  999  564  2257  677  4137  1317  566 0 0 0 0  984  1123  989  1161 
3 5 1 2 4 3 6 7  9913  414  2671  377  903  564  489 0 0 0 0  1231  1198  1086  973 
