1 1 5 3 4 6 7 8 2  2765  2256  2294  951  1354  2831  414  677 0 0 0 0  1871  634  822  672 
1 1 2 3 7 5 4 8 6  4006  752  3121  903  3610  489  377  1203 0 0 0 1  1678  1161  822  597 
1 1 2 5 6 3 7 4 8  4984  940  2632  677  2294  677  6693  269 0 0 0 0  2168  709  1912  709 
1 1 2 3 4 5 7 6 8  1525  377  527  414  1391  3083  377  451 0 0 0 0  1792  935  672  634 
1 1 2 3 4 8 5 7 6  1525  639  677  564  4136  2106  1203  227 0 0 0 0  1641  597  672  634 
1 2 4 -9 -9 6 7 5  2051  489  339  1203  1448  7294  1842  1767 0 0 0 0  2280  484  709  1047 
1 1 2 3 4 5 8 7 6  1486  526  1842  489  1556  3534  389  264 0 0 0 0  2673  559  709  861 
1 1 2 3 4 5 6 7 8  1675  377  752  903  4183  2197  489  264 0 0 0 1  1551  822  747  521 
1 1 7 3 4 6 5 2 8  4607  489  1692  902  1581  451  1504  377 0 0 1 0  1001  634  935  897 
1 -9 4 3 2 5 7 8 6  1675  302  414  639  451  2932  602  339 0 0 0 0  2917  747  634  634 
1 1 2 3 4 8 6 5 7  2276  790  526  489  2707  564  865  902 0 0 0 1  2106  935  596  597 
1 1 2 3 4 5 8 7 6  1712  339  377  4135  376  4925  227  489 0 0 0 0  1828  935  1198  672 
1 1 3 2 4 6 5 7 8  1750  414  424  602  2790  227  428  714 0 0 0 0  2091  935  598  634 
1 1 2 3 4 8 6 5 7  1786  602  564  564  1880  2180  377  377 0 0 0 0  2165  709  749  1762 
1 1 2 6 4 5 3 7 8  2726  1128  827  978  1316  564  1504  339 0 0 0 0  1639  671  1611  1837 
1 1 2 5 4 8 7 6 3  1788  564  1053  377  2143  3120  1278  302 0 1 0 0  2127  1010  1423  521 
1 1 2 3 4 5 7 8 6  1750  414  339  564  489  3157  302  451 0 0 0 0  1601  1273  634  935 
1 1 2 3 4 2 6 5 7  1674  302  1428  424  1504  564  1692  227 0 0 0 0  1751  709  747  1200 
1 1 2 3 4 5 7 6 8  1749  377  376  865  7404  1542  977  377 0 0 0 0  2390  1198  1122  634 
1 1 2 8 4 5 6 7 3  1938  489  677  879  4594  377  602  1128 0 0 0 0  1941  859  1010  521 
1 1 2 3 4 6 5 8 7  1900  564  526  526  2595  1165  377  489 0 0 0 0  1841  596  709  636 
1 1 2 3 4 7 6 8 5  1938  379  2030  639  3533  2030  451  1241 0 0 0 0  1525  484  597  747 
1 1 2 3 4 5 7 6 8  1449  602  489  1927  4773  451  377  376 0 0 0 0  1375  672  634  1611 
1 1 3 5 4 7 6 2 8  2049  489  2556  601  3195  302  414  977 0 0 0 0  2389  671  747  747 
1 2 1 3 4 5 7 6 8  1411  4961  1428  677  2593  1316  1729  190 0 0 0 0  2577  484  596  725 
